name,true_start,true_end,prediction,match
DISTORTED1sddb40,52000,52620,52355,True
DISTORTED2sddb40,56600,56900,56597,True
DISTORTED3sddb40,46600,46900,67102,False
DISTORTEDBIDMC1,5400,5600,5501,True
DISTORTEDCIMIS44AirTemperature1,5391,5392,7195,False
DISTORTEDCIMIS44AirTemperature2,5703,5727,7194,False
DISTORTEDCIMIS44AirTemperature3,6520,6544,6508,True
DISTORTEDCIMIS44AirTemperature4,5549,5597,7194,False
DISTORTEDCIMIS44AirTemperature5,4852,4900,4850,True
DISTORTEDCIMIS44AirTemperature6,6006,6054,6031,True
DISTORTEDECG1,11800,12100,25856,False
DISTORTEDECG2,16000,16100,25859,False
DISTORTEDECG3,16000,16100,16021,True
DISTORTEDECG3,17000,17100,16909,True
DISTORTEDECG4,16800,17100,16874,True
DISTORTEDECG4,16900,17100,17024,True
DISTORTEDECG4,17000,17100,17024,True
DISTORTEDECG4,17000,17100,17015,True
DISTORTEDGP711MarkerLFM5z1,6168,6212,6141,True
DISTORTEDGP711MarkerLFM5z2,7175,7388,7224,True
DISTORTEDGP711MarkerLFM5z3,5948,5993,5919,True
DISTORTEDGP711MarkerLFM5z4,6527,6645,6385,False
DISTORTEDGP711MarkerLFM5z5,8612,8716,8648,True
DISTORTEDInternalBleeding10,4526,4556,4413,False
DISTORTEDInternalBleeding14,5607,5634,5517,True
DISTORTEDInternalBleeding15,5684,5854,5807,True
DISTORTEDInternalBleeding16,4187,4199,6626,False
DISTORTEDInternalBleeding17,3198,3309,3134,True
DISTORTEDInternalBleeding18,4485,4587,5276,False
DISTORTEDInternalBleeding19,4187,4197,4167,True
DISTORTEDInternalBleeding20,5759,5919,5803,True
DISTORTEDInternalBleeding4,4675,5033,4682,True
DISTORTEDInternalBleeding5,6200,6370,6160,True
DISTORTEDInternalBleeding6,3474,3629,3661,True
DISTORTEDInternalBleeding8,5865,5974,5733,False
DISTORTEDInternalBleeding9,6599,6681,5280,False
DISTORTEDLab2Cmac011215EPG1,17210,17260,17213,True
DISTORTEDLab2Cmac011215EPG2,27862,27932,27897,True
DISTORTEDLab2Cmac011215EPG3,16390,16420,16383,True
DISTORTEDLab2Cmac011215EPG4,17390,17520,17458,True
DISTORTEDLab2Cmac011215EPG5,17390,17520,17394,True
DISTORTEDLab2Cmac011215EPG6,12190,12420,12389,True
DISTORTEDMesoplodonDensirostris,19280,19440,14936,False
DISTORTEDPowerDemand1,18485,18821,18438,True
DISTORTEDPowerDemand2,23357,23717,14145,False
DISTORTEDPowerDemand3,23405,23477,22819,False
DISTORTEDPowerDemand4,24005,24077,24001,True
DISTORTEDTkeepFifthMARS,5988,6085,5989,True
DISTORTEDTkeepFirstMARS,5365,5380,4425,False
DISTORTEDTkeepForthMARS,5988,6085,5228,False
DISTORTEDTkeepSecondMARS,9330,9340,9323,True
DISTORTEDTkeepThirdMARS,4711,4809,4721,True
DISTORTEDWalkingAceleration1,2764,2995,5736,False
DISTORTEDWalkingAceleration5,5920,5979,5931,True
DISTORTEDapneaecg2,20950,21100,10778,False
DISTORTEDapneaecg3,11111,11211,26906,False
DISTORTEDapneaecg4,16000,16100,11809,False
DISTORTEDapneaecg,12240,12308,10783,False
DISTORTEDgait1,38500,38800,54306,False
DISTORTEDgait2,46500,46800,35620,False
DISTORTEDgait3,59900,60500,35665,False
DISTORTEDgaitHunt1,33070,33180,43591,False
DISTORTEDgaitHunt2,31200,31850,43782,False
DISTORTEDgaitHunt3,38400,39200,43591,False
DISTORTEDinsectEPG1,7000,7030,7001,True
DISTORTEDinsectEPG2,8000,8025,8009,True
DISTORTEDinsectEPG3,7000,7050,8813,False
DISTORTEDinsectEPG4,6508,6558,6533,True
DISTORTEDinsectEPG5,8500,8501,8512,True
DISTORTEDltstdbs30791AI,52600,52800,52515,True
DISTORTEDltstdbs30791AS,52600,52800,52633,True
DISTORTEDltstdbs30791ES,52600,52800,52703,True
DISTORTEDpark3m,72150,72495,76949,False
DISTORTEDqtdbSel1005V,12400,12800,12613,True
DISTORTEDqtdbSel100MLII,13400,13800,13589,True
DISTORTEDresperation10,130700,131880,130721,True
DISTORTEDresperation11,110800,110801,131384,False
DISTORTEDresperation1,110260,110412,109958,False
DISTORTEDresperation2,168250,168250,140105,False
DISTORTEDresperation2,168250,168251,139951,False
DISTORTEDresperation3,158250,158251,116064,False
DISTORTEDresperation4,128430,128431,128382,True
DISTORTEDresperation9,143411,143511,117998,False
DISTORTEDs20101mML2,35774,35874,35734,True
DISTORTEDs20101m,35774,35874,35756,True
DISTORTEDsddb49,67950,68200,67907,True
DISTORTEDsel840mECG1,51370,51740,51564,True
DISTORTEDsel840mECG2,49370,49740,49567,True
DISTORTEDtiltAPB1,114283,114350,114152,False
DISTORTEDtiltAPB2,124159,124985,124845,True
DISTORTEDtiltAPB3,114000,114370,113874,False
DISTORTEDtiltAPB4,67995,67996,67365,False
NOISE1sddb40,52000,52620,52353,True
NOISEBIDMC1,5400,5600,5501,True
NOISECIMIS44AirTemperature4,5549,5597,7194,False
NOISEECG4,16900,17100,17024,True
NOISEGP711MarkerLFM5z3,5948,5993,5905,True
NOISEInternalBleeding16,4187,4199,4182,True
NOISEInternalBleeding6,3474,3629,3473,True
NOISELab2Cmac011215EPG1,17210,17260,17213,True
NOISELab2Cmac011215EPG4,17390,17520,17457,True
NOISEMesoplodonDensirostris,19280,19440,12819,False
NOISETkeepThirdMARS,4711,4809,4720,True
NOISEapneaecg4,16000,16100,10646,False
NOISEgait3,59900,60500,54179,False
NOISEgaitHunt2,31200,31850,43780,False
NOISEinsectEPG3,7000,7050,8813,False
NOISEresperation2,168250,168250,131185,False
1sddb40,52000,52620,52354,True
2sddb40,56600,56900,56635,True
3sddb40,46600,46900,67158,False
BIDMC1,5400,5600,5502,True
