name,true_start,true_end,prediction,match
DISTORTED1sddb40,52000,52620,52354,True
DISTORTED2sddb40,56600,56900,56597,True
DISTORTED3sddb40,46600,46900,56169,False
DISTORTEDBIDMC1,5400,5600,5501,True
DISTORTEDCIMIS44AirTemperature1,5391,5392,7195,False
DISTORTEDCIMIS44AirTemperature2,5703,5727,7194,False
DISTORTEDCIMIS44AirTemperature3,6520,6544,6508,True
DISTORTEDCIMIS44AirTemperature4,5549,5597,7194,False
DISTORTEDCIMIS44AirTemperature5,4852,4900,4850,True
DISTORTEDCIMIS44AirTemperature6,6006,6054,6032,True
DISTORTEDECG1,11800,12100,25856,False
DISTORTEDECG2,16000,16100,25859,False
DISTORTEDECG3,16000,16100,23253,False
DISTORTEDECG3,17000,17100,15435,False
DISTORTEDECG4,16800,17100,16530,False
DISTORTEDECG4,16900,17100,6860,False
DISTORTEDECG4,17000,17100,5366,False
DISTORTEDECG4,17000,17100,23426,False
DISTORTEDGP711MarkerLFM5z1,6168,6212,6141,True
DISTORTEDGP711MarkerLFM5z2,7175,7388,7224,True
DISTORTEDGP711MarkerLFM5z3,5948,5993,5919,True
DISTORTEDGP711MarkerLFM5z4,6527,6645,6381,False
DISTORTEDGP711MarkerLFM5z5,8612,8716,8648,True
DISTORTEDInternalBleeding10,4526,4556,4416,False
DISTORTEDInternalBleeding14,5607,5634,5516,True
DISTORTEDInternalBleeding15,5684,5854,5809,True
DISTORTEDInternalBleeding16,4187,4199,6634,False
DISTORTEDInternalBleeding17,3198,3309,3144,True
DISTORTEDInternalBleeding18,4485,4587,5279,False
DISTORTEDInternalBleeding19,4187,4197,4167,True
DISTORTEDInternalBleeding20,5759,5919,5806,True
DISTORTEDInternalBleeding4,4675,5033,4688,True
DISTORTEDInternalBleeding5,6200,6370,6160,True
DISTORTEDInternalBleeding6,3474,3629,3662,True
DISTORTEDInternalBleeding8,5865,5974,5733,False
DISTORTEDInternalBleeding9,6599,6681,5280,False
DISTORTEDLab2Cmac011215EPG1,17210,17260,11701,False
DISTORTEDLab2Cmac011215EPG2,27862,27932,28297,False
DISTORTEDLab2Cmac011215EPG3,16390,16420,16383,True
DISTORTEDLab2Cmac011215EPG4,17390,17520,17581,True
DISTORTEDLab2Cmac011215EPG5,17390,17520,28173,False
DISTORTEDLab2Cmac011215EPG6,12190,12420,28206,False
DISTORTEDMesoplodonDensirostris,19280,19440,19212,True
DISTORTEDPowerDemand1,18485,18821,18671,True
DISTORTEDPowerDemand2,23357,23717,23361,True
DISTORTEDPowerDemand3,23405,23477,22998,False
DISTORTEDPowerDemand4,24005,24077,23997,True
