name,true_start,true_end,prediction,match
DISTORTED1sddb40,52000,52620,51949,True
DISTORTED2sddb40,56600,56900,56597,True
DISTORTED3sddb40,46600,46900,55921,False
DISTORTEDBIDMC1,5400,5600,5381,True
DISTORTEDCIMIS44AirTemperature1,5391,5392,5715,False
DISTORTEDCIMIS44AirTemperature2,5703,5727,7194,False
DISTORTEDCIMIS44AirTemperature3,6520,6544,6508,True
DISTORTEDCIMIS44AirTemperature4,5549,5597,5324,False
DISTORTEDCIMIS44AirTemperature5,4852,4900,4870,True
DISTORTEDCIMIS44AirTemperature6,6006,6054,6013,True
DISTORTEDECG1,11800,12100,11684,False
DISTORTEDECG2,16000,16100,25849,False
DISTORTEDECG3,16000,16100,16000,True
DISTORTEDECG3,17000,17100,16971,True
DISTORTEDECG4,16800,17100,117949,False
DISTORTEDECG4,16900,17100,16860,True
DISTORTEDECG4,17000,17100,16948,True
DISTORTEDECG4,17000,17100,16920,True
DISTORTEDGP711MarkerLFM5z1,6168,6212,9722,False
DISTORTEDGP711MarkerLFM5z2,7175,7388,7068,False
DISTORTEDGP711MarkerLFM5z3,5948,5993,10634,False
DISTORTEDGP711MarkerLFM5z4,6527,6645,8385,False
DISTORTEDGP711MarkerLFM5z5,8612,8716,7077,False
DISTORTEDInternalBleeding10,4526,4556,4521,True
DISTORTEDInternalBleeding14,5607,5634,5592,True
DISTORTEDInternalBleeding15,5684,5854,5809,True
DISTORTEDInternalBleeding16,4187,4199,4189,True
DISTORTEDInternalBleeding17,3198,3309,3107,True
DISTORTEDInternalBleeding18,4485,4587,3291,False
DISTORTEDInternalBleeding19,4187,4197,4973,False
DISTORTEDInternalBleeding20,5759,5919,5821,True
DISTORTEDInternalBleeding4,4675,5033,4498,False
DISTORTEDInternalBleeding5,6200,6370,6162,True
DISTORTEDInternalBleeding6,3474,3629,3659,True
DISTORTEDInternalBleeding8,5865,5974,5878,True
DISTORTEDInternalBleeding9,6599,6681,5230,False
DISTORTEDLab2Cmac011215EPG1,17210,17260,29875,False
DISTORTEDLab2Cmac011215EPG2,27862,27932,29823,False
DISTORTEDLab2Cmac011215EPG3,16390,16420,16387,True
DISTORTEDLab2Cmac011215EPG4,17390,17520,17576,True
DISTORTEDLab2Cmac011215EPG5,17390,17520,29640,False
DISTORTEDLab2Cmac011215EPG6,12190,12420,7647,False
DISTORTEDMesoplodonDensirostris,19280,19440,19257,True
DISTORTEDPowerDemand1,18485,18821,18434,True
DISTORTEDPowerDemand2,23357,23717,14013,False
DISTORTEDPowerDemand3,23405,23477,22969,False
DISTORTEDPowerDemand4,24005,24077,24006,True
