name,true_start,true_end,prediction,match
DISTORTED1sddb40,52000,52620,52355,True
DISTORTED2sddb40,56600,56900,56597,True
DISTORTED3sddb40,46600,46900,46802,True
DISTORTEDBIDMC1,5400,5600,2877,False
DISTORTEDCIMIS44AirTemperature1,5391,5392,6452,False
DISTORTEDCIMIS44AirTemperature2,5703,5727,5324,False
DISTORTEDCIMIS44AirTemperature3,6520,6544,6513,True
DISTORTEDCIMIS44AirTemperature4,5549,5597,5564,True
DISTORTEDCIMIS44AirTemperature5,4852,4900,6931,False
DISTORTEDCIMIS44AirTemperature6,6006,6054,6004,True
DISTORTEDECG1,11800,12100,11535,False
DISTORTEDECG2,16000,16100,26436,False
DISTORTEDECG3,16000,16100,28056,False
DISTORTEDECG3,17000,17100,15470,False
DISTORTEDECG4,16800,17100,176906,False
DISTORTEDECG4,16900,17100,24259,False
DISTORTEDECG4,17000,17100,27385,False
DISTORTEDECG4,17000,17100,24570,False
DISTORTEDGP711MarkerLFM5z1,6168,6212,9722,False
DISTORTEDGP711MarkerLFM5z2,7175,7388,5591,False
DISTORTEDGP711MarkerLFM5z3,5948,5993,11090,False
DISTORTEDGP711MarkerLFM5z4,6527,6645,10631,False
DISTORTEDGP711MarkerLFM5z5,8612,8716,10150,False
DISTORTEDInternalBleeding10,4526,4556,3523,False
DISTORTEDInternalBleeding14,5607,5634,3986,False
DISTORTEDInternalBleeding15,5684,5854,5828,True
DISTORTEDInternalBleeding16,4187,4199,4613,False
DISTORTEDInternalBleeding17,3198,3309,7359,False
DISTORTEDInternalBleeding18,4485,4587,6802,False
DISTORTEDInternalBleeding19,4187,4197,5507,False
DISTORTEDInternalBleeding20,5759,5919,6805,False
DISTORTEDInternalBleeding4,4675,5033,-1,False
DISTORTEDInternalBleeding5,6200,6370,5939,False
DISTORTEDInternalBleeding6,3474,3629,3721,True
DISTORTEDInternalBleeding8,5865,5974,4949,False
DISTORTEDInternalBleeding9,6599,6681,5448,False
DISTORTEDLab2Cmac011215EPG1,17210,17260,17213,True
DISTORTEDLab2Cmac011215EPG2,27862,27932,28297,False
DISTORTEDLab2Cmac011215EPG3,16390,16420,16383,True
DISTORTEDLab2Cmac011215EPG4,17390,17520,17458,True
DISTORTEDLab2Cmac011215EPG5,17390,17520,17394,True
DISTORTEDLab2Cmac011215EPG6,12190,12420,20600,False
DISTORTEDMesoplodonDensirostris,19280,19440,19189,True
DISTORTEDPowerDemand1,18485,18821,24106,False
DISTORTEDPowerDemand2,23357,23717,23487,True
DISTORTEDPowerDemand3,23405,23477,28528,False
DISTORTEDPowerDemand4,24005,24077,24105,True
DISTORTEDTkeepFifthMARS,5988,6085,7545,False
DISTORTEDTkeepFirstMARS,5365,5380,6996,False
DISTORTEDTkeepForthMARS,5988,6085,8983,False
DISTORTEDTkeepSecondMARS,9330,9340,8579,False
DISTORTEDTkeepThirdMARS,4711,4809,8785,False
DISTORTEDWalkingAceleration1,2764,2995,3723,False
DISTORTEDWalkingAceleration5,5920,5979,5915,True
DISTORTEDapneaecg2,20950,21100,19772,False
DISTORTEDapneaecg3,11111,11211,11158,True
DISTORTEDapneaecg4,16000,16100,19160,False
DISTORTEDapneaecg,12240,12308,12200,True
DISTORTEDgait1,38500,38800,59849,False
DISTORTEDgait2,46500,46800,58874,False
DISTORTEDgait3,59900,60500,56687,False
DISTORTEDgaitHunt1,33070,33180,36915,False
DISTORTEDgaitHunt2,31200,31850,27850,False
DISTORTEDgaitHunt3,38400,39200,41475,False
DISTORTEDinsectEPG1,7000,7030,8793,False
DISTORTEDinsectEPG2,8000,8025,7979,True
DISTORTEDinsectEPG3,7000,7050,-1,False
DISTORTEDinsectEPG4,6508,6558,6095,False
DISTORTEDinsectEPG5,8500,8501,8463,True
DISTORTEDltstdbs30791AI,52600,52800,53465,False
DISTORTEDltstdbs30791AS,52600,52800,36010,False
DISTORTEDltstdbs30791ES,52600,52800,52761,True
DISTORTEDpark3m,72150,72495,87070,False
DISTORTEDqtdbSel1005V,12400,12800,24761,False
DISTORTEDqtdbSel100MLII,13400,13800,29157,False
DISTORTEDresperation10,130700,131880,106242,False
DISTORTEDresperation11,110800,110801,59301,False
DISTORTEDresperation1,110260,110412,113775,False
DISTORTEDresperation2,168250,168250,106720,False
DISTORTEDresperation2,168250,168251,103505,False
DISTORTEDresperation3,158250,158251,105795,False
DISTORTEDresperation4,128430,128431,128468,True
DISTORTEDresperation9,143411,143511,105789,False
DISTORTEDs20101mML2,35774,35874,35733,True
DISTORTEDs20101m,35774,35874,35756,True
DISTORTEDsddb49,67950,68200,-1,False
DISTORTEDsel840mECG1,51370,51740,43286,False
DISTORTEDsel840mECG2,49370,49740,56875,False
DISTORTEDtiltAPB1,114283,114350,110701,False
DISTORTEDtiltAPB2,124159,124985,55957,False
DISTORTEDtiltAPB3,114000,114370,92591,False
DISTORTEDtiltAPB4,67995,67996,56917,False
NOISE1sddb40,52000,52620,76199,False
NOISEBIDMC1,5400,5600,7044,False
NOISECIMIS44AirTemperature4,5549,5597,5568,True
NOISEECG4,16900,17100,26238,False
NOISEGP711MarkerLFM5z3,5948,5993,10599,False
NOISEInternalBleeding16,4187,4199,2209,False
NOISEInternalBleeding6,3474,3629,3625,True
NOISELab2Cmac011215EPG1,17210,17260,17213,True
NOISELab2Cmac011215EPG4,17390,17520,29261,False
NOISEMesoplodonDensirostris,19280,19440,-1,False
NOISETkeepThirdMARS,4711,4809,10357,False
NOISEapneaecg4,16000,16100,37038,False
NOISEgait3,59900,60500,45434,False
NOISEgaitHunt2,31200,31850,43911,False
NOISEinsectEPG3,7000,7050,5388,False
NOISEresperation2,168250,168250,68229,False
1sddb40,52000,52620,52354,True
2sddb40,56600,56900,56637,True
3sddb40,46600,46900,67158,False
BIDMC1,5400,5600,8944,False
