name,true_start,true_end,prediction,match
DISTORTED1sddb40,52000,52620,75502,False
DISTORTED2sddb40,56600,56900,56597,True
DISTORTED3sddb40,46600,46900,46799,True
DISTORTEDBIDMC1,5400,5600,5472,True
DISTORTEDCIMIS44AirTemperature1,5391,5392,7172,False
DISTORTEDCIMIS44AirTemperature2,5703,5727,5681,True
DISTORTEDCIMIS44AirTemperature3,6520,6544,6501,True
DISTORTEDCIMIS44AirTemperature4,5549,5597,7171,False
DISTORTEDCIMIS44AirTemperature5,4852,4900,4859,True
DISTORTEDCIMIS44AirTemperature6,6006,6054,6010,True
DISTORTEDECG1,11800,12100,25862,False
DISTORTEDECG2,16000,16100,26432,False
DISTORTEDECG3,16000,16100,23254,False
DISTORTEDECG3,17000,17100,15436,False
DISTORTEDECG4,16800,17100,17099,True
DISTORTEDECG4,16900,17100,6861,False
DISTORTEDECG4,17000,17100,5366,False
DISTORTEDECG4,17000,17100,24395,False
DISTORTEDGP711MarkerLFM5z1,6168,6212,6867,False
DISTORTEDGP711MarkerLFM5z2,7175,7388,8861,False
DISTORTEDGP711MarkerLFM5z3,5948,5993,11021,False
DISTORTEDGP711MarkerLFM5z4,6527,6645,10603,False
DISTORTEDGP711MarkerLFM5z5,8612,8716,8400,False
DISTORTEDInternalBleeding10,4526,4556,4493,True
DISTORTEDInternalBleeding14,5607,5634,5567,True
DISTORTEDInternalBleeding15,5684,5854,5796,True
DISTORTEDInternalBleeding16,4187,4199,3308,False
DISTORTEDInternalBleeding17,3198,3309,2567,False
DISTORTEDInternalBleeding18,4485,4587,5682,False
DISTORTEDInternalBleeding19,4187,4197,6965,False
DISTORTEDInternalBleeding20,5759,5919,6767,False
DISTORTEDInternalBleeding4,4675,5033,4400,False
DISTORTEDInternalBleeding5,6200,6370,6189,True
DISTORTEDInternalBleeding6,3474,3629,3698,True
DISTORTEDInternalBleeding8,5865,5974,3103,False
DISTORTEDInternalBleeding9,6599,6681,5234,False
DISTORTEDLab2Cmac011215EPG1,17210,17260,29882,False
DISTORTEDLab2Cmac011215EPG2,27862,27932,27890,True
DISTORTEDLab2Cmac011215EPG3,16390,16420,16377,True
DISTORTEDLab2Cmac011215EPG4,17390,17520,17581,True
DISTORTEDLab2Cmac011215EPG5,17390,17520,17392,True
DISTORTEDLab2Cmac011215EPG6,12190,12420,12386,True
DISTORTEDMesoplodonDensirostris,19280,19440,14894,False
DISTORTEDPowerDemand1,18485,18821,18637,True
DISTORTEDPowerDemand2,23357,23717,22969,False
DISTORTEDPowerDemand3,23405,23477,22976,False
DISTORTEDPowerDemand4,24005,24077,24040,True
DISTORTEDTkeepFifthMARS,5988,6085,6713,False
DISTORTEDTkeepFirstMARS,5365,5380,6595,False
DISTORTEDTkeepForthMARS,5988,6085,9840,False
DISTORTEDTkeepSecondMARS,9330,9340,4434,False
DISTORTEDTkeepThirdMARS,4711,4809,9744,False
DISTORTEDWalkingAceleration1,2764,2995,5742,False
DISTORTEDWalkingAceleration5,5920,5979,5915,True
DISTORTEDapneaecg2,20950,21100,20927,True
DISTORTEDapneaecg3,11111,11211,11126,True
DISTORTEDapneaecg4,16000,16100,16008,True
DISTORTEDapneaecg,12240,12308,12201,True
DISTORTEDgait1,38500,38800,59849,False
DISTORTEDgait2,46500,46800,40002,False
DISTORTEDgait3,59900,60500,56699,False
DISTORTEDgaitHunt1,33070,33180,57873,False
DISTORTEDgaitHunt2,31200,31850,62467,False
DISTORTEDgaitHunt3,38400,39200,38728,True
DISTORTEDinsectEPG1,7000,7030,8811,False
DISTORTEDinsectEPG2,8000,8025,8008,True
DISTORTEDinsectEPG3,7000,7050,8811,False
DISTORTEDinsectEPG4,6508,6558,6531,True
DISTORTEDinsectEPG5,8500,8501,8510,True
DISTORTEDltstdbs30791AI,52600,52800,53441,False
DISTORTEDltstdbs30791AS,52600,52800,37961,False
DISTORTEDltstdbs30791ES,52600,52800,24031,False
DISTORTEDpark3m,72150,72495,76625,False
DISTORTEDqtdbSel1005V,12400,12800,22931,False
DISTORTEDqtdbSel100MLII,13400,13800,13661,True
DISTORTEDresperation10,130700,131880,93611,False
DISTORTEDresperation11,110800,110801,184413,False
DISTORTEDresperation1,110260,110412,182802,False
DISTORTEDresperation2,168250,168250,125630,False
DISTORTEDresperation2,168250,168251,164442,False
DISTORTEDresperation3,158250,158251,88521,False
