name,true_start,true_end,prediction,match
DISTORTED1sddb40,52000,52620,69419,False
DISTORTED2sddb40,56600,56900,69689,False
DISTORTED3sddb40,46600,46900,69713,False
DISTORTEDBIDMC1,5400,5600,5546,True
DISTORTEDCIMIS44AirTemperature1,5391,5392,4798,False
DISTORTEDCIMIS44AirTemperature2,5703,5727,5084,False
DISTORTEDCIMIS44AirTemperature3,6520,6544,4752,False
DISTORTEDCIMIS44AirTemperature4,5549,5597,4771,False
DISTORTEDCIMIS44AirTemperature5,4852,4900,5061,False
DISTORTEDCIMIS44AirTemperature6,6006,6054,5081,False
DISTORTEDECG1,11800,12100,11856,True
DISTORTEDECG2,16000,16100,22809,False
DISTORTEDECG3,16000,16100,24173,False
DISTORTEDECG3,17000,17100,23029,False
DISTORTEDECG4,16800,17100,134586,False
DISTORTEDECG4,16900,17100,12581,False
DISTORTEDECG4,17000,17100,14547,False
DISTORTEDECG4,17000,17100,13396,False
DISTORTEDGP711MarkerLFM5z1,6168,6212,5231,False
DISTORTEDGP711MarkerLFM5z2,7175,7388,7285,True
DISTORTEDGP711MarkerLFM5z3,5948,5993,8778,False
DISTORTEDGP711MarkerLFM5z4,6527,6645,6452,True
DISTORTEDGP711MarkerLFM5z5,8612,8716,8516,True
DISTORTEDInternalBleeding10,4526,4556,7344,False
DISTORTEDInternalBleeding14,5607,5634,5136,False
DISTORTEDInternalBleeding15,5684,5854,5668,True
DISTORTEDInternalBleeding16,4187,4199,1805,False
DISTORTEDInternalBleeding17,3198,3309,3931,False
DISTORTEDInternalBleeding18,4485,4587,5191,False
DISTORTEDInternalBleeding19,4187,4197,7286,False
DISTORTEDInternalBleeding20,5759,5919,5821,True
DISTORTEDInternalBleeding4,4675,5033,4716,True
DISTORTEDInternalBleeding5,6200,6370,6164,True
DISTORTEDInternalBleeding6,3474,3629,3465,True
DISTORTEDInternalBleeding8,5865,5974,3346,False
DISTORTEDInternalBleeding9,6599,6681,5721,False
DISTORTEDLab2Cmac011215EPG1,17210,17260,17217,True
DISTORTEDLab2Cmac011215EPG2,27862,27932,20155,False
DISTORTEDLab2Cmac011215EPG3,16390,16420,16391,True
DISTORTEDLab2Cmac011215EPG4,17390,17520,17621,False
DISTORTEDLab2Cmac011215EPG5,17390,17520,17394,True
DISTORTEDLab2Cmac011215EPG6,12190,12420,18374,False
DISTORTEDMesoplodonDensirostris,19280,19440,21376,False
DISTORTEDPowerDemand1,18485,18821,14108,False
DISTORTEDPowerDemand2,23357,23717,14102,False
DISTORTEDPowerDemand3,23405,23477,26603,False
DISTORTEDPowerDemand4,24005,24077,26467,False
DISTORTEDTkeepFifthMARS,5988,6085,10485,False
DISTORTEDTkeepFirstMARS,5365,5380,5195,False
DISTORTEDTkeepForthMARS,5988,6085,8718,False
DISTORTEDTkeepSecondMARS,9330,9340,3842,False
DISTORTEDTkeepThirdMARS,4711,4809,6787,False
DISTORTEDWalkingAceleration1,2764,2995,5705,False
DISTORTEDWalkingAceleration5,5920,5979,5913,True
DISTORTEDapneaecg2,20950,21100,30350,False
DISTORTEDapneaecg3,11111,11211,5063,False
DISTORTEDapneaecg4,16000,16100,24367,False
DISTORTEDapneaecg,12240,12308,31268,False
DISTORTEDgait1,38500,38800,43212,False
DISTORTEDgait2,46500,46800,61130,False
DISTORTEDgait3,59900,60500,36772,False
DISTORTEDgaitHunt1,33070,33180,22899,False
DISTORTEDgaitHunt2,31200,31850,35126,False
DISTORTEDgaitHunt3,38400,39200,38913,True
DISTORTEDinsectEPG1,7000,7030,6316,False
DISTORTEDinsectEPG2,8000,8025,6328,False
DISTORTEDinsectEPG3,7000,7050,6308,False
DISTORTEDinsectEPG4,6508,6558,6310,False
DISTORTEDinsectEPG5,8500,8501,8505,True
DISTORTEDltstdbs30791AI,52600,52800,52502,True
DISTORTEDltstdbs30791AS,52600,52800,52501,True
DISTORTEDltstdbs30791ES,52600,52800,28753,False
DISTORTEDpark3m,72150,72495,72159,True
DISTORTEDqtdbSel1005V,12400,12800,29395,False
DISTORTEDqtdbSel100MLII,13400,13800,8922,False
DISTORTEDresperation10,130700,131880,134585,False
DISTORTEDresperation11,110800,110801,131645,False
DISTORTEDresperation1,110260,110412,134519,False
DISTORTEDresperation2,168250,168250,131295,False
DISTORTEDresperation2,168250,168251,131693,False
DISTORTEDresperation3,158250,158251,134564,False
DISTORTEDresperation4,128430,128431,134843,False
DISTORTEDresperation9,143411,143511,136243,False
DISTORTEDs20101mML2,35774,35874,35844,True
DISTORTEDs20101m,35774,35874,16996,False
DISTORTEDsddb49,67950,68200,47542,False
DISTORTEDsel840mECG1,51370,51740,21211,False
DISTORTEDsel840mECG2,49370,49740,41691,False
DISTORTEDtiltAPB1,114283,114350,129401,False
DISTORTEDtiltAPB2,124159,124985,85134,False
DISTORTEDtiltAPB3,114000,114370,85089,False
DISTORTEDtiltAPB4,67995,67996,96586,False
NOISE1sddb40,52000,52620,69474,False
NOISEBIDMC1,5400,5600,5520,True
NOISECIMIS44AirTemperature4,5549,5597,5076,False
NOISEECG4,16900,17100,13394,False
NOISEGP711MarkerLFM5z3,5948,5993,5895,True
NOISEInternalBleeding16,4187,4199,2806,False
NOISEInternalBleeding6,3474,3629,3486,True
NOISELab2Cmac011215EPG1,17210,17260,17215,True
NOISELab2Cmac011215EPG4,17390,17520,17619,True
NOISEMesoplodonDensirostris,19280,19440,13536,False
NOISETkeepThirdMARS,4711,4809,4684,True
NOISEapneaecg4,16000,16100,25960,False
NOISEgait3,59900,60500,51204,False
NOISEgaitHunt2,31200,31850,22906,False
NOISEinsectEPG3,7000,7050,6310,False
NOISEresperation2,168250,168250,134596,False
1sddb40,52000,52620,69483,False
2sddb40,56600,56900,69603,False
3sddb40,46600,46900,69701,False
BIDMC1,5400,5600,4210,False
CIMIS44AirTemperature1,5391,5392,5072,False
CIMIS44AirTemperature2,5703,5727,5078,False
CIMIS44AirTemperature3,6520,6544,5079,False
CIMIS44AirTemperature4,5549,5597,5071,False
CIMIS44AirTemperature5,4852,4900,5081,False
CIMIS44AirTemperature6,6006,6054,5073,False
ECG1,11800,12100,11861,True
ECG2,16000,16100,17786,False
ECG3,16000,16100,28352,False
ECG3,17000,17100,28284,False
ECG4,16800,17100,16914,True
ECG4,16900,17100,13398,False
ECG4,17000,17100,13395,False
ECG4,17000,17100,28239,False
GP711MarkerLFM5z1,6168,6212,8677,False
GP711MarkerLFM5z2,7175,7388,7272,True
GP711MarkerLFM5z3,5948,5993,5828,False
GP711MarkerLFM5z4,6527,6645,6582,True
GP711MarkerLFM5z5,8612,8716,8541,True
InternalBleeding10,4526,4556,4143,False
InternalBleeding14,5607,5634,5585,True
InternalBleeding15,5684,5854,5708,True
InternalBleeding16,4187,4199,6203,False
InternalBleeding17,3198,3309,6214,False
InternalBleeding18,4485,4587,2825,False
InternalBleeding19,4187,4197,4044,False
InternalBleeding20,5759,5919,5832,True
InternalBleeding4,4675,5033,4729,True
InternalBleeding5,6200,6370,6169,True
InternalBleeding6,3474,3629,3505,True
InternalBleeding8,5865,5974,6602,False
InternalBleeding9,6599,6681,6875,False
Lab2Cmac011215EPG1,17210,17260,17223,True
Lab2Cmac011215EPG2,27862,27932,29794,False
Lab2Cmac011215EPG3,16390,16420,16386,True
Lab2Cmac011215EPG4,17390,17520,20669,False
Lab2Cmac011215EPG5,17390,17520,17405,True
Lab2Cmac011215EPG6,12190,12420,29679,False
MesoplodonDensirostris,19280,19440,20238,False
PowerDemand1,18485,18821,14127,False
PowerDemand2,23357,23717,14116,False
PowerDemand3,23405,23477,25920,False
PowerDemand4,24005,24077,26466,False
TkeepFifthMARS,5988,6085,9866,False
TkeepFirstMARS,5365,5380,8648,False
TkeepForthMARS,5988,6085,8481,False
TkeepSecondMARS,9330,9340,9321,True
TkeepThirdMARS,4711,4809,4639,True
WalkingAceleration1,2764,2995,5693,False
WalkingAceleration5,5920,5979,5907,True
apneaecg2,20950,21100,26132,False
apneaecg3,11111,11211,5759,False
apneaecg4,16000,16100,30179,False
apneaecg,12240,12308,24487,False
gait1,38500,38800,53832,False
gait2,46500,46800,51244,False
gait3,59900,60500,55707,False
gaitHunt1,33070,33180,22906,False
gaitHunt2,31200,31850,22900,False
gaitHunt3,38400,39200,38399,True
insectEPG1,7000,7030,8820,False
insectEPG2,8000,8025,6321,False
insectEPG3,7000,7050,6312,False
insectEPG4,6508,6558,6311,False
insectEPG5,8500,8501,8495,True
ltstdbs30791AI,52600,52800,52496,False
ltstdbs30791AS,52600,52800,52485,False
ltstdbs30791ES,52600,52800,53767,False
park3m,72150,72495,72102,True
qtdbSel1005V,12400,12800,29401,False
qtdbSel100MLII,13400,13800,5396,False
resperation10,130700,131880,134528,False
resperation11,110800,110801,134556,False
resperation1,110260,110412,131283,False
resperation2,168250,168250,134582,False
resperation2,168250,168251,131357,False
resperation3,158250,158251,131262,False
resperation4,128430,128431,131497,False
resperation9,143411,143511,134594,False
s20101mML2,35774,35874,35839,True
s20101m,35774,35874,10681,False
sddb49,67950,68200,47494,False
sel840mECG1,51370,51740,51364,True
sel840mECG2,49370,49740,41638,False
tiltAPB1,114283,114350,129596,False
tiltAPB2,124159,124985,84999,False
tiltAPB3,114000,114370,84871,False
tiltAPB4,67995,67996,85183,False
CHARISfive,17001,17016,17006,True
CHARISfive,10998,11028,37660,False
CHARISfive,10995,11028,18991,False
CHARISfive,15000,15070,37851,False
CHARISfive,28995,29085,35692,False
CHARISten,29080,29140,26053,False
CHARISten,26929,26989,6843,False
CHARISten,27929,27989,27943,True
Fantasia,26970,27270,69173,False
Italianpowerdemand,74900,74996,56416,False
Italianpowerdemand,39240,39336,56312,False
Italianpowerdemand,29480,29504,14120,False
STAFFIIIDatabase,126920,127370,174714,False
STAFFIIIDatabase,125720,126370,246783,False
STAFFIIIDatabase,106720,107370,274401,False
STAFFIIIDatabase,160720,161370,119180,False
STAFFIIIDatabase,150720,151370,246476,False
STAFFIIIDatabase,210720,211370,174658,False
STAFFIIIDatabase,64632,64852,174545,False
STAFFIIIDatabase,250720,251370,279893,False
STAFFIIIDatabase,163632,164852,272778,False
mit14046longtermecg,91200,91700,91241,True
mit14046longtermecg,131200,131700,106929,False
mit14046longtermecg,191200,191700,105574,False
mit14046longtermecg,143000,143300,108056,False
mit14046longtermecg,123000,123300,179932,False
mit14134longtermecg,29000,29100,35483,False
mit14134longtermecg,47830,47850,34758,False
mit14134longtermecg,57960,57970,36976,False
mit14134longtermecg,19510,19610,34679,False
mit14134longtermecg,47530,47790,53130,False
mit14134longtermecg,57530,57790,53086,False
mit14157longtermecg,24500,24501,79715,False
mit14157longtermecg,24600,24601,55761,False
mit14157longtermecg,75450,75451,76521,False
mit14157longtermecg,46350,46390,81838,False
mit14157longtermecg,89560,90370,62013,False
mit14157longtermecg,72600,72780,51771,False
taichidbS0715Master,593450,593514,365008,False
taichidbS0715Master,884100,884200,-1,False
taichidbS0715Master,837400,839100,520360,False
tilt12744mtable,104630,104890,187445,False
tilt12744mtable,203355,203400,169567,False
tilt12754table,104630,104890,190385,False
tilt12754table,270800,271070,189496,False
tilt12755mtable,270800,271070,210744,False
tilt12755mtable,121900,121980,106294,False
weallwalk,4702,4707,4394,False
weallwalk,8285,8315,8304,True
weallwalk,7290,7296,7287,True
