name,true_start,true_end,prediction,match
DISTORTED1sddb40,52000,52620,69440,False
DISTORTED2sddb40,56600,56900,69682,False
DISTORTED3sddb40,46600,46900,69737,False
DISTORTEDBIDMC1,5400,5600,5464,True
DISTORTEDCIMIS44AirTemperature1,5391,5392,6242,False
DISTORTEDCIMIS44AirTemperature2,5703,5727,5083,False
DISTORTEDCIMIS44AirTemperature3,6520,6544,5081,False
DISTORTEDCIMIS44AirTemperature4,5549,5597,4782,False
DISTORTEDCIMIS44AirTemperature5,4852,4900,5069,False
DISTORTEDCIMIS44AirTemperature6,6006,6054,5088,False
DISTORTEDECG1,11800,12100,11860,True
DISTORTEDECG2,16000,16100,22784,False
DISTORTEDECG3,16000,16100,15201,False
DISTORTEDECG3,17000,17100,23064,False
DISTORTEDECG4,16800,17100,16878,True
DISTORTEDECG4,16900,17100,6459,False
DISTORTEDECG4,17000,17100,28273,False
DISTORTEDECG4,17000,17100,13395,False
DISTORTEDGP711MarkerLFM5z1,6168,6212,5311,False
DISTORTEDGP711MarkerLFM5z2,7175,7388,7296,True
DISTORTEDGP711MarkerLFM5z3,5948,5993,8824,False
DISTORTEDGP711MarkerLFM5z4,6527,6645,6576,True
DISTORTEDGP711MarkerLFM5z5,8612,8716,8582,True
DISTORTEDInternalBleeding10,4526,4556,5210,False
DISTORTEDInternalBleeding14,5607,5634,5207,False
DISTORTEDInternalBleeding15,5684,5854,5657,True
DISTORTEDInternalBleeding16,4187,4199,1676,False
DISTORTEDInternalBleeding17,3198,3309,4048,False
DISTORTEDInternalBleeding18,4485,4587,3470,False
DISTORTEDInternalBleeding19,4187,4197,7255,False
DISTORTEDInternalBleeding20,5759,5919,5831,True
DISTORTEDInternalBleeding4,4675,5033,4746,True
DISTORTEDInternalBleeding5,6200,6370,6173,True
DISTORTEDInternalBleeding6,3474,3629,3484,True
DISTORTEDInternalBleeding8,5865,5974,3274,False
DISTORTEDInternalBleeding9,6599,6681,4758,False
DISTORTEDLab2Cmac011215EPG1,17210,17260,17221,True
DISTORTEDLab2Cmac011215EPG2,27862,27932,20158,False
DISTORTEDLab2Cmac011215EPG3,16390,16420,16393,True
DISTORTEDLab2Cmac011215EPG4,17390,17520,17616,True
DISTORTEDLab2Cmac011215EPG5,17390,17520,17403,True
DISTORTEDLab2Cmac011215EPG6,12190,12420,21136,False
DISTORTEDMesoplodonDensirostris,19280,19440,-1,False
DISTORTEDPowerDemand1,18485,18821,14114,False
DISTORTEDPowerDemand2,23357,23717,14120,False
DISTORTEDPowerDemand3,23405,23477,23025,False
DISTORTEDPowerDemand4,24005,24077,26589,False
DISTORTEDTkeepFifthMARS,5988,6085,10453,False
DISTORTEDTkeepFirstMARS,5365,5380,5189,False
DISTORTEDTkeepForthMARS,5988,6085,7945,False
DISTORTEDTkeepSecondMARS,9330,9340,3833,False
DISTORTEDTkeepThirdMARS,4711,4809,6756,False
DISTORTEDWalkingAceleration1,2764,2995,5747,False
DISTORTEDWalkingAceleration5,5920,5979,5920,True
DISTORTEDapneaecg2,20950,21100,33032,False
DISTORTEDapneaecg3,11111,11211,38058,False
DISTORTEDapneaecg4,16000,16100,13671,False
DISTORTEDapneaecg,12240,12308,26891,False
DISTORTEDgait1,38500,38800,43243,False
DISTORTEDgait2,46500,46800,37604,False
DISTORTEDgait3,59900,60500,63086,False
DISTORTEDgaitHunt1,33070,33180,22874,False
DISTORTEDgaitHunt2,31200,31850,35102,False
DISTORTEDgaitHunt3,38400,39200,38805,True
DISTORTEDinsectEPG1,7000,7030,7842,False
DISTORTEDinsectEPG2,8000,8025,6296,False
DISTORTEDinsectEPG3,7000,7050,6329,False
DISTORTEDinsectEPG4,6508,6558,7783,False
DISTORTEDinsectEPG5,8500,8501,6310,False
DISTORTEDltstdbs30791AI,52600,52800,52644,True
DISTORTEDltstdbs30791AS,52600,52800,52628,True
DISTORTEDltstdbs30791ES,52600,52800,28822,False
DISTORTEDpark3m,72150,72495,76898,False
DISTORTEDqtdbSel1005V,12400,12800,29372,False
DISTORTEDqtdbSel100MLII,13400,13800,6106,False
DISTORTEDresperation10,130700,131880,134597,False
DISTORTEDresperation11,110800,110801,134585,False
