name,true_start,true_end,prediction,match
DISTORTED1sddb40,52000,52620,52251,True
DISTORTED2sddb40,56600,56900,69686,False
DISTORTED3sddb40,46600,46900,69702,False
DISTORTEDBIDMC1,5400,5600,5550,True
DISTORTEDCIMIS44AirTemperature1,5391,5392,4780,False
DISTORTEDCIMIS44AirTemperature2,5703,5727,5080,False
DISTORTEDCIMIS44AirTemperature3,6520,6544,4743,False
DISTORTEDCIMIS44AirTemperature4,5549,5597,4778,False
DISTORTEDCIMIS44AirTemperature5,4852,4900,5062,False
DISTORTEDCIMIS44AirTemperature6,6006,6054,5092,False
DISTORTEDECG1,11800,12100,11856,True
DISTORTEDECG2,16000,16100,25755,False
DISTORTEDECG3,16000,16100,20029,False
DISTORTEDECG3,17000,17100,10263,False
DISTORTEDECG4,16800,17100,16944,True
DISTORTEDECG4,16900,17100,17519,False
DISTORTEDECG4,17000,17100,9263,False
DISTORTEDECG4,17000,17100,14522,False
DISTORTEDGP711MarkerLFM5z1,6168,6212,10472,False
DISTORTEDGP711MarkerLFM5z2,7175,7388,7267,True
DISTORTEDGP711MarkerLFM5z3,5948,5993,8836,False
DISTORTEDGP711MarkerLFM5z4,6527,6645,6591,True
DISTORTEDGP711MarkerLFM5z5,8612,8716,8561,True
DISTORTEDInternalBleeding10,4526,4556,5232,False
DISTORTEDInternalBleeding14,5607,5634,5142,False
DISTORTEDInternalBleeding15,5684,5854,5697,True
DISTORTEDInternalBleeding16,4187,4199,1691,False
DISTORTEDInternalBleeding17,3198,3309,4017,False
DISTORTEDInternalBleeding18,4485,4587,5195,False
DISTORTEDInternalBleeding19,4187,4197,7286,False
DISTORTEDInternalBleeding20,5759,5919,5701,True
DISTORTEDInternalBleeding4,4675,5033,4729,True
DISTORTEDInternalBleeding5,6200,6370,6179,True
DISTORTEDInternalBleeding6,3474,3629,3479,True
DISTORTEDInternalBleeding8,5865,5974,3274,False
DISTORTEDInternalBleeding9,6599,6681,5734,False
DISTORTEDLab2Cmac011215EPG1,17210,17260,17225,True
DISTORTEDLab2Cmac011215EPG2,27862,27932,27925,True
DISTORTEDLab2Cmac011215EPG3,16390,16420,16391,True
DISTORTEDLab2Cmac011215EPG4,17390,17520,17620,False
DISTORTEDLab2Cmac011215EPG5,17390,17520,17390,True
DISTORTEDLab2Cmac011215EPG6,12190,12420,16386,False
DISTORTEDMesoplodonDensirostris,19280,19440,20091,False
DISTORTEDPowerDemand1,18485,18821,14109,False
DISTORTEDPowerDemand2,23357,23717,14110,False
DISTORTEDPowerDemand3,23405,23477,23019,False
DISTORTEDPowerDemand4,24005,24077,26597,False
DISTORTEDTkeepFifthMARS,5988,6085,10449,False
DISTORTEDTkeepFirstMARS,5365,5380,5188,False
DISTORTEDTkeepForthMARS,5988,6085,7934,False
DISTORTEDTkeepSecondMARS,9330,9340,3848,False
DISTORTEDTkeepThirdMARS,4711,4809,6789,False
DISTORTEDWalkingAceleration1,2764,2995,5746,False
DISTORTEDWalkingAceleration5,5920,5979,5915,True
DISTORTEDapneaecg2,20950,21100,20996,True
DISTORTEDapneaecg3,11111,11211,26843,False
DISTORTEDapneaecg4,16000,16100,25955,False
DISTORTEDapneaecg,12240,12308,27951,False
DISTORTEDgait1,38500,38800,60389,False
DISTORTEDgait2,46500,46800,37501,False
DISTORTEDgait3,59900,60500,31713,False
DISTORTEDgaitHunt1,33070,33180,22836,False
DISTORTEDgaitHunt2,31200,31850,35143,False
DISTORTEDgaitHunt3,38400,39200,38812,True
DISTORTEDinsectEPG1,7000,7030,7833,False
DISTORTEDinsectEPG2,8000,8025,6328,False
DISTORTEDinsectEPG3,7000,7050,6313,False
DISTORTEDinsectEPG4,6508,6558,7785,False
DISTORTEDinsectEPG5,8500,8501,8496,True
DISTORTEDltstdbs30791AI,52600,52800,52624,True
DISTORTEDltstdbs30791AS,52600,52800,52636,True
DISTORTEDltstdbs30791ES,52600,52800,30224,False
DISTORTEDpark3m,72150,72495,72201,True
DISTORTEDqtdbSel1005V,12400,12800,29392,False
DISTORTEDqtdbSel100MLII,13400,13800,5279,False
DISTORTEDresperation10,130700,131880,134556,False
DISTORTEDresperation11,110800,110801,134554,False
DISTORTEDresperation1,110260,110412,134560,False
DISTORTEDresperation2,168250,168250,131291,False
DISTORTEDresperation2,168250,168251,134539,False
DISTORTEDresperation3,158250,158251,131311,False
DISTORTEDresperation4,128430,128431,131533,False
DISTORTEDresperation9,143411,143511,134532,False
DISTORTEDs20101mML2,35774,35874,35835,True
DISTORTEDs20101m,35774,35874,10677,False
DISTORTEDsddb49,67950,68200,47626,False
DISTORTEDsel840mECG1,51370,51740,47172,False
DISTORTEDsel840mECG2,49370,49740,43245,False
DISTORTEDtiltAPB1,114283,114350,129604,False
DISTORTEDtiltAPB2,124159,124985,87785,False
DISTORTEDtiltAPB3,114000,114370,84956,False
DISTORTEDtiltAPB4,67995,67996,85057,False
NOISE1sddb40,52000,52620,51981,True
NOISEBIDMC1,5400,5600,5514,True
NOISECIMIS44AirTemperature4,5549,5597,4749,False
NOISEECG4,16900,17100,16832,True
NOISEGP711MarkerLFM5z3,5948,5993,5905,True
NOISEInternalBleeding16,4187,4199,7321,False
NOISEInternalBleeding6,3474,3629,3459,True
NOISELab2Cmac011215EPG1,17210,17260,17223,True
NOISELab2Cmac011215EPG4,17390,17520,17621,False
NOISEMesoplodonDensirostris,19280,19440,24471,False
NOISETkeepThirdMARS,4711,4809,4647,True
NOISEapneaecg4,16000,16100,30246,False
NOISEgait3,59900,60500,55696,False
NOISEgaitHunt2,31200,31850,22895,False
NOISEinsectEPG3,7000,7050,6312,False
NOISEresperation2,168250,168250,134589,False
1sddb40,52000,52620,69479,False
2sddb40,56600,56900,69706,False
3sddb40,46600,46900,69718,False
BIDMC1,5400,5600,4210,False
CIMIS44AirTemperature1,5391,5392,5083,False
CIMIS44AirTemperature2,5703,5727,4771,False
CIMIS44AirTemperature3,6520,6544,5084,False
CIMIS44AirTemperature4,5549,5597,5070,False
CIMIS44AirTemperature5,4852,4900,4835,True
CIMIS44AirTemperature6,6006,6054,5072,False
ECG1,11800,12100,11855,True
ECG2,16000,16100,22816,False
ECG3,16000,16100,20036,False
ECG3,17000,17100,14527,False
ECG4,16800,17100,17002,True
ECG4,16900,17100,14533,False
ECG4,17000,17100,14539,False
ECG4,17000,17100,28284,False
GP711MarkerLFM5z1,6168,6212,8841,False
GP711MarkerLFM5z2,7175,7388,7255,True
GP711MarkerLFM5z3,5948,5993,5784,False
GP711MarkerLFM5z4,6527,6645,6477,True
GP711MarkerLFM5z5,8612,8716,8511,False
InternalBleeding10,4526,4556,4532,True
InternalBleeding14,5607,5634,5573,True
InternalBleeding15,5684,5854,5631,True
InternalBleeding16,4187,4199,3919,False
InternalBleeding17,3198,3309,5158,False
InternalBleeding18,4485,4587,7289,False
InternalBleeding19,4187,4197,5063,False
InternalBleeding20,5759,5919,5832,True
InternalBleeding4,4675,5033,4723,True
InternalBleeding5,6200,6370,6165,True
InternalBleeding6,3474,3629,3500,True
InternalBleeding8,5865,5974,6599,False
InternalBleeding9,6599,6681,6821,False
Lab2Cmac011215EPG1,17210,17260,17234,True
Lab2Cmac011215EPG2,27862,27932,20571,False
Lab2Cmac011215EPG3,16390,16420,16406,True
Lab2Cmac011215EPG4,17390,17520,20664,False
Lab2Cmac011215EPG5,17390,17520,17394,True
Lab2Cmac011215EPG6,12190,12420,19904,False
MesoplodonDensirostris,19280,19440,14995,False
PowerDemand1,18485,18821,14112,False
PowerDemand2,23357,23717,14274,False
PowerDemand3,23405,23477,26611,False
PowerDemand4,24005,24077,26611,False
TkeepFifthMARS,5988,6085,8277,False
TkeepFirstMARS,5365,5380,10806,False
TkeepForthMARS,5988,6085,10715,False
TkeepSecondMARS,9330,9340,9319,True
TkeepThirdMARS,4711,4809,4667,True
WalkingAceleration1,2764,2995,5765,False
WalkingAceleration5,5920,5979,5921,True
apneaecg2,20950,21100,20976,True
apneaecg3,11111,11211,12852,False
apneaecg4,16000,16100,37937,False
apneaecg,12240,12308,26954,False
gait1,38500,38800,38579,True
gait2,46500,46800,55746,False
gait3,59900,60500,55758,False
gaitHunt1,33070,33180,22885,False
gaitHunt2,31200,31850,22909,False
gaitHunt3,38400,39200,38240,False
insectEPG1,7000,7030,6309,False
insectEPG2,8000,8025,6315,False
insectEPG3,7000,7050,6324,False
insectEPG4,6508,6558,6313,False
insectEPG5,8500,8501,8497,True
ltstdbs30791AI,52600,52800,52619,True
ltstdbs30791AS,52600,52800,52621,True
ltstdbs30791ES,52600,52800,28754,False
park3m,72150,72495,72048,False
qtdbSel1005V,12400,12800,29385,False
qtdbSel100MLII,13400,13800,5391,False
resperation10,130700,131880,134544,False
resperation11,110800,110801,131249,False
resperation1,110260,110412,134567,False
resperation2,168250,168250,131223,False
resperation2,168250,168251,131257,False
resperation3,158250,158251,131288,False
resperation4,128430,128431,131567,False
resperation9,143411,143511,134591,False
s20101mML2,35774,35874,35834,True
s20101m,35774,35874,17132,False
sddb49,67950,68200,47597,False
sel840mECG1,51370,51740,51169,False
sel840mECG2,49370,49740,41643,False
tiltAPB1,114283,114350,114233,True
tiltAPB2,124159,124985,96726,False
tiltAPB3,114000,114370,84887,False
tiltAPB4,67995,67996,84889,False
CHARISfive,17001,17016,17007,True
CHARISfive,10998,11028,37618,False
CHARISfive,10995,11028,18991,False
CHARISfive,15000,15070,37871,False
CHARISfive,28995,29085,35506,False
CHARISten,29080,29140,26064,False
CHARISten,26929,26989,6848,False
CHARISten,27929,27989,27953,True
Fantasia,26970,27270,29088,False
Italianpowerdemand,74900,74996,106460,False
Italianpowerdemand,39240,39336,106268,False
Italianpowerdemand,29480,29504,14114,False
STAFFIIIDatabase,126920,127370,174364,False
STAFFIIIDatabase,125720,126370,246427,False
STAFFIIIDatabase,106720,107370,80313,False
STAFFIIIDatabase,160720,161370,119333,False
STAFFIIIDatabase,150720,151370,246420,False
STAFFIIIDatabase,210720,211370,174329,False
STAFFIIIDatabase,64632,64852,174563,False
STAFFIIIDatabase,250720,251370,118996,False
STAFFIIIDatabase,163632,164852,117013,False
mit14046longtermecg,91200,91700,91240,True
mit14046longtermecg,131200,131700,106677,False
mit14046longtermecg,191200,191700,105576,False
mit14046longtermecg,143000,143300,108098,False
mit14046longtermecg,123000,123300,123044,True
mit14134longtermecg,29000,29100,50309,False
mit14134longtermecg,47830,47850,34688,False
mit14134longtermecg,57960,57970,37029,False
mit14134longtermecg,19510,19610,34439,False
mit14134longtermecg,47530,47790,53155,False
mit14134longtermecg,57530,57790,53162,False
mit14157longtermecg,24500,24501,79766,False
mit14157longtermecg,24600,24601,55761,False
mit14157longtermecg,75450,75451,90711,False
mit14157longtermecg,46350,46390,62900,False
mit14157longtermecg,89560,90370,61995,False
mit14157longtermecg,72600,72780,51771,False
taichidbS0715Master,593450,593514,365008,False
taichidbS0715Master,884100,884200,260156,False
taichidbS0715Master,837400,839100,565041,False
tilt12744mtable,104630,104890,187390,False
tilt12744mtable,203355,203400,169493,False
tilt12754table,104630,104890,190890,False
tilt12754table,270800,271070,190014,False
tilt12755mtable,270800,271070,211358,False
tilt12755mtable,121900,121980,107041,False
weallwalk,4702,4707,2030,False
weallwalk,8285,8315,6494,False
weallwalk,7290,7296,7292,True
