name,true_start,true_end,prediction,match
DISTORTED1sddb40,52000,52620,69306,False
DISTORTED2sddb40,56600,56900,69584,False
DISTORTED3sddb40,46600,46900,69594,False
DISTORTEDBIDMC1,5400,5600,5430,True
DISTORTEDCIMIS44AirTemperature1,5391,5392,6253,False
DISTORTEDCIMIS44AirTemperature2,5703,5727,5088,False
DISTORTEDCIMIS44AirTemperature3,6520,6544,4746,False
DISTORTEDCIMIS44AirTemperature4,5549,5597,4763,False
DISTORTEDCIMIS44AirTemperature5,4852,4900,5063,False
DISTORTEDCIMIS44AirTemperature6,6006,6054,5076,False
DISTORTEDECG1,11800,12100,11648,False
DISTORTEDECG2,16000,16100,22817,False
DISTORTEDECG3,16000,16100,19518,False
DISTORTEDECG3,17000,17100,20004,False
DISTORTEDECG4,16800,17100,27579,False
DISTORTEDECG4,16900,17100,10254,False
DISTORTEDECG4,17000,17100,9267,False
DISTORTEDECG4,17000,17100,11758,False
DISTORTEDGP711MarkerLFM5z1,6168,6212,10919,False
DISTORTEDGP711MarkerLFM5z2,7175,7388,7310,True
DISTORTEDGP711MarkerLFM5z3,5948,5993,9598,False
DISTORTEDGP711MarkerLFM5z4,6527,6645,6528,True
DISTORTEDGP711MarkerLFM5z5,8612,8716,8574,True
DISTORTEDInternalBleeding10,4526,4556,7421,False
DISTORTEDInternalBleeding14,5607,5634,6755,False
DISTORTEDInternalBleeding15,5684,5854,5313,False
DISTORTEDInternalBleeding16,4187,4199,4159,True
DISTORTEDInternalBleeding17,3198,3309,4083,False
DISTORTEDInternalBleeding18,4485,4587,7381,False
DISTORTEDInternalBleeding19,4187,4197,5072,False
DISTORTEDInternalBleeding20,5759,5919,4109,False
DISTORTEDInternalBleeding4,4675,5033,4546,False
DISTORTEDInternalBleeding5,6200,6370,6181,True
DISTORTEDInternalBleeding6,3474,3629,3516,True
DISTORTEDInternalBleeding8,5865,5974,6632,False
DISTORTEDInternalBleeding9,6599,6681,5825,False
DISTORTEDLab2Cmac011215EPG1,17210,17260,17209,True
DISTORTEDLab2Cmac011215EPG2,27862,27932,20157,False
DISTORTEDLab2Cmac011215EPG3,16390,16420,16391,True
DISTORTEDLab2Cmac011215EPG4,17390,17520,16466,False
DISTORTEDLab2Cmac011215EPG5,17390,17520,17382,True
DISTORTEDLab2Cmac011215EPG6,12190,12420,21415,False
DISTORTEDMesoplodonDensirostris,19280,19440,24349,False
DISTORTEDPowerDemand1,18485,18821,14089,False
DISTORTEDPowerDemand2,23357,23717,16721,False
DISTORTEDPowerDemand3,23405,23477,26566,False
DISTORTEDPowerDemand4,24005,24077,26594,False
DISTORTEDTkeepFifthMARS,5988,6085,10450,False
DISTORTEDTkeepFirstMARS,5365,5380,4403,False
DISTORTEDTkeepForthMARS,5988,6085,7945,False
DISTORTEDTkeepSecondMARS,9330,9340,4113,False
DISTORTEDTkeepThirdMARS,4711,4809,9572,False
DISTORTEDWalkingAceleration1,2764,2995,6402,False
DISTORTEDWalkingAceleration5,5920,5979,5919,True
DISTORTEDapneaecg2,20950,21100,21008,True
DISTORTEDapneaecg3,11111,11211,16617,False
DISTORTEDapneaecg4,16000,16100,34980,False
DISTORTEDapneaecg,12240,12308,20968,False
DISTORTEDgait1,38500,38800,43280,False
DISTORTEDgait2,46500,46800,55633,False
DISTORTEDgait3,59900,60500,56745,False
DISTORTEDgaitHunt1,33070,33180,61603,False
DISTORTEDgaitHunt2,31200,31850,34906,False
DISTORTEDgaitHunt3,38400,39200,53684,False
DISTORTEDinsectEPG1,7000,7030,7842,False
DISTORTEDinsectEPG2,8000,8025,6349,False
DISTORTEDinsectEPG3,7000,7050,6302,False
DISTORTEDinsectEPG4,6508,6558,6313,False
DISTORTEDinsectEPG5,8500,8501,6359,False
DISTORTEDltstdbs30791AI,52600,52800,52544,True
DISTORTEDltstdbs30791AS,52600,52800,52532,True
DISTORTEDltstdbs30791ES,52600,52800,28794,False
DISTORTEDpark3m,72150,72495,72166,True
DISTORTEDqtdbSel1005V,12400,12800,29317,False
DISTORTEDqtdbSel100MLII,13400,13800,6078,False
DISTORTEDresperation10,130700,131880,134421,False
DISTORTEDresperation11,110800,110801,64807,False
DISTORTEDresperation1,110260,110412,134542,False
DISTORTEDresperation2,168250,168250,-1,False
DISTORTEDresperation2,168250,168251,33793,False
DISTORTEDresperation3,158250,158251,49756,False
DISTORTEDresperation4,128430,128431,134866,False
DISTORTEDresperation9,143411,143511,49736,False
DISTORTEDs20101mML2,35774,35874,35841,True
DISTORTEDs20101m,35774,35874,10676,False
DISTORTEDsddb49,67950,68200,47461,False
DISTORTEDsel840mECG1,51370,51740,51198,False
DISTORTEDsel840mECG2,49370,49740,41686,False
DISTORTEDtiltAPB1,114283,114350,129570,False
DISTORTEDtiltAPB2,124159,124985,96991,False
DISTORTEDtiltAPB3,114000,114370,87645,False
DISTORTEDtiltAPB4,67995,67996,34439,False
NOISE1sddb40,52000,52620,69330,False
NOISEBIDMC1,5400,5600,5480,True
NOISECIMIS44AirTemperature4,5549,5597,5068,False
NOISEECG4,16900,17100,28271,False
NOISEGP711MarkerLFM5z3,5948,5993,10477,False
NOISEInternalBleeding16,4187,4199,7451,False
NOISEInternalBleeding6,3474,3629,3514,True
NOISELab2Cmac011215EPG1,17210,17260,17213,True
NOISELab2Cmac011215EPG4,17390,17520,21560,False
NOISEMesoplodonDensirostris,19280,19440,17959,False
NOISETkeepThirdMARS,4711,4809,4667,True
NOISEapneaecg4,16000,16100,17494,False
NOISEgait3,59900,60500,50705,False
NOISEgaitHunt2,31200,31850,22662,False
NOISEinsectEPG3,7000,7050,6325,False
NOISEresperation2,168250,168250,-1,False
1sddb40,52000,52620,69295,False
2sddb40,56600,56900,69585,False
3sddb40,46600,46900,69587,False
BIDMC1,5400,5600,5509,True
CIMIS44AirTemperature1,5391,5392,6253,False
CIMIS44AirTemperature2,5703,5727,5078,False
CIMIS44AirTemperature3,6520,6544,5082,False
CIMIS44AirTemperature4,5549,5597,5056,False
CIMIS44AirTemperature5,4852,4900,5062,False
CIMIS44AirTemperature6,6006,6054,4751,False
ECG1,11800,12100,11758,True
ECG2,16000,16100,22811,False
ECG3,16000,16100,23018,False
ECG3,17000,17100,12573,False
ECG4,16800,17100,134489,False
ECG4,16900,17100,28270,False
ECG4,17000,17100,12576,False
ECG4,17000,17100,11762,False
GP711MarkerLFM5z1,6168,6212,10474,False
GP711MarkerLFM5z2,7175,7388,7314,True
GP711MarkerLFM5z3,5948,5993,10478,False
GP711MarkerLFM5z4,6527,6645,6523,True
GP711MarkerLFM5z5,8612,8716,8569,True
InternalBleeding10,4526,4556,7424,False
InternalBleeding14,5607,5634,6347,False
InternalBleeding15,5684,5854,5714,True
InternalBleeding16,4187,4199,7449,False
InternalBleeding17,3198,3309,5218,False
InternalBleeding18,4485,4587,6306,False
InternalBleeding19,4187,4197,6352,False
InternalBleeding20,5759,5919,5732,True
InternalBleeding4,4675,5033,4569,False
InternalBleeding5,6200,6370,6221,True
InternalBleeding6,3474,3629,3479,True
InternalBleeding8,5865,5974,6607,False
InternalBleeding9,6599,6681,6895,False
Lab2Cmac011215EPG1,17210,17260,17217,True
Lab2Cmac011215EPG2,27862,27932,20151,False
Lab2Cmac011215EPG3,16390,16420,16390,True
Lab2Cmac011215EPG4,17390,17520,29814,False
Lab2Cmac011215EPG5,17390,17520,17395,True
Lab2Cmac011215EPG6,12190,12420,19758,False
MesoplodonDensirostris,19280,19440,24496,False
PowerDemand1,18485,18821,13996,False
PowerDemand2,23357,23717,14068,False
PowerDemand3,23405,23477,26596,False
PowerDemand4,24005,24077,26569,False
TkeepFifthMARS,5988,6085,7860,False
TkeepFirstMARS,5365,5380,6180,False
TkeepForthMARS,5988,6085,10459,False
TkeepSecondMARS,9330,9340,9328,True
TkeepThirdMARS,4711,4809,4689,True
WalkingAceleration1,2764,2995,5571,False
