name,true_start,true_end,prediction,match
DISTORTED1sddb40,52000,52620,52205,True
DISTORTED2sddb40,56600,56900,69733,False
DISTORTED3sddb40,46600,46900,69639,False
DISTORTEDBIDMC1,5400,5600,5530,True
DISTORTEDCIMIS44AirTemperature1,5391,5392,6228,False
DISTORTEDCIMIS44AirTemperature2,5703,5727,5026,False
DISTORTEDCIMIS44AirTemperature3,6520,6544,4708,False
DISTORTEDCIMIS44AirTemperature4,5549,5597,4666,False
DISTORTEDCIMIS44AirTemperature5,4852,4900,5072,False
DISTORTEDCIMIS44AirTemperature6,6006,6054,5076,False
DISTORTEDECG1,11800,12100,11844,True
DISTORTEDECG2,16000,16100,17775,False
DISTORTEDECG3,16000,16100,21384,False
DISTORTEDECG3,17000,17100,28351,False
DISTORTEDECG4,16800,17100,134576,False
DISTORTEDECG4,16900,17100,12416,False
DISTORTEDECG4,17000,17100,9291,False
DISTORTEDECG4,17000,17100,14866,False
DISTORTEDGP711MarkerLFM5z1,6168,6212,5259,False
DISTORTEDGP711MarkerLFM5z2,7175,7388,7283,True
DISTORTEDGP711MarkerLFM5z3,5948,5993,8773,False
DISTORTEDGP711MarkerLFM5z4,6527,6645,6454,True
DISTORTEDGP711MarkerLFM5z5,8612,8716,8579,True
DISTORTEDInternalBleeding10,4526,4556,5212,False
DISTORTEDInternalBleeding14,5607,5634,5144,False
DISTORTEDInternalBleeding15,5684,5854,3801,False
DISTORTEDInternalBleeding16,4187,4199,1726,False
DISTORTEDInternalBleeding17,3198,3309,4018,False
DISTORTEDInternalBleeding18,4485,4587,5195,False
DISTORTEDInternalBleeding19,4187,4197,7239,False
DISTORTEDInternalBleeding20,5759,5919,5819,True
DISTORTEDInternalBleeding4,4675,5033,3815,False
DISTORTEDInternalBleeding5,6200,6370,6155,True
DISTORTEDInternalBleeding6,3474,3629,3436,True
DISTORTEDInternalBleeding8,5865,5974,6208,False
DISTORTEDInternalBleeding9,6599,6681,6813,False
DISTORTEDLab2Cmac011215EPG1,17210,17260,17219,True
DISTORTEDLab2Cmac011215EPG2,27862,27932,20153,False
DISTORTEDLab2Cmac011215EPG3,16390,16420,16393,True
DISTORTEDLab2Cmac011215EPG4,17390,17520,17623,False
DISTORTEDLab2Cmac011215EPG5,17390,17520,17365,True
DISTORTEDLab2Cmac011215EPG6,12190,12420,20456,False
DISTORTEDMesoplodonDensirostris,19280,19440,23595,False
DISTORTEDPowerDemand1,18485,18821,14114,False
DISTORTEDPowerDemand2,23357,23717,14185,False
DISTORTEDPowerDemand3,23405,23477,26580,False
DISTORTEDPowerDemand4,24005,24077,26577,False
DISTORTEDTkeepFifthMARS,5988,6085,10439,False
DISTORTEDTkeepFirstMARS,5365,5380,4359,False
DISTORTEDTkeepForthMARS,5988,6085,8730,False
DISTORTEDTkeepSecondMARS,9330,9340,3834,False
DISTORTEDTkeepThirdMARS,4711,4809,9567,False
DISTORTEDWalkingAceleration1,2764,2995,5761,False
DISTORTEDWalkingAceleration5,5920,5979,5919,True
DISTORTEDapneaecg2,20950,21100,-1,False
DISTORTEDapneaecg3,11111,11211,30760,False
DISTORTEDapneaecg4,16000,16100,-1,False
DISTORTEDapneaecg,12240,12308,-1,False
DISTORTEDgait1,38500,38800,53854,False
DISTORTEDgait2,46500,46800,37555,False
DISTORTEDgait3,59900,60500,63022,False
DISTORTEDgaitHunt1,33070,33180,55051,False
DISTORTEDgaitHunt2,31200,31850,35157,False
DISTORTEDgaitHunt3,38400,39200,34993,False
DISTORTEDinsectEPG1,7000,7030,7835,False
DISTORTEDinsectEPG2,8000,8025,6357,False
DISTORTEDinsectEPG3,7000,7050,6313,False
DISTORTEDinsectEPG4,6508,6558,7844,False
DISTORTEDinsectEPG5,8500,8501,8497,True
DISTORTEDltstdbs30791AI,52600,52800,52484,False
DISTORTEDltstdbs30791AS,52600,52800,52494,False
DISTORTEDltstdbs30791ES,52600,52800,53764,False
DISTORTEDpark3m,72150,72495,76956,False
DISTORTEDqtdbSel1005V,12400,12800,29389,False
DISTORTEDqtdbSel100MLII,13400,13800,6105,False
DISTORTEDresperation10,130700,131880,134528,False
DISTORTEDresperation11,110800,110801,134589,False
DISTORTEDresperation1,110260,110412,134245,False
DISTORTEDresperation2,168250,168250,32263,False
DISTORTEDresperation2,168250,168251,131641,False
DISTORTEDresperation3,158250,158251,131299,False
DISTORTEDresperation4,128430,128431,131571,False
DISTORTEDresperation9,143411,143511,131311,False
DISTORTEDs20101mML2,35774,35874,35841,True
DISTORTEDs20101m,35774,35874,29418,False
DISTORTEDsddb49,67950,68200,47468,False
DISTORTEDsel840mECG1,51370,51740,21175,False
DISTORTEDsel840mECG2,49370,49740,41684,False
DISTORTEDtiltAPB1,114283,114350,129584,False
DISTORTEDtiltAPB2,124159,124985,97471,False
DISTORTEDtiltAPB3,114000,114370,85083,False
DISTORTEDtiltAPB4,67995,67996,84777,False
NOISE1sddb40,52000,52620,69439,False
NOISEBIDMC1,5400,5600,4203,False
NOISECIMIS44AirTemperature4,5549,5597,4689,False
NOISEECG4,16900,17100,13396,False
NOISEGP711MarkerLFM5z3,5948,5993,5806,False
NOISEInternalBleeding16,4187,4199,2829,False
NOISEInternalBleeding6,3474,3629,3440,True
NOISELab2Cmac011215EPG1,17210,17260,17222,True
NOISELab2Cmac011215EPG4,17390,17520,17622,False
NOISEMesoplodonDensirostris,19280,19440,17932,False
NOISETkeepThirdMARS,4711,4809,4689,True
NOISEapneaecg4,16000,16100,-1,False
NOISEgait3,59900,60500,35626,False
NOISEgaitHunt2,31200,31850,22900,False
NOISEinsectEPG3,7000,7050,6327,False
NOISEresperation2,168250,168250,134577,False
1sddb40,52000,52620,69441,False
2sddb40,56600,56900,69726,False
3sddb40,46600,46900,69717,False
BIDMC1,5400,5600,5511,True
CIMIS44AirTemperature1,5391,5392,4659,False
CIMIS44AirTemperature2,5703,5727,4732,False
CIMIS44AirTemperature3,6520,6544,4683,False
CIMIS44AirTemperature4,5549,5597,4696,False
CIMIS44AirTemperature5,4852,4900,4728,False
CIMIS44AirTemperature6,6006,6054,6124,True
ECG1,11800,12100,11852,True
ECG2,16000,16100,15591,False
ECG3,16000,16100,28254,False
ECG3,17000,17100,28352,False
ECG4,16800,17100,134572,False
ECG4,16900,17100,12580,False
ECG4,17000,17100,28223,False
ECG4,17000,17100,28345,False
GP711MarkerLFM5z1,6168,6212,8862,False
GP711MarkerLFM5z2,7175,7388,7269,True
GP711MarkerLFM5z3,5948,5993,5869,True
GP711MarkerLFM5z4,6527,6645,6471,True
GP711MarkerLFM5z5,8612,8716,8497,False
InternalBleeding10,4526,4556,4542,True
InternalBleeding14,5607,5634,5538,True
InternalBleeding15,5684,5854,5701,True
InternalBleeding16,4187,4199,2818,False
InternalBleeding17,3198,3309,6228,False
InternalBleeding18,4485,4587,6257,False
InternalBleeding19,4187,4197,3946,False
InternalBleeding20,5759,5919,5840,True
InternalBleeding4,4675,5033,5930,False
InternalBleeding5,6200,6370,6145,True
InternalBleeding6,3474,3629,3517,True
InternalBleeding8,5865,5974,6648,False
InternalBleeding9,6599,6681,4583,False
Lab2Cmac011215EPG1,17210,17260,17221,True
Lab2Cmac011215EPG2,27862,27932,23418,False
Lab2Cmac011215EPG3,16390,16420,16386,True
Lab2Cmac011215EPG4,17390,17520,20668,False
Lab2Cmac011215EPG5,17390,17520,17406,True
Lab2Cmac011215EPG6,12190,12420,29702,False
MesoplodonDensirostris,19280,19440,17921,False
PowerDemand1,18485,18821,14106,False
PowerDemand2,23357,23717,14217,False
PowerDemand3,23405,23477,26579,False
PowerDemand4,24005,24077,26580,False
TkeepFifthMARS,5988,6085,11180,False
TkeepFirstMARS,5365,5380,10845,False
TkeepForthMARS,5988,6085,9845,False
TkeepSecondMARS,9330,9340,9317,True
TkeepThirdMARS,4711,4809,4680,True
WalkingAceleration1,2764,2995,5759,False
WalkingAceleration5,5920,5979,5917,True
apneaecg2,20950,21100,-1,False
apneaecg3,11111,11211,-1,False
apneaecg4,16000,16100,-1,False
apneaecg,12240,12308,-1,False
gait1,38500,38800,55705,False
gait2,46500,46800,55709,False
gait3,59900,60500,53757,False
gaitHunt1,33070,33180,22886,False
gaitHunt2,31200,31850,22881,False
gaitHunt3,38400,39200,38430,True
insectEPG1,7000,7030,8814,False
insectEPG2,8000,8025,6308,False
insectEPG3,7000,7050,7794,False
insectEPG4,6508,6558,6321,False
insectEPG5,8500,8501,8497,True
ltstdbs30791AI,52600,52800,52486,False
ltstdbs30791AS,52600,52800,52498,False
ltstdbs30791ES,52600,52800,30227,False
park3m,72150,72495,72123,True
qtdbSel1005V,12400,12800,-1,False
qtdbSel100MLII,13400,13800,8988,False
resperation10,130700,131880,134571,False
resperation11,110800,110801,131307,False
resperation1,110260,110412,131312,False
resperation2,168250,168250,131359,False
resperation2,168250,168251,131274,False
resperation3,158250,158251,131238,False
resperation4,128430,128431,134759,False
resperation9,143411,143511,134594,False
s20101mML2,35774,35874,35818,True
s20101m,35774,35874,17026,False
sddb49,67950,68200,47480,False
sel840mECG1,51370,51740,51340,True
sel840mECG2,49370,49740,41683,False
tiltAPB1,114283,114350,129612,False
tiltAPB2,124159,124985,84886,False
tiltAPB3,114000,114370,85036,False
tiltAPB4,67995,67996,85011,False
CHARISfive,17001,17016,17008,True
CHARISfive,10998,11028,37576,False
CHARISfive,10995,11028,18997,False
CHARISfive,15000,15070,37817,False
CHARISfive,28995,29085,35717,False
CHARISten,29080,29140,26061,False
