name,true_start,true_end,prediction,match
DISTORTED1sddb40,52000,52620,52246,True
DISTORTED2sddb40,56600,56900,69787,False
DISTORTED3sddb40,46600,46900,69787,False
DISTORTEDBIDMC1,5400,5600,5584,True
DISTORTEDCIMIS44AirTemperature1,5391,5392,6247,False
DISTORTEDCIMIS44AirTemperature2,5703,5727,5095,False
DISTORTEDCIMIS44AirTemperature3,6520,6544,5073,False
DISTORTEDCIMIS44AirTemperature4,5549,5597,4783,False
DISTORTEDCIMIS44AirTemperature5,4852,4900,5071,False
DISTORTEDCIMIS44AirTemperature6,6006,6054,5096,False
DISTORTEDECG1,11800,12100,11901,True
DISTORTEDECG2,16000,16100,17830,False
DISTORTEDECG3,16000,16100,19194,False
DISTORTEDECG3,17000,17100,28277,False
DISTORTEDECG4,16800,17100,134508,False
DISTORTEDECG4,16900,17100,12575,False
DISTORTEDECG4,17000,17100,9275,False
DISTORTEDECG4,17000,17100,12555,False
DISTORTEDGP711MarkerLFM5z1,6168,6212,10493,False
DISTORTEDGP711MarkerLFM5z2,7175,7388,9609,False
DISTORTEDGP711MarkerLFM5z3,5948,5993,9613,False
DISTORTEDGP711MarkerLFM5z4,6527,6645,10923,False
DISTORTEDGP711MarkerLFM5z5,8612,8716,9608,False
DISTORTEDInternalBleeding10,4526,4556,7428,False
DISTORTEDInternalBleeding14,5607,5634,6351,False
DISTORTEDInternalBleeding15,5684,5854,7189,False
DISTORTEDInternalBleeding16,4187,4199,1755,False
DISTORTEDInternalBleeding17,3198,3309,4144,False
DISTORTEDInternalBleeding18,4485,4587,7436,False
DISTORTEDInternalBleeding19,4187,4197,5246,False
DISTORTEDInternalBleeding20,5759,5919,7438,False
DISTORTEDInternalBleeding4,4675,5033,-1,False
DISTORTEDInternalBleeding5,6200,6370,6200,True
DISTORTEDInternalBleeding6,3474,3629,3562,True
DISTORTEDInternalBleeding8,5865,5974,6649,False
DISTORTEDInternalBleeding9,6599,6681,5862,False
DISTORTEDLab2Cmac011215EPG1,17210,17260,17220,True
DISTORTEDLab2Cmac011215EPG2,27862,27932,27924,True
DISTORTEDLab2Cmac011215EPG3,16390,16420,16385,True
DISTORTEDLab2Cmac011215EPG4,17390,17520,17618,True
DISTORTEDLab2Cmac011215EPG5,17390,17520,17397,True
DISTORTEDLab2Cmac011215EPG6,12190,12420,20484,False
DISTORTEDMesoplodonDensirostris,19280,19440,21544,False
DISTORTEDPowerDemand1,18485,18821,18346,False
DISTORTEDPowerDemand2,23357,23717,17074,False
DISTORTEDPowerDemand3,23405,23477,23021,False
DISTORTEDPowerDemand4,24005,24077,26603,False
DISTORTEDTkeepFifthMARS,5988,6085,7280,False
DISTORTEDTkeepFirstMARS,5365,5380,4406,False
DISTORTEDTkeepForthMARS,5988,6085,7166,False
DISTORTEDTkeepSecondMARS,9330,9340,4111,False
DISTORTEDTkeepThirdMARS,4711,4809,9619,False
