name,true_start,true_end,prediction,match
DISTORTED1sddb40,52000,52620,52256,True
DISTORTED2sddb40,56600,56900,69780,False
DISTORTED3sddb40,46600,46900,69779,False
DISTORTEDBIDMC1,5400,5600,5556,True
DISTORTEDCIMIS44AirTemperature1,5391,5392,4779,False
DISTORTEDCIMIS44AirTemperature2,5703,5727,5071,False
DISTORTEDCIMIS44AirTemperature3,6520,6544,5049,False
DISTORTEDCIMIS44AirTemperature4,5549,5597,4763,False
DISTORTEDCIMIS44AirTemperature5,4852,4900,5068,False
DISTORTEDCIMIS44AirTemperature6,6006,6054,5091,False
DISTORTEDECG1,11800,12100,11873,True
DISTORTEDECG2,16000,16100,22816,False
DISTORTEDECG3,16000,16100,19515,False
DISTORTEDECG3,17000,17100,17511,False
DISTORTEDECG4,16800,17100,27635,False
DISTORTEDECG4,16900,17100,17525,False
DISTORTEDECG4,17000,17100,12393,False
DISTORTEDECG4,17000,17100,11753,False
DISTORTEDGP711MarkerLFM5z1,6168,6212,10924,False
DISTORTEDGP711MarkerLFM5z2,7175,7388,9598,False
DISTORTEDGP711MarkerLFM5z3,5948,5993,5906,True
DISTORTEDGP711MarkerLFM5z4,6527,6645,10906,False
DISTORTEDGP711MarkerLFM5z5,8612,8716,8581,True
DISTORTEDInternalBleeding10,4526,4556,7407,False
DISTORTEDInternalBleeding14,5607,5634,5220,False
DISTORTEDInternalBleeding15,5684,5854,7179,False
DISTORTEDInternalBleeding16,4187,4199,4121,True
DISTORTEDInternalBleeding17,3198,3309,4114,False
DISTORTEDInternalBleeding18,4485,4587,7399,False
DISTORTEDInternalBleeding19,4187,4197,3917,False
DISTORTEDInternalBleeding20,5759,5919,7414,False
DISTORTEDInternalBleeding4,4675,5033,3756,False
DISTORTEDInternalBleeding5,6200,6370,6172,True
DISTORTEDInternalBleeding6,3474,3629,3529,True
DISTORTEDInternalBleeding8,5865,5974,6638,False
DISTORTEDInternalBleeding9,6599,6681,5818,False
DISTORTEDLab2Cmac011215EPG1,17210,17260,17223,True
DISTORTEDLab2Cmac011215EPG2,27862,27932,20158,False
DISTORTEDLab2Cmac011215EPG3,16390,16420,16386,True
DISTORTEDLab2Cmac011215EPG4,17390,17520,20270,False
DISTORTEDLab2Cmac011215EPG5,17390,17520,17397,True
DISTORTEDLab2Cmac011215EPG6,12190,12420,21131,False
DISTORTEDMesoplodonDensirostris,19280,19440,21363,False
DISTORTEDPowerDemand1,18485,18821,14091,False
DISTORTEDPowerDemand2,23357,23717,17039,False
DISTORTEDPowerDemand3,23405,23477,23001,False
