name,true_start,true_end,prediction,match
DISTORTED1sddb40,52000,52620,70902,False
DISTORTED2sddb40,56600,56900,71187,False
DISTORTED3sddb40,46600,46900,71201,False
DISTORTEDBIDMC1,5400,5600,5472,True
DISTORTEDCIMIS44AirTemperature1,5391,5392,6058,False
DISTORTEDCIMIS44AirTemperature2,5703,5727,6058,False
DISTORTEDCIMIS44AirTemperature3,6520,6544,6056,False
DISTORTEDCIMIS44AirTemperature4,5549,5597,4496,False
DISTORTEDCIMIS44AirTemperature5,4852,4900,4495,False
DISTORTEDCIMIS44AirTemperature6,6006,6054,6773,False
DISTORTEDECG1,11800,12100,11870,True
DISTORTEDECG2,16000,16100,22761,False
DISTORTEDECG3,16000,16100,19438,False
DISTORTEDECG3,17000,17100,9430,False
DISTORTEDECG4,16800,17100,134568,False
DISTORTEDECG4,16900,17100,14107,False
DISTORTEDECG4,17000,17100,14592,False
DISTORTEDECG4,17000,17100,11700,False
DISTORTEDGP711MarkerLFM5z1,6168,6212,10571,False
DISTORTEDGP711MarkerLFM5z2,7175,7388,7064,False
DISTORTEDGP711MarkerLFM5z3,5948,5993,10064,False
DISTORTEDGP711MarkerLFM5z4,6527,6645,6370,False
DISTORTEDGP711MarkerLFM5z5,8612,8716,11336,False
DISTORTEDInternalBleeding10,4526,4556,5644,False
DISTORTEDInternalBleeding14,5607,5634,6615,False
DISTORTEDInternalBleeding15,5684,5854,5304,False
DISTORTEDInternalBleeding16,4187,4199,4469,False
DISTORTEDInternalBleeding17,3198,3309,2415,False
DISTORTEDInternalBleeding18,4485,4587,2369,False
DISTORTEDInternalBleeding19,4187,4197,3190,False
DISTORTEDInternalBleeding20,5759,5919,5642,False
DISTORTEDInternalBleeding4,4675,5033,6249,False
DISTORTEDInternalBleeding5,6200,6370,6137,True
DISTORTEDInternalBleeding6,3474,3629,3641,True
DISTORTEDInternalBleeding8,5865,5974,3641,False
DISTORTEDInternalBleeding9,6599,6681,4885,False
DISTORTEDLab2Cmac011215EPG1,17210,17260,29842,False
DISTORTEDLab2Cmac011215EPG2,27862,27932,12813,False
DISTORTEDLab2Cmac011215EPG3,16390,16420,29791,False
DISTORTEDLab2Cmac011215EPG4,17390,17520,29906,False
DISTORTEDLab2Cmac011215EPG5,17390,17520,17397,True
DISTORTEDLab2Cmac011215EPG6,12190,12420,13010,False
DISTORTEDMesoplodonDensirostris,19280,19440,20219,False
DISTORTEDPowerDemand1,18485,18821,14090,False
DISTORTEDPowerDemand2,23357,23717,14110,False
DISTORTEDPowerDemand3,23405,23477,22975,False
DISTORTEDPowerDemand4,24005,24077,22907,False
DISTORTEDTkeepFifthMARS,5988,6085,10444,False
DISTORTEDTkeepFirstMARS,5365,5380,4384,False
DISTORTEDTkeepForthMARS,5988,6085,8724,False
DISTORTEDTkeepSecondMARS,9330,9340,9318,True
DISTORTEDTkeepThirdMARS,4711,4809,4630,True
DISTORTEDWalkingAceleration1,2764,2995,3975,False
DISTORTEDWalkingAceleration5,5920,5979,3555,False
DISTORTEDapneaecg2,20950,21100,34269,False
DISTORTEDapneaecg3,11111,11211,30343,False
DISTORTEDapneaecg4,16000,16100,23332,False
DISTORTEDapneaecg,12240,12308,34184,False
DISTORTEDgait1,38500,38800,56908,False
DISTORTEDgait2,46500,46800,35713,False
DISTORTEDgait3,59900,60500,56907,False
DISTORTEDgaitHunt1,33070,33180,43609,False
DISTORTEDgaitHunt2,31200,31850,25007,False
DISTORTEDgaitHunt3,38400,39200,43889,False
DISTORTEDinsectEPG1,7000,7030,7399,False
DISTORTEDinsectEPG2,8000,8025,7994,True
DISTORTEDinsectEPG3,7000,7050,6045,False
DISTORTEDinsectEPG4,6508,6558,5179,False
DISTORTEDinsectEPG5,8500,8501,8497,True
DISTORTEDltstdbs30791AI,52600,52800,52527,True
DISTORTEDltstdbs30791AS,52600,52800,29394,False
DISTORTEDltstdbs30791ES,52600,52800,53563,False
DISTORTEDpark3m,72150,72495,69311,False
DISTORTEDqtdbSel1005V,12400,12800,29369,False
DISTORTEDqtdbSel100MLII,13400,13800,23498,False
DISTORTEDresperation10,130700,131880,134584,False
DISTORTEDresperation11,110800,110801,134599,False
DISTORTEDresperation1,110260,110412,134576,False
DISTORTEDresperation2,168250,168250,131265,False
DISTORTEDresperation2,168250,168251,134577,False
DISTORTEDresperation3,158250,158251,131254,False
DISTORTEDresperation4,128430,128431,134831,False
DISTORTEDresperation9,143411,143511,131269,False
DISTORTEDs20101mML2,35774,35874,35754,True
DISTORTEDs20101m,35774,35874,17027,False
DISTORTEDsddb49,67950,68200,47538,False
DISTORTEDsel840mECG1,51370,51740,24678,False
DISTORTEDsel840mECG2,49370,49740,43276,False
DISTORTEDtiltAPB1,114283,114350,105807,False
DISTORTEDtiltAPB2,124159,124985,97415,False
DISTORTEDtiltAPB3,114000,114370,97252,False
DISTORTEDtiltAPB4,67995,67996,97412,False
NOISE1sddb40,52000,52620,70871,False
NOISEBIDMC1,5400,5600,5492,True
NOISECIMIS44AirTemperature4,5549,5597,4496,False
NOISEECG4,16900,17100,14445,False
NOISEGP711MarkerLFM5z3,5948,5993,8790,False
NOISEInternalBleeding16,4187,4199,2152,False
NOISEInternalBleeding6,3474,3629,3643,True
NOISELab2Cmac011215EPG1,17210,17260,17210,True
NOISELab2Cmac011215EPG4,17390,17520,29906,False
NOISEMesoplodonDensirostris,19280,19440,20219,False
NOISETkeepThirdMARS,4711,4809,4692,True
NOISEapneaecg4,16000,16100,16628,False
NOISEgait3,59900,60500,56904,False
NOISEgaitHunt2,31200,31850,43829,False
NOISEinsectEPG3,7000,7050,8820,False
NOISEresperation2,168250,168250,131265,False
1sddb40,52000,52620,70920,False
2sddb40,56600,56900,71208,False
3sddb40,46600,46900,71114,False
BIDMC1,5400,5600,5471,True
CIMIS44AirTemperature1,5391,5392,5355,True
CIMIS44AirTemperature2,5703,5727,5356,False
CIMIS44AirTemperature3,6520,6544,5355,False
CIMIS44AirTemperature4,5549,5597,5355,False
CIMIS44AirTemperature5,4852,4900,5356,False
CIMIS44AirTemperature6,6006,6054,5355,False
ECG1,11800,12100,11847,True
