name,true_start,true_end,prediction,match
DISTORTED1sddb40,52000,52620,70885,False
DISTORTED2sddb40,56600,56900,71075,False
DISTORTED3sddb40,46600,46900,71097,False
DISTORTEDBIDMC1,5400,5600,5457,True
DISTORTEDCIMIS44AirTemperature1,5391,5392,6058,False
DISTORTEDCIMIS44AirTemperature2,5703,5727,6058,False
DISTORTEDCIMIS44AirTemperature3,6520,6544,6056,False
DISTORTEDCIMIS44AirTemperature4,5549,5597,4496,False
DISTORTEDCIMIS44AirTemperature5,4852,4900,4495,False
DISTORTEDCIMIS44AirTemperature6,6006,6054,6773,False
DISTORTEDECG1,11800,12100,11858,True
DISTORTEDECG2,16000,16100,17811,False
DISTORTEDECG3,16000,16100,19958,False
DISTORTEDECG3,17000,17100,17505,False
DISTORTEDECG4,16800,17100,16937,True
DISTORTEDECG4,16900,17100,14135,False
DISTORTEDECG4,17000,17100,17004,True
DISTORTEDECG4,17000,17100,14503,False
DISTORTEDGP711MarkerLFM5z1,6168,6212,10571,False
DISTORTEDGP711MarkerLFM5z2,7175,7388,7064,False
DISTORTEDGP711MarkerLFM5z3,5948,5993,10064,False
DISTORTEDGP711MarkerLFM5z4,6527,6645,6370,False
DISTORTEDGP711MarkerLFM5z5,8612,8716,11336,False
DISTORTEDInternalBleeding10,4526,4556,5598,False
DISTORTEDInternalBleeding14,5607,5634,6662,False
DISTORTEDInternalBleeding15,5684,5854,5801,True
DISTORTEDInternalBleeding16,4187,4199,4449,False
DISTORTEDInternalBleeding17,3198,3309,2339,False
DISTORTEDInternalBleeding18,4485,4587,2373,False
DISTORTEDInternalBleeding19,4187,4197,3253,False
DISTORTEDInternalBleeding20,5759,5919,5638,False
DISTORTEDInternalBleeding4,4675,5033,4585,True
DISTORTEDInternalBleeding5,6200,6370,5236,False
DISTORTEDInternalBleeding6,3474,3629,3646,True
DISTORTEDInternalBleeding8,5865,5974,2597,False
DISTORTEDInternalBleeding9,6599,6681,4411,False
DISTORTEDLab2Cmac011215EPG1,17210,17260,29842,False
DISTORTEDLab2Cmac011215EPG2,27862,27932,12813,False
DISTORTEDLab2Cmac011215EPG3,16390,16420,29791,False
DISTORTEDLab2Cmac011215EPG4,17390,17520,29907,False
DISTORTEDLab2Cmac011215EPG5,17390,17520,17397,True
DISTORTEDLab2Cmac011215EPG6,12190,12420,13010,False
DISTORTEDMesoplodonDensirostris,19280,19440,-1,False
DISTORTEDPowerDemand1,18485,18821,14114,False
DISTORTEDPowerDemand2,23357,23717,14209,False
DISTORTEDPowerDemand3,23405,23477,23017,False
DISTORTEDPowerDemand4,24005,24077,22967,False
DISTORTEDTkeepFifthMARS,5988,6085,10444,False
DISTORTEDTkeepFirstMARS,5365,5380,4385,False
DISTORTEDTkeepForthMARS,5988,6085,8724,False
DISTORTEDTkeepSecondMARS,9330,9340,9318,True
DISTORTEDTkeepThirdMARS,4711,4809,4630,True
DISTORTEDWalkingAceleration1,2764,2995,4034,False
DISTORTEDWalkingAceleration5,5920,5979,3552,False
DISTORTEDapneaecg2,20950,21100,20962,True
DISTORTEDapneaecg3,11111,11211,26845,False
DISTORTEDapneaecg4,16000,16100,37940,False
DISTORTEDapneaecg,12240,12308,33062,False
DISTORTEDgait1,38500,38800,49048,False
DISTORTEDgait2,46500,46800,57501,False
DISTORTEDgait3,59900,60500,35654,False
DISTORTEDgaitHunt1,33070,33180,33161,True
DISTORTEDgaitHunt2,31200,31850,25013,False
DISTORTEDgaitHunt3,38400,39200,50015,False
DISTORTEDinsectEPG1,7000,7030,7399,False
DISTORTEDinsectEPG2,8000,8025,7994,True
DISTORTEDinsectEPG3,7000,7050,6045,False
DISTORTEDinsectEPG4,6508,6558,5166,False
DISTORTEDinsectEPG5,8500,8501,8497,True
DISTORTEDltstdbs30791AI,52600,52800,52560,True
DISTORTEDltstdbs30791AS,52600,52800,52612,True
DISTORTEDltstdbs30791ES,52600,52800,52928,False
DISTORTEDpark3m,72150,72495,69329,False
DISTORTEDqtdbSel1005V,12400,12800,29381,False
DISTORTEDqtdbSel100MLII,13400,13800,23511,False
DISTORTEDresperation10,130700,131880,134572,False
DISTORTEDresperation11,110800,110801,134585,False
DISTORTEDresperation1,110260,110412,134576,False
DISTORTEDresperation2,168250,168250,131253,False
DISTORTEDresperation2,168250,168251,134583,False
DISTORTEDresperation3,158250,158251,131250,False
DISTORTEDresperation4,128430,128431,134836,False
DISTORTEDresperation9,143411,143511,131264,False
DISTORTEDs20101mML2,35774,35874,36279,False
DISTORTEDs20101m,35774,35874,17023,False
DISTORTEDsddb49,67950,68200,48779,False
DISTORTEDsel840mECG1,51370,51740,24673,False
DISTORTEDsel840mECG2,49370,49740,43275,False
DISTORTEDtiltAPB1,114283,114350,100225,False
DISTORTEDtiltAPB2,124159,124985,97419,False
DISTORTEDtiltAPB3,114000,114370,97251,False
DISTORTEDtiltAPB4,67995,67996,97409,False
NOISE1sddb40,52000,52620,70960,False
NOISEBIDMC1,5400,5600,5477,True
NOISECIMIS44AirTemperature4,5549,5597,4496,False
NOISEECG4,16900,17100,23070,False
NOISEGP711MarkerLFM5z3,5948,5993,8790,False
NOISEInternalBleeding16,4187,4199,2157,False
NOISEInternalBleeding6,3474,3629,3650,True
NOISELab2Cmac011215EPG1,17210,17260,17210,True
NOISELab2Cmac011215EPG4,17390,17520,29907,False
NOISEMesoplodonDensirostris,19280,19440,-1,False
NOISETkeepThirdMARS,4711,4809,4692,True
NOISEapneaecg4,16000,16100,34012,False
NOISEgait3,59900,60500,56839,False
NOISEgaitHunt2,31200,31850,43858,False
NOISEinsectEPG3,7000,7050,8822,False
NOISEresperation2,168250,168250,131254,False
1sddb40,52000,52620,70881,False
2sddb40,56600,56900,71148,False
3sddb40,46600,46900,71156,False
BIDMC1,5400,5600,5471,True
CIMIS44AirTemperature1,5391,5392,5355,True
CIMIS44AirTemperature2,5703,5727,5355,False
CIMIS44AirTemperature3,6520,6544,5355,False
CIMIS44AirTemperature4,5549,5597,5355,False
CIMIS44AirTemperature5,4852,4900,5355,False
CIMIS44AirTemperature6,6006,6054,5355,False
ECG1,11800,12100,11888,True
ECG2,16000,16100,17770,False
ECG3,16000,16100,23014,False
ECG3,17000,17100,12315,False
ECG4,16800,17100,16957,True
ECG4,16900,17100,6246,False
ECG4,17000,17100,6198,False
ECG4,17000,17100,14527,False
GP711MarkerLFM5z1,6168,6212,5999,False
GP711MarkerLFM5z2,7175,7388,7063,False
GP711MarkerLFM5z3,5948,5993,8786,False
GP711MarkerLFM5z4,6527,6645,6370,False
GP711MarkerLFM5z5,8612,8716,8786,True
InternalBleeding10,4526,4556,5519,False
InternalBleeding14,5607,5634,4501,False
InternalBleeding15,5684,5854,5804,True
InternalBleeding16,4187,4199,2155,False
InternalBleeding17,3198,3309,2193,False
InternalBleeding18,4485,4587,6698,False
InternalBleeding19,4187,4197,3268,False
InternalBleeding20,5759,5919,5634,False
InternalBleeding4,4675,5033,4585,True
InternalBleeding5,6200,6370,6138,True
InternalBleeding6,3474,3629,3652,True
InternalBleeding8,5865,5974,5885,True
InternalBleeding9,6599,6681,6282,False
Lab2Cmac011215EPG1,17210,17260,17210,True
Lab2Cmac011215EPG2,27862,27932,29791,False
Lab2Cmac011215EPG3,16390,16420,29791,False
Lab2Cmac011215EPG4,17390,17520,29907,False
Lab2Cmac011215EPG5,17390,17520,17403,True
Lab2Cmac011215EPG6,12190,12420,29699,False
MesoplodonDensirostris,19280,19440,-1,False
PowerDemand1,18485,18821,14275,False
PowerDemand2,23357,23717,14110,False
PowerDemand3,23405,23477,23019,False
PowerDemand4,24005,24077,23019,False
TkeepFifthMARS,5988,6085,10732,False
TkeepFirstMARS,5365,5380,10808,False
TkeepForthMARS,5988,6085,10708,False
TkeepSecondMARS,9330,9340,9318,True
TkeepThirdMARS,4711,4809,4692,True
WalkingAceleration1,2764,2995,2449,False
WalkingAceleration5,5920,5979,4033,False
apneaecg2,20950,21100,21030,True
apneaecg3,11111,11211,26857,False
apneaecg4,16000,16100,34012,False
apneaecg,12240,12308,33000,False
gait1,38500,38800,56906,False
gait2,46500,46800,52933,False
gait3,59900,60500,56843,False
gaitHunt1,33070,33180,53550,False
gaitHunt2,31200,31850,43619,False
gaitHunt3,38400,39200,43613,False
insectEPG1,7000,7030,8820,False
insectEPG2,8000,8025,7995,True
insectEPG3,7000,7050,8821,False
insectEPG4,6508,6558,8819,False
insectEPG5,8500,8501,8497,True
