name,true_start,true_end,prediction,match
DISTORTED1sddb40,52000,52620,70937,False
DISTORTED2sddb40,56600,56900,71178,False
DISTORTED3sddb40,46600,46900,71080,False
DISTORTEDBIDMC1,5400,5600,5457,True
DISTORTEDCIMIS44AirTemperature1,5391,5392,6059,False
DISTORTEDCIMIS44AirTemperature2,5703,5727,6059,False
DISTORTEDCIMIS44AirTemperature3,6520,6544,6059,False
DISTORTEDCIMIS44AirTemperature4,5549,5597,4497,False
DISTORTEDCIMIS44AirTemperature5,4852,4900,4497,False
DISTORTEDCIMIS44AirTemperature6,6006,6054,5356,False
DISTORTEDECG1,11800,12100,11842,True
DISTORTEDECG2,16000,16100,25746,False
DISTORTEDECG3,16000,16100,28277,False
DISTORTEDECG3,17000,17100,28211,False
DISTORTEDECG4,16800,17100,134579,False
DISTORTEDECG4,16900,17100,28269,False
DISTORTEDECG4,17000,17100,17519,False
DISTORTEDECG4,17000,17100,11769,False
DISTORTEDGP711MarkerLFM5z1,6168,6212,10571,False
DISTORTEDGP711MarkerLFM5z2,7175,7388,7064,False
DISTORTEDGP711MarkerLFM5z3,5948,5993,10064,False
DISTORTEDGP711MarkerLFM5z4,6527,6645,10597,False
DISTORTEDGP711MarkerLFM5z5,8612,8716,11336,False
DISTORTEDInternalBleeding10,4526,4556,3391,False
DISTORTEDInternalBleeding14,5607,5634,6695,False
DISTORTEDInternalBleeding15,5684,5854,5799,True
DISTORTEDInternalBleeding16,4187,4199,1246,False
DISTORTEDInternalBleeding17,3198,3309,2324,False
DISTORTEDInternalBleeding18,4485,4587,5541,False
DISTORTEDInternalBleeding19,4187,4197,3181,False
DISTORTEDInternalBleeding20,5759,5919,5645,False
DISTORTEDInternalBleeding4,4675,5033,6304,False
DISTORTEDInternalBleeding5,6200,6370,5176,False
DISTORTEDInternalBleeding6,3474,3629,3645,True
DISTORTEDInternalBleeding8,5865,5974,2619,False
DISTORTEDInternalBleeding9,6599,6681,4947,False
DISTORTEDLab2Cmac011215EPG1,17210,17260,17214,True
DISTORTEDLab2Cmac011215EPG2,27862,27932,13120,False
DISTORTEDLab2Cmac011215EPG3,16390,16420,29791,False
DISTORTEDLab2Cmac011215EPG4,17390,17520,29907,False
DISTORTEDLab2Cmac011215EPG5,17390,17520,17397,True
DISTORTEDLab2Cmac011215EPG6,12190,12420,13029,False
DISTORTEDMesoplodonDensirostris,19280,19440,24467,False
DISTORTEDPowerDemand1,18485,18821,14113,False
DISTORTEDPowerDemand2,23357,23717,14111,False
DISTORTEDPowerDemand3,23405,23477,23016,False
DISTORTEDPowerDemand4,24005,24077,22969,False
DISTORTEDTkeepFifthMARS,5988,6085,10447,False
DISTORTEDTkeepFirstMARS,5365,5380,4385,False
DISTORTEDTkeepForthMARS,5988,6085,8724,False
DISTORTEDTkeepSecondMARS,9330,9340,9319,True
DISTORTEDTkeepThirdMARS,4711,4809,4631,True
DISTORTEDWalkingAceleration1,2764,2995,4034,False
DISTORTEDWalkingAceleration5,5920,5979,3552,False
DISTORTEDapneaecg2,20950,21100,35251,False
DISTORTEDapneaecg3,11111,11211,27876,False
DISTORTEDapneaecg4,16000,16100,37950,False
DISTORTEDapneaecg,12240,12308,26922,False
DISTORTEDgait1,38500,38800,56842,False
DISTORTEDgait2,46500,46800,25100,False
DISTORTEDgait3,59900,60500,56899,False
DISTORTEDgaitHunt1,33070,33180,33249,True
DISTORTEDgaitHunt2,31200,31850,63525,False
DISTORTEDgaitHunt3,38400,39200,43891,False
DISTORTEDinsectEPG1,7000,7030,7399,False
DISTORTEDinsectEPG2,8000,8025,7994,True
DISTORTEDinsectEPG3,7000,7050,6045,False
DISTORTEDinsectEPG4,6508,6558,5166,False
DISTORTEDinsectEPG5,8500,8501,8497,True
DISTORTEDltstdbs30791AI,52600,52800,52858,True
DISTORTEDltstdbs30791AS,52600,52800,52638,True
DISTORTEDltstdbs30791ES,52600,52800,53492,False
DISTORTEDpark3m,72150,72495,70949,False
DISTORTEDqtdbSel1005V,12400,12800,29384,False
DISTORTEDqtdbSel100MLII,13400,13800,22863,False
DISTORTEDresperation10,130700,131880,134586,False
DISTORTEDresperation11,110800,110801,134565,False
DISTORTEDresperation1,110260,110412,134577,False
DISTORTEDresperation2,168250,168250,131266,False
DISTORTEDresperation2,168250,168251,134574,False
DISTORTEDresperation3,158250,158251,131260,False
DISTORTEDresperation4,128430,128431,134833,False
DISTORTEDresperation9,143411,143511,134568,False
DISTORTEDs20101mML2,35774,35874,36278,False
DISTORTEDs20101m,35774,35874,16992,False
DISTORTEDsddb49,67950,68200,67996,True
DISTORTEDsel840mECG1,51370,51740,51170,False
DISTORTEDsel840mECG2,49370,49740,43261,False
DISTORTEDtiltAPB1,114283,114350,100257,False
DISTORTEDtiltAPB2,124159,124985,97409,False
DISTORTEDtiltAPB3,114000,114370,97412,False
DISTORTEDtiltAPB4,67995,67996,97414,False
NOISE1sddb40,52000,52620,70891,False
NOISEBIDMC1,5400,5600,5466,True
NOISECIMIS44AirTemperature4,5549,5597,5357,False
NOISEECG4,16900,17100,5279,False
NOISEGP711MarkerLFM5z3,5948,5993,8790,False
NOISEInternalBleeding16,4187,4199,2152,False
NOISEInternalBleeding6,3474,3629,3652,True
NOISELab2Cmac011215EPG1,17210,17260,17210,True
NOISELab2Cmac011215EPG4,17390,17520,29907,False
NOISEMesoplodonDensirostris,19280,19440,24467,False
NOISETkeepThirdMARS,4711,4809,4693,True
NOISEapneaecg4,16000,16100,26726,False
NOISEgait3,59900,60500,56902,False
NOISEgaitHunt2,31200,31850,43613,False
NOISEinsectEPG3,7000,7050,8820,False
NOISEresperation2,168250,168250,134577,False
1sddb40,52000,52620,70916,False
2sddb40,56600,56900,71254,False
3sddb40,46600,46900,71130,False
BIDMC1,5400,5600,4201,False
CIMIS44AirTemperature1,5391,5392,5356,True
CIMIS44AirTemperature2,5703,5727,4498,False
CIMIS44AirTemperature3,6520,6544,4498,False
CIMIS44AirTemperature4,5549,5597,4498,False
CIMIS44AirTemperature5,4852,4900,4498,False
CIMIS44AirTemperature6,6006,6054,4498,False
ECG1,11800,12100,11880,True
ECG2,16000,16100,15984,True
ECG3,16000,16100,28225,False
ECG3,17000,17100,15034,False
ECG4,16800,17100,134580,False
ECG4,16900,17100,28225,False
ECG4,17000,17100,17013,True
ECG4,17000,17100,28222,False
GP711MarkerLFM5z1,6168,6212,5999,False
GP711MarkerLFM5z2,7175,7388,7063,False
GP711MarkerLFM5z3,5948,5993,8786,False
GP711MarkerLFM5z4,6527,6645,6367,False
GP711MarkerLFM5z5,8612,8716,8786,True
InternalBleeding10,4526,4556,5522,False
InternalBleeding14,5607,5634,6596,False
InternalBleeding15,5684,5854,5802,True
InternalBleeding16,4187,4199,2193,False
InternalBleeding17,3198,3309,2213,False
InternalBleeding18,4485,4587,6704,False
InternalBleeding19,4187,4197,6675,False
InternalBleeding20,5759,5919,5634,False
InternalBleeding4,4675,5033,2052,False
InternalBleeding5,6200,6370,6139,True
