name,true_start,true_end,prediction,match
DISTORTED1sddb40,52000,52620,70684,False
DISTORTED2sddb40,56600,56900,71156,False
DISTORTED3sddb40,46600,46900,71167,False
DISTORTEDBIDMC1,5400,5600,5305,True
DISTORTEDCIMIS44AirTemperature1,5391,5392,6076,False
DISTORTEDCIMIS44AirTemperature2,5703,5727,6058,False
DISTORTEDCIMIS44AirTemperature3,6520,6544,6056,False
DISTORTEDCIMIS44AirTemperature4,5549,5597,4472,False
DISTORTEDCIMIS44AirTemperature5,4852,4900,6696,False
DISTORTEDCIMIS44AirTemperature6,6006,6054,6749,False
DISTORTEDECG1,11800,12100,13167,False
DISTORTEDECG2,16000,16100,15565,False
DISTORTEDECG3,16000,16100,18799,False
DISTORTEDECG3,17000,17100,15469,False
DISTORTEDECG4,16800,17100,17092,True
DISTORTEDECG4,16900,17100,17394,False
DISTORTEDECG4,17000,17100,14546,False
DISTORTEDECG4,17000,17100,11763,False
DISTORTEDGP711MarkerLFM5z1,6168,6212,10646,False
DISTORTEDGP711MarkerLFM5z2,7175,7388,7066,False
DISTORTEDGP711MarkerLFM5z3,5948,5993,8865,False
DISTORTEDGP711MarkerLFM5z4,6527,6645,8829,False
DISTORTEDGP711MarkerLFM5z5,8612,8716,11895,False
DISTORTEDInternalBleeding10,4526,4556,4596,True
DISTORTEDInternalBleeding14,5607,5634,6755,False
DISTORTEDInternalBleeding15,5684,5854,5800,True
DISTORTEDInternalBleeding16,4187,4199,3915,False
DISTORTEDInternalBleeding17,3198,3309,2368,False
DISTORTEDInternalBleeding18,4485,4587,2375,False
DISTORTEDInternalBleeding19,4187,4197,4471,False
DISTORTEDInternalBleeding20,5759,5919,5647,False
DISTORTEDInternalBleeding4,4675,5033,6270,False
DISTORTEDInternalBleeding5,6200,6370,5202,False
DISTORTEDInternalBleeding6,3474,3629,3640,True
DISTORTEDInternalBleeding8,5865,5974,2579,False
DISTORTEDInternalBleeding9,6599,6681,5407,False
DISTORTEDLab2Cmac011215EPG1,17210,17260,12471,False
DISTORTEDLab2Cmac011215EPG2,27862,27932,12811,False
DISTORTEDLab2Cmac011215EPG3,16390,16420,29795,False
DISTORTEDLab2Cmac011215EPG4,17390,17520,29811,False
DISTORTEDLab2Cmac011215EPG5,17390,17520,29571,False
DISTORTEDLab2Cmac011215EPG6,12190,12420,12233,True
DISTORTEDMesoplodonDensirostris,19280,19440,24493,False
DISTORTEDPowerDemand1,18485,18821,14010,False
DISTORTEDPowerDemand2,23357,23717,14114,False
DISTORTEDPowerDemand3,23405,23477,22978,False
DISTORTEDPowerDemand4,24005,24077,22970,False
DISTORTEDTkeepFifthMARS,5988,6085,10447,False
DISTORTEDTkeepFirstMARS,5365,5380,4403,False
DISTORTEDTkeepForthMARS,5988,6085,8724,False
DISTORTEDTkeepSecondMARS,9330,9340,4112,False
DISTORTEDTkeepThirdMARS,4711,4809,4630,True
DISTORTEDWalkingAceleration1,2764,2995,3432,False
DISTORTEDWalkingAceleration5,5920,5979,3550,False
DISTORTEDapneaecg2,20950,21100,33029,False
DISTORTEDapneaecg3,11111,11211,34104,False
DISTORTEDapneaecg4,16000,16100,31827,False
DISTORTEDapneaecg,12240,12308,38153,False
DISTORTEDgait1,38500,38800,56921,False
DISTORTEDgait2,46500,46800,57447,False
DISTORTEDgait3,59900,60500,26068,False
DISTORTEDgaitHunt1,33070,33180,33138,True
DISTORTEDgaitHunt2,31200,31850,51386,False
DISTORTEDgaitHunt3,38400,39200,41309,False
DISTORTEDinsectEPG1,7000,7030,7396,False
DISTORTEDinsectEPG2,8000,8025,7994,True
DISTORTEDinsectEPG3,7000,7050,6044,False
DISTORTEDinsectEPG4,6508,6558,5155,False
DISTORTEDinsectEPG5,8500,8501,7465,False
DISTORTEDltstdbs30791AI,52600,52800,52620,True
DISTORTEDltstdbs30791AS,52600,52800,52601,True
DISTORTEDltstdbs30791ES,52600,52800,30588,False
DISTORTEDpark3m,72150,72495,69281,False
DISTORTEDqtdbSel1005V,12400,12800,29315,False
DISTORTEDqtdbSel100MLII,13400,13800,22729,False
DISTORTEDresperation10,130700,131880,134157,False
DISTORTEDresperation11,110800,110801,64811,False
DISTORTEDresperation1,110260,110412,134494,False
DISTORTEDresperation2,168250,168250,-1,False
DISTORTEDresperation2,168250,168251,67607,False
DISTORTEDresperation3,158250,158251,49763,False
DISTORTEDresperation4,128430,128431,134891,False
DISTORTEDresperation9,143411,143511,51503,False
DISTORTEDs20101mML2,35774,35874,36282,False
DISTORTEDs20101m,35774,35874,17033,False
DISTORTEDsddb49,67950,68200,51264,False
DISTORTEDsel840mECG1,51370,51740,24676,False
DISTORTEDsel840mECG2,49370,49740,43300,False
DISTORTEDtiltAPB1,114283,114350,100424,False
DISTORTEDtiltAPB2,124159,124985,96858,False
DISTORTEDtiltAPB3,114000,114370,97286,False
DISTORTEDtiltAPB4,67995,67996,84890,False
NOISE1sddb40,52000,52620,70503,False
NOISEBIDMC1,5400,5600,5309,True
NOISECIMIS44AirTemperature4,5549,5597,4471,False
NOISEECG4,16900,17100,6444,False
NOISEGP711MarkerLFM5z3,5948,5993,8896,False
NOISEInternalBleeding16,4187,4199,3373,False
NOISEInternalBleeding6,3474,3629,3645,True
NOISELab2Cmac011215EPG1,17210,17260,29806,False
NOISELab2Cmac011215EPG4,17390,17520,29811,False
NOISEMesoplodonDensirostris,19280,19440,24493,False
NOISETkeepThirdMARS,4711,4809,4692,True
NOISEapneaecg4,16000,16100,27736,False
NOISEgait3,59900,60500,26003,False
NOISEgaitHunt2,31200,31850,53460,False
NOISEinsectEPG3,7000,7050,8816,False
NOISEresperation2,168250,168250,-1,False
1sddb40,52000,52620,70759,False
2sddb40,56600,56900,71159,False
3sddb40,46600,46900,71150,False
BIDMC1,5400,5600,5375,True
CIMIS44AirTemperature1,5391,5392,6076,False
CIMIS44AirTemperature2,5703,5727,5355,False
CIMIS44AirTemperature3,6520,6544,5355,False
CIMIS44AirTemperature4,5549,5597,4472,False
CIMIS44AirTemperature5,4852,4900,4472,False
CIMIS44AirTemperature6,6006,6054,4472,False
ECG1,11800,12100,11798,True
ECG2,16000,16100,15978,True
ECG3,16000,16100,28199,False
ECG3,17000,17100,14184,False
ECG4,16800,17100,17092,True
ECG4,16900,17100,16828,True
ECG4,17000,17100,6281,False
