name,true_start,true_end,prediction,match
DISTORTED1sddb40,52000,52620,70896,False
DISTORTED2sddb40,56600,56900,71212,False
DISTORTED3sddb40,46600,46900,71076,False
DISTORTEDBIDMC1,5400,5600,5473,True
DISTORTEDCIMIS44AirTemperature1,5391,5392,6054,False
DISTORTEDCIMIS44AirTemperature2,5703,5727,5904,False
DISTORTEDCIMIS44AirTemperature3,6520,6544,7015,False
DISTORTEDCIMIS44AirTemperature4,5549,5597,6680,False
DISTORTEDCIMIS44AirTemperature5,4852,4900,4494,False
DISTORTEDCIMIS44AirTemperature6,6006,6054,6772,False
DISTORTEDECG1,11800,12100,11844,True
DISTORTEDECG2,16000,16100,22723,False
DISTORTEDECG3,16000,16100,23089,False
DISTORTEDECG3,17000,17100,9432,False
DISTORTEDECG4,16800,17100,16994,True
DISTORTEDECG4,16900,17100,17067,True
DISTORTEDECG4,17000,17100,14492,False
DISTORTEDECG4,17000,17100,11738,False
DISTORTEDGP711MarkerLFM5z1,6168,6212,10571,False
DISTORTEDGP711MarkerLFM5z2,7175,7388,7064,False
DISTORTEDGP711MarkerLFM5z3,5948,5993,6805,False
DISTORTEDGP711MarkerLFM5z4,6527,6645,6370,False
DISTORTEDGP711MarkerLFM5z5,8612,8716,11336,False
DISTORTEDInternalBleeding10,4526,4556,5618,False
DISTORTEDInternalBleeding14,5607,5634,6609,False
DISTORTEDInternalBleeding15,5684,5854,5295,False
DISTORTEDInternalBleeding16,4187,4199,1238,False
DISTORTEDInternalBleeding17,3198,3309,2299,False
DISTORTEDInternalBleeding18,4485,4587,2374,False
DISTORTEDInternalBleeding19,4187,4197,3198,False
DISTORTEDInternalBleeding20,5759,5919,5635,False
DISTORTEDInternalBleeding4,4675,5033,4294,False
DISTORTEDInternalBleeding5,6200,6370,6134,True
DISTORTEDInternalBleeding6,3474,3629,5136,False
DISTORTEDInternalBleeding8,5865,5974,3660,False
DISTORTEDInternalBleeding9,6599,6681,4991,False
DISTORTEDLab2Cmac011215EPG1,17210,17260,29841,False
DISTORTEDLab2Cmac011215EPG2,27862,27932,12812,False
DISTORTEDLab2Cmac011215EPG3,16390,16420,29790,False
DISTORTEDLab2Cmac011215EPG4,17390,17520,29906,False
DISTORTEDLab2Cmac011215EPG5,17390,17520,17371,True
DISTORTEDLab2Cmac011215EPG6,12190,12420,13010,False
DISTORTEDMesoplodonDensirostris,19280,19440,24465,False
DISTORTEDPowerDemand1,18485,18821,14116,False
DISTORTEDPowerDemand2,23357,23717,14112,False
DISTORTEDPowerDemand3,23405,23477,22996,False
DISTORTEDPowerDemand4,24005,24077,22940,False
DISTORTEDTkeepFifthMARS,5988,6085,10444,False
DISTORTEDTkeepFirstMARS,5365,5380,4385,False
DISTORTEDTkeepForthMARS,5988,6085,8724,False
DISTORTEDTkeepSecondMARS,9330,9340,9318,True
DISTORTEDTkeepThirdMARS,4711,4809,4630,True
DISTORTEDWalkingAceleration1,2764,2995,4034,False
DISTORTEDWalkingAceleration5,5920,5979,3552,False
DISTORTEDapneaecg2,20950,21100,-1,False
DISTORTEDapneaecg3,11111,11211,29934,False
DISTORTEDapneaecg4,16000,16100,-1,False
DISTORTEDapneaecg,12240,12308,-1,False
DISTORTEDgait1,38500,38800,48867,False
DISTORTEDgait2,46500,46800,57390,False
DISTORTEDgait3,59900,60500,59344,False
DISTORTEDgaitHunt1,33070,33180,33207,True
DISTORTEDgaitHunt2,31200,31850,25000,False
DISTORTEDgaitHunt3,38400,39200,43766,False
DISTORTEDinsectEPG1,7000,7030,7399,False
