name,true_start,true_end,prediction,match
DISTORTED1sddb40,52000,52620,70859,False
DISTORTED2sddb40,56600,56900,71174,False
DISTORTED3sddb40,46600,46900,67070,False
DISTORTEDBIDMC1,5400,5600,5178,False
DISTORTEDCIMIS44AirTemperature1,5391,5392,6068,False
DISTORTEDCIMIS44AirTemperature2,5703,5727,6068,False
DISTORTEDCIMIS44AirTemperature3,6520,6544,6068,False
DISTORTEDCIMIS44AirTemperature4,5549,5597,6068,False
DISTORTEDCIMIS44AirTemperature5,4852,4900,6068,False
DISTORTEDCIMIS44AirTemperature6,6006,6054,6068,True
DISTORTEDECG1,11800,12100,11891,True
DISTORTEDECG2,16000,16100,16021,True
DISTORTEDECG3,16000,16100,17697,False
DISTORTEDECG3,17000,17100,15016,False
DISTORTEDECG4,16800,17100,17098,True
DISTORTEDECG4,16900,17100,17001,True
DISTORTEDECG4,17000,17100,17016,True
DISTORTEDECG4,17000,17100,8937,False
DISTORTEDGP711MarkerLFM5z1,6168,6212,10651,False
DISTORTEDGP711MarkerLFM5z2,7175,7388,7781,False
DISTORTEDGP711MarkerLFM5z3,5948,5993,8871,False
DISTORTEDGP711MarkerLFM5z4,6527,6645,8905,False
DISTORTEDGP711MarkerLFM5z5,8612,8716,11961,False
DISTORTEDInternalBleeding10,4526,4556,4606,True
DISTORTEDInternalBleeding14,5607,5634,3524,False
DISTORTEDInternalBleeding15,5684,5854,4287,False
DISTORTEDInternalBleeding16,4187,4199,3896,False
DISTORTEDInternalBleeding17,3198,3309,2438,False
DISTORTEDInternalBleeding18,4485,4587,2424,False
DISTORTEDInternalBleeding19,4187,4197,4451,False
DISTORTEDInternalBleeding20,5759,5919,5735,True
DISTORTEDInternalBleeding4,4675,5033,-1,False
DISTORTEDInternalBleeding5,6200,6370,4117,False
DISTORTEDInternalBleeding6,3474,3629,5305,False
DISTORTEDInternalBleeding8,5865,5974,2639,False
DISTORTEDInternalBleeding9,6599,6681,5447,False
DISTORTEDLab2Cmac011215EPG1,17210,17260,29842,False
DISTORTEDLab2Cmac011215EPG2,27862,27932,13120,False
DISTORTEDLab2Cmac011215EPG3,16390,16420,29791,False
DISTORTEDLab2Cmac011215EPG4,17390,17520,29906,False
DISTORTEDLab2Cmac011215EPG5,17390,17520,17397,True
DISTORTEDLab2Cmac011215EPG6,12190,12420,13029,False
DISTORTEDMesoplodonDensirostris,19280,19440,21308,False
DISTORTEDPowerDemand1,18485,18821,14120,False
DISTORTEDPowerDemand2,23357,23717,14120,False
DISTORTEDPowerDemand3,23405,23477,23021,False
DISTORTEDPowerDemand4,24005,24077,22973,False
DISTORTEDTkeepFifthMARS,5988,6085,7280,False
DISTORTEDTkeepFirstMARS,5365,5380,4402,False
DISTORTEDTkeepForthMARS,5988,6085,8335,False
DISTORTEDTkeepSecondMARS,9330,9340,4107,False
DISTORTEDTkeepThirdMARS,4711,4809,9615,False
