name,true_start,true_end,prediction,match
DISTORTED1sddb40,52000,52620,70930,False
DISTORTED2sddb40,56600,56900,69821,False
DISTORTED3sddb40,46600,46900,71348,False
DISTORTEDBIDMC1,5400,5600,4178,False
DISTORTEDCIMIS44AirTemperature1,5391,5392,6046,False
DISTORTEDCIMIS44AirTemperature2,5703,5727,6046,False
DISTORTEDCIMIS44AirTemperature3,6520,6544,7057,False
DISTORTEDCIMIS44AirTemperature4,5549,5597,4464,False
DISTORTEDCIMIS44AirTemperature5,4852,4900,6719,False
DISTORTEDCIMIS44AirTemperature6,6006,6054,7634,False
DISTORTEDECG1,11800,12100,11802,True
DISTORTEDECG2,16000,16100,16046,True
DISTORTEDECG3,16000,16100,19158,False
DISTORTEDECG3,17000,17100,9443,False
DISTORTEDECG4,16800,17100,17098,True
DISTORTEDECG4,16900,17100,16976,True
DISTORTEDECG4,17000,17100,6446,False
DISTORTEDECG4,17000,17100,18837,False
DISTORTEDGP711MarkerLFM5z1,6168,6212,5367,False
DISTORTEDGP711MarkerLFM5z2,7175,7388,6664,False
DISTORTEDGP711MarkerLFM5z3,5948,5993,8843,False
DISTORTEDGP711MarkerLFM5z4,6527,6645,10168,False
DISTORTEDGP711MarkerLFM5z5,8612,8716,11922,False
DISTORTEDInternalBleeding10,4526,4556,4557,True
DISTORTEDInternalBleeding14,5607,5634,3475,False
DISTORTEDInternalBleeding15,5684,5854,3032,False
DISTORTEDInternalBleeding16,4187,4199,1293,False
DISTORTEDInternalBleeding17,3198,3309,2393,False
DISTORTEDInternalBleeding18,4485,4587,2386,False
DISTORTEDInternalBleeding19,4187,4197,3671,False
DISTORTEDInternalBleeding20,5759,5919,3484,False
DISTORTEDInternalBleeding4,4675,5033,4230,False
DISTORTEDInternalBleeding5,6200,6370,5279,False
DISTORTEDInternalBleeding6,3474,3629,5272,False
DISTORTEDInternalBleeding8,5865,5974,2612,False
DISTORTEDInternalBleeding9,6599,6681,5411,False
DISTORTEDLab2Cmac011215EPG1,17210,17260,29836,False
DISTORTEDLab2Cmac011215EPG2,27862,27932,13098,False
DISTORTEDLab2Cmac011215EPG3,16390,16420,29785,False
DISTORTEDLab2Cmac011215EPG4,17390,17520,29901,False
DISTORTEDLab2Cmac011215EPG5,17390,17520,17398,True
DISTORTEDLab2Cmac011215EPG6,12190,12420,13007,False
DISTORTEDMesoplodonDensirostris,19280,19440,21338,False
DISTORTEDPowerDemand1,18485,18821,14102,False
DISTORTEDPowerDemand2,23357,23717,14207,False
DISTORTEDPowerDemand3,23405,23477,23001,False
DISTORTEDPowerDemand4,24005,24077,22974,False
DISTORTEDTkeepFifthMARS,5988,6085,7080,False
DISTORTEDTkeepFirstMARS,5365,5380,4400,False
DISTORTEDTkeepForthMARS,5988,6085,7940,False
DISTORTEDTkeepSecondMARS,9330,9340,3865,False
DISTORTEDTkeepThirdMARS,4711,4809,4663,True
DISTORTEDWalkingAceleration1,2764,2995,4035,False
DISTORTEDWalkingAceleration5,5920,5979,3551,False
DISTORTEDapneaecg2,20950,21100,34227,False
DISTORTEDapneaecg3,11111,11211,38041,False
DISTORTEDapneaecg4,16000,16100,35009,False
DISTORTEDapneaecg,12240,12308,27975,False
DISTORTEDgait1,38500,38800,52137,False
DISTORTEDgait2,46500,46800,25353,False
DISTORTEDgait3,59900,60500,55893,False
DISTORTEDgaitHunt1,33070,33180,54860,False
DISTORTEDgaitHunt2,31200,31850,31115,True
DISTORTEDgaitHunt3,38400,39200,24595,False
DISTORTEDinsectEPG1,7000,7030,7398,False
DISTORTEDinsectEPG2,8000,8025,7994,True
DISTORTEDinsectEPG3,7000,7050,6048,False
DISTORTEDinsectEPG4,6508,6558,5176,False
DISTORTEDinsectEPG5,8500,8501,8497,True
DISTORTEDltstdbs30791AI,52600,52800,52632,True
DISTORTEDltstdbs30791AS,52600,52800,52613,True
DISTORTEDltstdbs30791ES,52600,52800,53487,False
DISTORTEDpark3m,72150,72495,72179,True
DISTORTEDqtdbSel1005V,12400,12800,29452,False
DISTORTEDqtdbSel100MLII,13400,13800,22776,False
DISTORTEDresperation10,130700,131880,134600,False
DISTORTEDresperation11,110800,110801,95656,False
DISTORTEDresperation1,110260,110412,140302,False
DISTORTEDresperation2,168250,168250,51494,False
DISTORTEDresperation2,168250,168251,51496,False
DISTORTEDresperation3,158250,158251,53851,False
DISTORTEDresperation4,128430,128431,134866,False
DISTORTEDresperation9,143411,143511,143381,True
DISTORTEDs20101mML2,35774,35874,35786,True
DISTORTEDs20101m,35774,35874,17035,False
DISTORTEDsddb49,67950,68200,51502,False
DISTORTEDsel840mECG1,51370,51740,43002,False
DISTORTEDsel840mECG2,49370,49740,43284,False
DISTORTEDtiltAPB1,114283,114350,105950,False
DISTORTEDtiltAPB2,124159,124985,85248,False
DISTORTEDtiltAPB3,114000,114370,85032,False
DISTORTEDtiltAPB4,67995,67996,85029,False
NOISE1sddb40,52000,52620,66853,False
NOISEBIDMC1,5400,5600,5490,True
NOISECIMIS44AirTemperature4,5549,5597,4467,False
NOISEECG4,16900,17100,8404,False
NOISEGP711MarkerLFM5z3,5948,5993,8869,False
NOISEInternalBleeding16,4187,4199,2210,False
NOISEInternalBleeding6,3474,3629,6356,False
NOISELab2Cmac011215EPG1,17210,17260,29836,False
NOISELab2Cmac011215EPG4,17390,17520,29901,False
NOISEMesoplodonDensirostris,19280,19440,21681,False
NOISETkeepThirdMARS,4711,4809,4667,True
NOISEapneaecg4,16000,16100,33958,False
NOISEgait3,59900,60500,64021,False
NOISEgaitHunt2,31200,31850,31447,True
NOISEinsectEPG3,7000,7050,8820,False
NOISEresperation2,168250,168250,49765,False
1sddb40,52000,52620,71076,False
2sddb40,56600,56900,71363,False
3sddb40,46600,46900,45034,False
BIDMC1,5400,5600,4166,False
CIMIS44AirTemperature1,5391,5392,4465,False
CIMIS44AirTemperature2,5703,5727,4464,False
CIMIS44AirTemperature3,6520,6544,4464,False
CIMIS44AirTemperature4,5549,5597,4465,False
CIMIS44AirTemperature5,4852,4900,4465,False
CIMIS44AirTemperature6,6006,6054,4465,False
ECG1,11800,12100,11891,True
ECG2,16000,16100,17772,False
ECG3,16000,16100,23454,False
ECG3,17000,17100,12383,False
ECG4,16800,17100,17097,True
ECG4,16900,17100,28242,False
ECG4,17000,17100,6890,False
ECG4,17000,17100,14533,False
GP711MarkerLFM5z1,6168,6212,8866,False
GP711MarkerLFM5z2,7175,7388,8866,False
GP711MarkerLFM5z3,5948,5993,8866,False
GP711MarkerLFM5z4,6527,6645,8868,False
GP711MarkerLFM5z5,8612,8716,8866,False
InternalBleeding10,4526,4556,5637,False
InternalBleeding14,5607,5634,5638,True
InternalBleeding15,5684,5854,5277,False
InternalBleeding16,4187,4199,2209,False
InternalBleeding17,3198,3309,2211,False
InternalBleeding18,4485,4587,6785,False
InternalBleeding19,4187,4197,6786,False
InternalBleeding20,5759,5919,5693,True
InternalBleeding4,4675,5033,2104,False
InternalBleeding5,6200,6370,5279,False
InternalBleeding6,3474,3629,6353,False
InternalBleeding8,5865,5974,5912,True
