,dataset,Human,FFT,ACF,SuSS,MWF,Autoperiod,RobustPeriod
0,DISTORTED1sddb40,620,212,209,108,213,209,207
1,DISTORTED2sddb40,300,212,209,108,213,209,103
2,DISTORTED3sddb40,300,212,209,108,212,209,103
3,DISTORTEDBIDMC1,200,80,80,58,80,80,16
4,DISTORTEDCIMIS44AirTemperature1,1,23,24,58,26,24,12
5,DISTORTEDCIMIS44AirTemperature2,24,23,24,58,200,24,12
6,DISTORTEDCIMIS44AirTemperature3,24,23,24,56,218,24,12
7,DISTORTEDCIMIS44AirTemperature4,48,23,24,58,217,24,12
8,DISTORTEDCIMIS44AirTemperature5,48,23,24,58,25,24,12
9,DISTORTEDCIMIS44AirTemperature6,48,23,24,54,25,24,12
10,DISTORTEDECG1,300,93,92,82,130,92,47
11,DISTORTEDECG2,100,89,91,82,119,91,47
12,DISTORTEDECG3,100,83,166,82,166,166,33
13,DISTORTEDECG3,100,83,167,82,167,167,33
14,DISTORTEDECG4,300,454,469,112,481,469,156
15,DISTORTEDECG4,200,83,167,82,167,167,33
16,DISTORTEDECG4,100,83,167,82,167,30,33
17,DISTORTEDECG4,100,83,167,82,166,167,33
18,DISTORTEDGP711MarkerLFM5z1,44,217,217,76,217,217,36
19,DISTORTEDGP711MarkerLFM5z2,213,217,217,76,218,217,36
20,DISTORTEDGP711MarkerLFM5z3,45,217,217,76,218,217,36
21,DISTORTEDGP711MarkerLFM5z4,118,222,217,76,217,217,36
22,DISTORTEDGP711MarkerLFM5z5,104,217,217,78,218,217,36
23,DISTORTEDInternalBleeding10,30,152,154,72,156,151,19
24,DISTORTEDInternalBleeding14,27,155,154,74,155,151,19
25,DISTORTEDInternalBleeding15,170,170,173,78,174,168,25
26,DISTORTEDInternalBleeding16,12,171,183,80,181,174,36
27,DISTORTEDInternalBleeding17,111,177,182,80,182,176,30
28,DISTORTEDInternalBleeding18,102,176,183,82,182,178,37
29,DISTORTEDInternalBleeding19,10,187,183,82,185,180,37
30,DISTORTEDInternalBleeding20,160,180,183,82,183,179,37
31,DISTORTEDInternalBleeding4,358,166,179,80,8,169,-1
32,DISTORTEDInternalBleeding5,170,173,173,76,175,170,25
33,DISTORTEDInternalBleeding6,155,150,152,76,201,148,38
34,DISTORTEDInternalBleeding8,109,166,167,72,165,166,42
35,DISTORTEDInternalBleeding9,82,175,175,78,174,1215,35
36,DISTORTEDLab2Cmac011215EPG1,50,17,34,40,35,34,34
37,DISTORTEDLab2Cmac011215EPG2,70,17,34,40,35,34,17
38,DISTORTEDLab2Cmac011215EPG3,30,34,34,40,35,34,34
39,DISTORTEDLab2Cmac011215EPG4,130,34,35,40,35,34,35
40,DISTORTEDLab2Cmac011215EPG5,130,17,35,40,93,35,35
41,DISTORTEDLab2Cmac011215EPG6,230,17,35,40,35,35,18
42,DISTORTEDMesoplodonDensirostris,160,192,49,110,194,-1,274
43,DISTORTEDPowerDemand1,336,23,168,44,126,24,12
44,DISTORTEDPowerDemand2,360,24,168,46,112,24,12
45,DISTORTEDPowerDemand3,72,23,168,50,58,24,8
46,DISTORTEDPowerDemand4,72,23,168,48,112,24,12
47,DISTORTEDTkeepFifthMARS,97,97,98,62,98,98,16
48,DISTORTEDTkeepFirstMARS,15,97,98,62,98,98,16
49,DISTORTEDTkeepForthMARS,97,97,98,62,98,98,16
50,DISTORTEDTkeepSecondMARS,10,97,98,62,98,98,16
51,DISTORTEDTkeepThirdMARS,98,97,98,62,98,98,16
52,DISTORTEDWalkingAceleration1,231,57,113,56,58,57,370
53,DISTORTEDWalkingAceleration5,59,56,113,58,57,57,56
54,DISTORTEDapneaecg2,150,90,996,98,-1,124,49
55,DISTORTEDapneaecg3,100,50,906,100,554,35,50
56,DISTORTEDapneaecg4,100,50,906,98,-1,35,49
57,DISTORTEDapneaecg,68,90,996,98,-1,124,100
58,DISTORTEDgait1,300,312,313,94,315,313,105
59,DISTORTEDgait2,300,314,313,92,313,313,105
60,DISTORTEDgait3,600,314,313,92,311,313,105
61,DISTORTEDgaitHunt1,110,324,331,100,337,328,86
62,DISTORTEDgaitHunt2,650,324,331,98,330,327,86
63,DISTORTEDgaitHunt3,800,320,329,100,332,324,86
64,DISTORTEDinsectEPG1,30,26,26,28,26,26,83
65,DISTORTEDinsectEPG2,25,26,26,28,26,26,95
66,DISTORTEDinsectEPG3,50,26,26,28,26,26,-1
67,DISTORTEDinsectEPG4,50,26,26,28,26,26,13
68,DISTORTEDinsectEPG5,1,26,26,28,26,26,91
69,DISTORTEDltstdbs30791AI,200,114,231,94,302,112,77
70,DISTORTEDltstdbs30791AS,200,118,234,96,238,116,115
71,DISTORTEDltstdbs30791ES,200,229,233,96,234,232,115
72,DISTORTEDpark3m,345,350,355,102,364,355,86
73,DISTORTEDqtdbSel1005V,400,190,184,88,194,184,4
74,DISTORTEDqtdbSel100MLII,400,190,189,88,214,190,4
75,DISTORTEDresperation10,1180,470,470,112,473,470,233
76,DISTORTEDresperation11,1,471,470,112,474,470,155
77,DISTORTEDresperation1,152,469,470,114,471,470,233
78,DISTORTEDresperation2,0,468,470,112,471,470,232
79,DISTORTEDresperation2,1,468,470,112,474,470,157
80,DISTORTEDresperation3,1,468,470,112,473,470,233
81,DISTORTEDresperation4,1,469,470,112,472,470,233
82,DISTORTEDresperation9,100,469,470,112,474,470,233
83,DISTORTEDs20101mML2,100,108,108,72,109,108,109
84,DISTORTEDs20101m,100,108,108,64,110,108,109
85,DISTORTEDsddb49,250,139,276,128,292,4056,-1
86,DISTORTEDsel840mECG1,370,86,172,88,178,172,57
87,DISTORTEDsel840mECG2,370,173,173,94,186,173,57
88,DISTORTEDtiltAPB1,67,235,238,94,242,238,81
89,DISTORTEDtiltAPB2,826,243,240,96,239,239,81
90,DISTORTEDtiltAPB3,370,243,240,94,241,241,123
91,DISTORTEDtiltAPB4,1,243,243,94,242,242,83
92,NOISE1sddb40,620,212,209,104,211,209,103
93,NOISEBIDMC1,200,80,80,56,80,80,16
94,NOISECIMIS44AirTemperature4,48,23,24,54,184,24,7
95,NOISEECG4,200,83,167,78,167,167,33
96,NOISEGP711MarkerLFM5z3,45,217,217,72,217,217,36
97,NOISEInternalBleeding16,12,171,183,78,176,174,36
98,NOISEInternalBleeding6,155,150,152,70,200,148,37
99,NOISELab2Cmac011215EPG1,50,34,34,40,34,34,34
100,NOISELab2Cmac011215EPG4,130,34,35,40,34,34,18
101,NOISEMesoplodonDensirostris,160,192,49,106,169,-1,-1
102,NOISETkeepThirdMARS,98,97,98,58,98,98,16
103,NOISEapneaecg4,100,50,906,96,-1,35,100
104,NOISEgait3,600,314,313,84,312,313,105
105,NOISEgaitHunt2,650,324,331,90,335,328,86
106,NOISEinsectEPG3,50,26,26,26,26,26,13
107,NOISEresperation2,0,468,470,104,476,470,156
108,1sddb40,620,212,209,108,211,209,206
109,2sddb40,300,212,209,108,211,209,206
110,3sddb40,300,212,209,108,211,209,206
111,BIDMC1,200,80,80,56,80,80,16
112,CIMIS44AirTemperature1,1,23,24,56,185,24,12
113,CIMIS44AirTemperature2,24,23,24,56,185,24,12
114,CIMIS44AirTemperature3,24,23,24,56,185,24,12
115,CIMIS44AirTemperature4,48,23,24,56,185,24,12
116,CIMIS44AirTemperature5,48,23,24,56,185,24,12
117,CIMIS44AirTemperature6,48,23,24,56,185,24,12
118,ECG1,300,93,92,82,93,92,47
119,ECG2,100,89,91,82,93,91,47
120,ECG3,100,83,166,84,166,166,33
121,ECG3,100,83,167,82,167,167,33
122,ECG4,300,454,469,114,476,468,9
123,ECG4,200,83,167,82,167,167,33
124,ECG4,100,83,167,82,167,167,33
125,ECG4,100,83,167,82,167,167,33
126,GP711MarkerLFM5z1,44,217,217,76,217,217,36
127,GP711MarkerLFM5z2,213,217,217,76,217,217,36
128,GP711MarkerLFM5z3,45,217,217,76,217,217,36
129,GP711MarkerLFM5z4,118,222,217,74,218,217,36
130,GP711MarkerLFM5z5,104,217,217,76,217,217,36
131,InternalBleeding10,30,152,154,72,155,153,19
132,InternalBleeding14,27,155,154,72,153,151,19
133,InternalBleeding15,170,170,173,76,171,168,225
134,InternalBleeding16,12,171,183,82,176,174,36
135,InternalBleeding17,111,177,182,80,182,176,37
136,InternalBleeding18,102,176,183,80,183,178,37
137,InternalBleeding19,10,187,183,80,184,180,37
138,InternalBleeding20,160,180,183,80,183,179,37
139,InternalBleeding4,358,166,179,78,10,169,-1
140,InternalBleeding5,170,173,173,76,175,170,43
141,InternalBleeding6,155,150,152,74,200,148,15
142,InternalBleeding8,109,166,167,72,167,166,24
