name,true_cps,found_cps,f1_score,covering_score,cac
Adiac,"[572, 1012, 1232]","[557, 1218, 996]",0.5,0.939,[1. 1. 1. ... 1. 1. 1.]
ArrowHead,[753],[742],1.0,0.985,[1. 1. 1. ... 1. 1. 1.]
Beef,[705],[658],0.5,0.935,[1. 1. 1. ... 1. 1. 1.]
BeetleFly,[1280],[1781],0.5,0.664,[1. 1. 1. ... 1. 1. 1.]
BirdChicken,[1280],[1308],0.5,0.978,[1. 1. 1. ... 1. 1. 1.]
Car,"[577, 1154, 1550]","[1147, 566, 1237]",0.75,0.765,[1. 1. 1. ... 1. 1. 1.]
CBF,"[384, 704]","[361, 682]",0.333,0.911,"[1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         0.78650685 0.77860017
 0.77078565 0.77076923 0.77076473 0.76314058 0.75560284 0.74814991
 0.74078023 0.74097689 0.73373364 0.73398361 0.73424208 0.7308364
 0.72747282 0.72051168 0.71362421 0.70320294 0.69647505 0.68981685
 0.68322713 0.67316177 0.66672086 0.66034481 0.65403253 0.64778293
 0.65199922 0.6561894  0.66035399 0.66449348 0.66519708 0.66590414
 0.66661464 0.65721753 0.64790385 0.64870373 0.64950613 0.65031107
 0.65111856 0.6519286  0.6527412  0.65355637 0.65437411 0.65519444
 0.65601736 0.65684288 0.65767101 0.65850176 0.65296475 0.64747554
 0.64203344 0.63663772 0.62814698 0.62285282 0.6144837  0.60617938
 0.59793887 0.58976123 0.58472301 0.58586014 0.59311172 0.60337076
 0.60445848 0.60554672 0.60361746 0.60772498 0.61181416 0.60990584
 0.60801687 0.60614699 0.61022043 0.61427656 0.61537133 0.61353144
 0.60878307 0.61282475 0.61103075 0.60345212 0.59592455 0.5913319
 0.58677248 0.57937767 0.57489147 0.57328932 0.56885853 0.56729532
 0.56574732 0.56421436 0.56269626 0.56119285 0.55970397 0.54706486
 0.5428499  0.53866315 0.53173482 0.52761053 0.529024   0.53043637
 0.5318477  0.52505408 0.5264838  0.52519127 0.52662557 0.52264287
 0.52138675 0.51475244 0.50815542 0.50159522 0.4923953  0.48591351
 0.47946707 0.47305552 0.4666784  0.46033527 0.4540257  0.44774925
 0.4415055  0.43529402 0.4291144  0.42296624 0.41684912 0.41336241
 0.40730071 0.40126892 0.39526667 0.38929358 0.38077647 0.3774334
 0.37410795 0.36824267 0.36240478 0.35659393 0.35080978 0.34505197
 0.33932019 0.33361408 0.32541076 0.31724201 0.30910738 0.3035148
 0.29544241 0.28990201 0.2843849  0.27889078 0.27590498 0.27293274
 0.27245071 0.27197322 0.27643661 0.27595958 0.27548706 0.27501901
 0.27210402 0.26920163 0.26631168 0.26343404 0.26300376 0.26014632
 0.26215551 0.25931397 0.25406445 0.24883407 0.23879835 0.23361293
 0.22604114 0.21849473 0.21097335 0.20347667 0.19839464 0.19332961
 0.18828134 0.18324962 0.17823422 0.17323491 0.16825148 0.16091728
 0.15833139 0.15575421 0.15318564 0.1553326  0.15747535 0.15961399
 0.16174858 0.15919694 0.1566535  0.15411815 0.15159078 0.14674205
 0.14190688 0.13708508 0.13227646 0.12748083 0.122698   0.11792778
 0.11316998 0.10842443 0.10138669 0.0966677  0.08966137 0.08267167
 0.08028614 0.07790665 0.08011089 0.08231114 0.08679148 0.09126318
 0.09572641 0.10018131 0.10462804 0.10906676 0.11122768 0.11565309
 0.12007091 0.12448132 0.12662331 0.12876246 0.13089883 0.13303249
 0.13516351 0.13729197 0.13941792 0.14154145 0.14366261 0.14129589
 0.13893459 0.13657863 0.13422792 0.13188239 0.13400891 0.13836499
 0.14271546 0.14928867 0.15585311 0.16018423 0.16451034 0.17105305
 0.17758779 0.18411476 0.19063417 0.19493108 0.20143749 0.20793692
 0.21442956 0.22091562 0.22518758 0.23166249 0.23592646 0.2423909
 0.24444528 0.24870039 0.2529528  0.25720263 0.26145001 0.26569507
 0.26993792 0.27417871 0.27841754 0.28046343 0.28250986 0.28455689
 0.28879239 0.29083974 0.29288787 0.29712157 0.3013542  0.30776863
 0.31199852 0.32058949 0.32699629 0.33122182 0.3354471  0.33749484
 0.33954421 0.34377101 0.345823   0.34570257 0.34341199 0.33895339
 0.34101713 0.33873996 0.33646737 0.33419929 0.33193565 0.3296764
 0.32742145 0.32950635 0.33159332 0.32934887 0.33144111 0.33353555
 0.33563224 0.33773124 0.33983262 0.34193642 0.34404271 0.34182465
 0.33961049 0.33523734 0.33086852 0.32650392 0.3221434  0.31778683
 0.31343411 0.3090851  0.30473968 0.30039773 0.29605913 0.29172374
 0.29171314 0.29386605 0.29602164 0.30034068 0.30466252 0.31114802
 0.31763666 0.32412861 0.33062405 0.33712317 0.34362616 0.3501332
 0.35664448 0.36316017 0.36968047 0.37620557 0.38057329 0.38278303
 0.38067114 0.37856227 0.37212925 0.36569774 0.35926754 0.35283847
 0.34641035 0.33998301 0.33355625 0.32496347 0.31853685 0.31211025
 0.3056835  0.30142492 0.29716697 0.29290954 0.28865249 0.28439571
 0.28013908 0.27588248 0.27162578 0.26736887 0.26311162 0.25885391
 0.25677165 0.25469031 0.25260983 0.25053015 0.24845121 0.24637295
 0.24211411 0.23785396 0.23577549 0.23369742 0.2316197  0.22954226
 0.22746505 0.22538802 0.22331109 0.22123422 0.21915733 0.21708038
 0.2150033  0.21292604 0.21084852 0.2087707  0.20669251 0.20461389
 0.19813185 0.19384671 0.18955818 0.18526615 0.1897983  0.19433813
 0.19888577 0.20344138 0.20800511 0.2125771  0.21715751 0.22174649
 0.22634419 0.23095076 0.23556637 0.24019116 0.24482529 0.24724152
 0.25189307 0.25655441 0.2612257  0.26590712 0.27059881 0.27530094
 0.28001368 0.2847372  0.28947166 0.29421723 0.29897408 0.30374239
 0.30852233 0.31331406 0.31811777 0.32293364 0.32776184 0.33260255
 0.33745595 0.34005519 0.34266299 0.34527943 0.34790462 0.35053868
 0.35318171 0.35583382 0.35849511 0.3611657  0.36384569 0.36882605
 0.37382111 0.37883108 0.38385616 0.38889655 0.39395246 0.3990241
 0.40411167 0.4092154  0.41433549 0.41947216 0.42462563 0.4274729
 0.43265773 0.43786001 0.44307994 0.44598278 0.45123572 0.45650697
 0.46179679 0.46475815 0.46538183 0.46601203 0.45957837 0.45313181
 0.44667213 0.44019904 0.4337123  0.42721165 0.42069682 0.41416754
 0.40762354 0.40106456 0.39449031 0.39029497 0.38609109 0.38187848
 0.37765697 0.37342639 0.36918656 0.3649373  0.36067843 0.35640976
 0.35213112 0.34784231 0.34354315 0.33923345 0.334913   0.33058163
 0.32623914 0.32188532 0.31751997 0.31314289 0.30875389 0.29940392
 0.29498157 0.29054658 0.28609873 0.28163779 0.27716356 0.27267581
 0.26817431 0.26365884 0.25912916 0.25458505 0.25002627 0.24292213
 0.23832832 0.23371906 0.22909411 0.22445322 0.21979612 0.21512258
 0.21043232 0.20572509 0.20100061 0.19625862 0.19149883 0.18672098
 0.18192479 0.17710996 0.17227621 0.16742325 0.16255078 0.1576585
 0.15537966 0.15309234 0.1507964  0.14849169 0.14617808 0.14385542
 0.13885331 0.1338292  0.12878276 0.12371364 0.11862151 0.11080347
 0.10565758 0.10320342 0.10073829 0.09826202 0.09577443 0.09876213
 0.10176636 0.10478735 0.10782535 0.1108806  0.11395335 0.1142571
 0.11456389 0.11767557 0.12080564 0.12395436 0.12429708 0.12747607
 0.13351523 0.14243891 0.14855821 0.15757951 0.16378147 0.17002155
 0.17630033 0.18261839 0.18897631 0.19537472 0.20181422 0.20829543
 0.21481901 0.2272892  0.23983976 0.24950168 0.25624813 0.26304078
 0.26988035 0.27676757 0.28068506 0.28463194 0.28860865 0.29566373
 0.30582826 0.31606539 0.32945529 0.33985166 0.35032427 0.36398536
 0.37462509 0.38534495 0.39300222 0.40071975 0.40533184 0.4131613
 0.42424367 0.43221215 0.44024597 0.44834619 0.45975161 0.46800029
 0.47958135 0.48798365 0.50303399 0.51820956 0.52688504 0.53231038
 0.54112741 0.55002374 0.55900073 0.57144109 0.58399294 0.59665824
 0.609439   0.62233727 0.63535515 0.64849478 0.66175836 0.67514814
 0.68515279 0.69525704 0.7054627  0.71577163 0.72618572 0.73670693
 0.74733724 0.7580787  0.7689334  0.77990346 0.7909911  0.80219854
 0.81352809 1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.        ]"
ChlorineConcentration,[2365],[161],0.5,0.581,[1. 1. 1. ... 1. 1. 1.]
CinCECGTorso,"[2663, 5121]","[5196, 2969]",0.333,0.9,[1. 1. 1. ... 1. 1. 1.]
Coffee,[500],[493],1.0,0.986,"[1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.99770244 0.9874366  0.97726094
 0.9671741  0.95717469 0.94726139 0.94059989 0.93399868 0.92745689
 0.92097363 0.91454804 0.90817928 0.90186652 0.89560895 0.88940577
 0.8832562  0.87715947 0.87111482 0.86512153 0.85917886 0.85328609
 0.84744253 0.84164749 0.83291494 0.82424902 0.8156488  0.80711335
 0.79864175 0.79317078 0.78774339 0.78527822 0.7828373  0.78042033
 0.7751347  0.76989006 0.76181108 0.75378927 0.74868142 0.74076315
 0.73289985 0.72509075 0.71733514 0.7096323  0.70198152 0.6943821
 0.68683336 0.67933464 0.67188526 0.66448457 0.65713194 0.64982673
 0.64256832 0.6353561  0.62818947 0.62106782 0.61399059 0.60695719
 0.59996705 0.59301963 0.58611436 0.57925071 0.57242814 0.56564613
 0.55890416 0.55220172 0.54553831 0.53891343 0.53232659 0.52577731
 0.51926512 0.51278956 0.50635015 0.49994644 0.49357799 0.4924278
 0.49387373 0.49273826 0.48903913 0.4853618  0.48170601 0.48318458
 0.48466145 0.48613669 0.48761035 0.48908249 0.49055317 0.49202244
 0.49349035 0.49495696 0.49642233 0.4978865  0.49934953 0.50081147
 0.50475888 0.50869519 0.51262058 0.51653524 0.52043936 0.5194098
 0.51838939 0.51737805 0.5163757  0.51538226 0.51439766 0.51342181
 0.51245464 0.51149607 0.51054603 0.50960445 0.50867124 0.50774635
 0.5068297  0.50592122 0.50502084 0.50412849 0.50085907 0.49760586
 0.49436869 0.49114737 0.48794174 0.48238699 0.47921619 0.47370381
 0.46821422 0.46274714 0.45730231 0.45187947 0.44881594 0.44576644
 0.44040064 0.43738239 0.4320548  0.42906707 0.42377683 0.41850672
 0.4132565  0.41033117 0.40741839 0.40451803 0.40162996 0.39875403
 0.39589013 0.39303812 0.39019787 0.38736925 0.38455214 0.38174641
 0.37895194 0.37616861 0.37339629 0.37063486 0.36788421 0.36514421
 0.36241476 0.35969574 0.35698702 0.35428851 0.35160008 0.34892163
 0.34625305 0.34359422 0.34094505 0.33830542 0.33567523 0.33305437
 0.33044274 0.32784024 0.32524677 0.32266222 0.32008649 0.3175195
 0.31496113 0.31241129 0.30986989 0.30733683 0.30481201 0.30667644
 0.30416319 0.30821574 0.31226257 0.3097596  0.31162288 0.30913119
 0.30664726 0.3085163  0.31038439 0.3122516  0.31411797 0.31598356
 0.31784842 0.3197126  0.32157616 0.31912662 0.31668434 0.31424924
 0.31182124 0.30940024 0.30698618 0.30457897 0.30217852 0.29978477
 0.29739762 0.295017   0.29264284 0.29027506 0.28791357 0.2855583
 0.28320918 0.28086614 0.27852908 0.27619795 0.27387267 0.26943166
 0.26711937 0.26269419 0.25827749 0.25598472 0.24946901 0.24507697
 0.24069289 0.23420666 0.22773084 0.22337252 0.21691562 0.21046858
 0.20403121 0.19760333 0.19118476 0.1847753  0.17837478 0.17198302
 0.16559984 0.15922506 0.15285849 0.14859282 0.14433285 0.14007848
 0.13582958 0.13158604 0.12734773 0.12520123 0.12305781 0.1209174
 0.11877996 0.11664542 0.11451372 0.1123848  0.11025861 0.10813509
 0.10601418 0.10389582 0.10177995 0.09966652 0.09755546 0.09544673
 0.09334027 0.09123601 0.08913391 0.0870339  0.08493594 0.08283996
 0.0807459  0.07865372 0.07656336 0.07447476 0.07238786 0.07030262
 0.06821898 0.06613687 0.06405626 0.06197707 0.05989927 0.05782279
 0.05574757 0.05367357 0.05160074 0.04952901 0.04745833 0.04538865
 0.04331992 0.04125208 0.03918508 0.03711886 0.03505337 0.03298856
 0.03092437 0.02886075 0.02679765 0.02473501 0.02267278 0.0206109
 0.01854933 0.01648801 0.01854885 0.02060983 0.02267101 0.02885451
 0.03503853 0.04122323 0.04740876 0.05565665 0.06390594 0.07215686
 0.08040962 0.08866443 0.0969215  0.10518106 0.11344332 0.11964564
 0.12378743 0.12793141 0.13001396 0.13416232 0.13831317 0.14246662
 0.14662279 0.15078179 0.15494372 0.1591087  0.16327684 0.16744825
 0.17162303 0.17580131 0.1799832  0.1841688  0.18835823 0.1925516
 0.19674903 0.20095063 0.20515652 0.20936681 0.21358161 0.21780104
 0.22202522 0.22625426 0.23048828 0.2347274  0.23897173 0.2432214
 0.24747651 0.2517372  0.25600358 0.26027577 0.26455389 0.27092208
 0.27729831 0.28368277 0.29007563 0.29647707 0.30288729 0.30930646
 0.31573476 0.32217239 0.32861952 0.33507635 0.34154307 0.34801986
 0.35450691 0.36100442 0.36751258 0.37403158 0.38056161 0.38710287
 0.39365556 0.40021988 0.40679602 0.41127508 0.4178741  0.42448553
 0.42899629 0.43351699 0.43804778 0.44258881 0.44714022 0.45170215
 0.45627476 0.46085818 0.46545258 0.4700581  0.4746749  0.47930312
 0.48394291 0.48859445 0.49325787 0.49793334 0.50262101 0.50732106
 0.51203362 0.51675888 0.52149699 0.52624812 0.53101243 0.5357901
 0.54058128 0.54538615 0.55236255 0.55935702 0.56636979 0.57340111
 0.58045125 0.58535247 0.59243883 0.59954475 0.60667046 0.61381624
 0.62098234 0.62816903 0.63319315 0.63823379 0.64329113 0.64836538
 0.65564954 0.66295583 0.67028452 0.67763591 0.68501028 0.69240791
 0.6998291  0.70727415 0.71474334 0.72223699 0.72975539 0.73729886
 0.74486769 0.75246221 0.76008272 0.76772955 0.77540302 0.78310345
 0.79083117 0.79858651 0.80636981 0.8141814  0.82202163 0.82989084
 0.83778938 0.84345633 0.84914708 0.85486191 0.85378895 0.85272135
 0.85165912 0.85060225 0.84726699 0.8439304  0.84059238 0.83725284
 0.83391165 0.83056872 0.82722395 0.82387722 0.82283977 0.82180736
 0.82077997 0.81975761 0.81874026 0.81772793 0.81672061 0.81571829
 0.81472098 0.81372865 0.81274133 0.81175899 0.81078164 0.80980927
 0.80884189 0.80787949 0.80454876 0.80121463 0.79787698 0.79453568
 0.79119061 0.78784165 0.78448868 0.78113156 0.77777018 0.77440441
 0.77103411 0.77250243 0.77398455 0.77548059 0.7769907  0.77851499
 0.78005362 0.7816067  0.78071929 0.77983671 0.77895894 0.77808601
 0.7772179  0.77635463 0.7754962  0.77464261 0.77379387 0.77294998
 0.77211096 0.7712768  0.77044751 0.7696231  0.76627462 0.76291972
 0.75955824 0.75619003 0.75281494 0.75199059 0.75117091 0.75035589
 0.74954554 0.74873987 0.75311494 0.7523311  0.75155209 0.75599166
 0.76046168 0.75972307 0.75898959 0.75826125 0.75753806 0.75682004
 0.7561072  0.75539958 0.76003072 0.76469505 0.76403136 0.76337323
 0.76272068 0.76207374 0.76143243 0.76079678 0.76016681 0.75954255
 0.75892403 0.75831127 0.75770432 0.75710319 0.7620501  0.76703498
 0.77205835 0.77152995 0.77100804 0.77049265 0.76998384 0.76948164
 0.7689861  0.76849726 0.76801518 0.7675399  0.76707146 0.76660993
 0.76326419 0.76280734 0.76235746 0.76191459 0.76147878 0.75811168
 0.75473225 0.75134023 0.74793537 0.7445174  0.74407431 0.74363816
 0.74320901 0.74278691 0.74237192 0.74196412 0.74156355 0.74117029
 0.74078441 0.74040597 0.74003504 0.7396717  0.73931601 0.73896806
 0.73862792 0.73829568 0.7379714  0.73765517 0.73734709 0.73704723
 0.73675569 0.73647255 0.73619792 0.73593188 0.73567453 1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.        ]"
