name,true_cps,found_cps,f1_score,covering_score,cac
Adiac,"[572, 1012, 1232]","[557, 1218, 996]",0.5,0.939,[1. 1. 1. ... 1. 1. 1.]
ArrowHead,[753],[742],1.0,0.985,[1. 1. 1. ... 1. 1. 1.]
Beef,[705],[659],0.5,0.937,[1. 1. 1. ... 1. 1. 1.]
BeetleFly,[1280],[1283],1.0,0.998,[1. 1. 1. ... 1. 1. 1.]
BirdChicken,[1280],[1310],0.5,0.977,[1. 1. 1. ... 1. 1. 1.]
Car,"[577, 1154, 1550]","[1147, 566, 1237]",0.75,0.765,[1. 1. 1. ... 1. 1. 1.]
CBF,"[384, 704]","[361, 682]",0.333,0.911,"[1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         0.78650685 0.77860017
 0.77078565 0.77076923 0.77076473 0.76314058 0.75560284 0.74814991
 0.74078023 0.74097689 0.73373364 0.73398361 0.73424208 0.7308364
 0.72747282 0.72051168 0.71362421 0.70320294 0.69647505 0.68981685
 0.68322713 0.67316177 0.66672086 0.66034481 0.65403253 0.64778293
 0.65199922 0.6561894  0.66035399 0.66449348 0.66519708 0.66590414
 0.66661464 0.65721753 0.64790385 0.64870373 0.64950613 0.65031107
 0.65111856 0.6519286  0.6527412  0.65355637 0.65437411 0.65519444
 0.65601736 0.65684288 0.65767101 0.65850176 0.65296475 0.64747554
 0.64203344 0.63663772 0.62814698 0.62285282 0.6144837  0.60617938
 0.59793887 0.58976123 0.58472301 0.58586014 0.59311172 0.60337076
 0.60445848 0.60554672 0.60361746 0.60772498 0.61181416 0.60990584
 0.60801687 0.60614699 0.61022043 0.61427656 0.61537133 0.61353144
 0.60878307 0.61282475 0.61103075 0.60345212 0.59592455 0.5913319
 0.58677248 0.57937767 0.57489147 0.57328932 0.56885853 0.56729532
 0.56574732 0.56421436 0.56269626 0.56119285 0.55970397 0.54706486
 0.5428499  0.53866315 0.53173482 0.52761053 0.529024   0.53043637
 0.5318477  0.52505408 0.5264838  0.52519127 0.52662557 0.52264287
 0.52138675 0.51475244 0.50815542 0.50159522 0.4923953  0.48591351
 0.47946707 0.47305552 0.4666784  0.46033527 0.4540257  0.44774925
 0.4415055  0.43529402 0.4291144  0.42296624 0.41684912 0.41336241
 0.40730071 0.40126892 0.39526667 0.38929358 0.38077647 0.3774334
 0.37410795 0.36824267 0.36240478 0.35659393 0.35080978 0.34505197
 0.33932019 0.33361408 0.32541076 0.31724201 0.30910738 0.3035148
 0.29544241 0.28990201 0.2843849  0.27889078 0.27590498 0.27293274
 0.27245071 0.27197322 0.27643661 0.27595958 0.27548706 0.27501901
 0.27210402 0.26920163 0.26631168 0.26343404 0.26300376 0.26014632
 0.26215551 0.25931397 0.25406445 0.24883407 0.23879835 0.23361293
 0.22604114 0.21849473 0.21097335 0.20347667 0.19839464 0.19332961
 0.18828134 0.18324962 0.17823422 0.17323491 0.16825148 0.16091728
 0.15833139 0.15575421 0.15318564 0.1553326  0.15747535 0.15961399
 0.16174858 0.15919694 0.1566535  0.15411815 0.15159078 0.14674205
 0.14190688 0.13708508 0.13227646 0.12748083 0.122698   0.11792778
 0.11316998 0.10842443 0.10138669 0.0966677  0.08966137 0.08267167
 0.08028614 0.07790665 0.08011089 0.08231114 0.08679148 0.09126318
 0.09572641 0.10018131 0.10462804 0.10906676 0.11122768 0.11565309
 0.12007091 0.12448132 0.12662331 0.12876246 0.13089883 0.13303249
 0.13516351 0.13729197 0.13941792 0.14154145 0.14366261 0.14129589
 0.13893459 0.13657863 0.13422792 0.13188239 0.13400891 0.13836499
 0.14271546 0.14928867 0.15585311 0.16018423 0.16451034 0.17105305
 0.17758779 0.18411476 0.19063417 0.19493108 0.20143749 0.20793692
 0.21442956 0.22091562 0.22518758 0.23166249 0.23592646 0.2423909
 0.24444528 0.24870039 0.2529528  0.25720263 0.26145001 0.26569507
 0.26993792 0.27417871 0.27841754 0.28046343 0.28250986 0.28455689
 0.28879239 0.29083974 0.29288787 0.29712157 0.3013542  0.30776863
 0.31199852 0.32058949 0.32699629 0.33122182 0.3354471  0.33749484
 0.33954421 0.34377101 0.345823   0.34570257 0.34341199 0.33895339
 0.34101713 0.33873996 0.33646737 0.33419929 0.33193565 0.3296764
 0.32742145 0.32950635 0.33159332 0.32934887 0.33144111 0.33353555
 0.33563224 0.33773124 0.33983262 0.34193642 0.34404271 0.34182465
 0.33961049 0.33523734 0.33086852 0.32650392 0.3221434  0.31778683
 0.31343411 0.3090851  0.30473968 0.30039773 0.29605913 0.29172374
 0.29171314 0.29386605 0.29602164 0.30034068 0.30466252 0.31114802
 0.31763666 0.32412861 0.33062405 0.33712317 0.34362616 0.3501332
 0.35664448 0.36316017 0.36968047 0.37620557 0.38057329 0.38278303
 0.38067114 0.37856227 0.37212925 0.36569774 0.35926754 0.35283847
 0.34641035 0.33998301 0.33355625 0.32496347 0.31853685 0.31211025
 0.3056835  0.30142492 0.29716697 0.29290954 0.28865249 0.28439571
 0.28013908 0.27588248 0.27162578 0.26736887 0.26311162 0.25885391
 0.25677165 0.25469031 0.25260983 0.25053015 0.24845121 0.24637295
 0.24211411 0.23785396 0.23577549 0.23369742 0.2316197  0.22954226
 0.22746505 0.22538802 0.22331109 0.22123422 0.21915733 0.21708038
 0.2150033  0.21292604 0.21084852 0.2087707  0.20669251 0.20461389
 0.19813185 0.19384671 0.18955818 0.18526615 0.1897983  0.19433813
 0.19888577 0.20344138 0.20800511 0.2125771  0.21715751 0.22174649
 0.22634419 0.23095076 0.23556637 0.24019116 0.24482529 0.24724152
 0.25189307 0.25655441 0.2612257  0.26590712 0.27059881 0.27530094
 0.28001368 0.2847372  0.28947166 0.29421723 0.29897408 0.30374239
 0.30852233 0.31331406 0.31811777 0.32293364 0.32776184 0.33260255
 0.33745595 0.34005519 0.34266299 0.34527943 0.34790462 0.35053868
 0.35318171 0.35583382 0.35849511 0.3611657  0.36384569 0.36882605
 0.37382111 0.37883108 0.38385616 0.38889655 0.39395246 0.3990241
 0.40411167 0.4092154  0.41433549 0.41947216 0.42462563 0.4274729
 0.43265773 0.43786001 0.44307994 0.44598278 0.45123572 0.45650697
 0.46179679 0.46475815 0.46538183 0.46601203 0.45957837 0.45313181
 0.44667213 0.44019904 0.4337123  0.42721165 0.42069682 0.41416754
 0.40762354 0.40106456 0.39449031 0.39029497 0.38609109 0.38187848
 0.37765697 0.37342639 0.36918656 0.3649373  0.36067843 0.35640976
 0.35213112 0.34784231 0.34354315 0.33923345 0.334913   0.33058163
 0.32623914 0.32188532 0.31751997 0.31314289 0.30875389 0.29940392
 0.29498157 0.29054658 0.28609873 0.28163779 0.27716356 0.27267581
 0.26817431 0.26365884 0.25912916 0.25458505 0.25002627 0.24292213
 0.23832832 0.23371906 0.22909411 0.22445322 0.21979612 0.21512258
 0.21043232 0.20572509 0.20100061 0.19625862 0.19149883 0.18672098
 0.18192479 0.17710996 0.17227621 0.16742325 0.16255078 0.1576585
 0.15537966 0.15309234 0.1507964  0.14849169 0.14617808 0.14385542
 0.13885331 0.1338292  0.12878276 0.12371364 0.11862151 0.11080347
 0.10565758 0.10320342 0.10073829 0.09826202 0.09577443 0.09876213
 0.10176636 0.10478735 0.10782535 0.1108806  0.11395335 0.1142571
 0.11456389 0.11767557 0.12080564 0.12395436 0.12429708 0.12747607
 0.13351523 0.14243891 0.14855821 0.15757951 0.16378147 0.17002155
 0.17630033 0.18261839 0.18897631 0.19537472 0.20181422 0.20829543
 0.21481901 0.2272892  0.23983976 0.24950168 0.25624813 0.26304078
 0.26988035 0.27676757 0.28068506 0.28463194 0.28860865 0.29566373
 0.30582826 0.31606539 0.32945529 0.33985166 0.35032427 0.36398536
 0.37462509 0.38534495 0.39300222 0.40071975 0.40533184 0.4131613
 0.42424367 0.43221215 0.44024597 0.44834619 0.45975161 0.46800029
 0.47958135 0.48798365 0.50303399 0.51820956 0.52688504 0.53231038
 0.54112741 0.55002374 0.55900073 0.57144109 0.58399294 0.59665824
 0.609439   0.62233727 0.63535515 0.64849478 0.66175836 0.67514814
 0.68515279 0.69525704 0.7054627  0.71577163 0.72618572 0.73670693
 0.74733724 0.7580787  0.7689334  0.77990346 0.7909911  0.80219854
 0.81352809 1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.        ]"
ChlorineConcentration,[2365],[161],0.5,0.581,[1. 1. 1. ... 1. 1. 1.]
CinCECGTorso,"[2663, 5121]","[2990, 5210]",0.333,0.891,[1. 1. 1. ... 1. 1. 1.]
Coffee,[500],[493],1.0,0.986,"[1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         0.99030798 0.980173   0.97012573 0.96334418 0.95662424
 0.94996501 0.94336558 0.93682509 0.93034267 0.92391747 0.91754868
 0.91123547 0.90497705 0.89877263 0.89262146 0.88652276 0.8804758
 0.87447986 0.86853422 0.86263817 0.85379525 0.84502024 0.83631217
 0.8276701  0.8190931  0.81352783 0.80800711 0.80545928 0.80001669
 0.79752765 0.79216122 0.78683661 0.77866929 0.77056015 0.76250841
 0.75451328 0.746574   0.73868982 0.73085999 0.7230838  0.71536052
 0.70768945 0.7000699  0.69250118 0.68498262 0.67751356 0.67009336
 0.66272136 0.65539695 0.64811949 0.64088838 0.63370302 0.62656281
 0.61946718 0.61241553 0.60540732 0.59844198 0.59151896 0.58463773
 0.57779774 0.57099847 0.56423941 0.55752005 0.55083988 0.54419841
 0.53759514 0.53102961 0.52450133 0.51800984 0.51155467 0.50773916
 0.50394683 0.50017738 0.49643056 0.49270609 0.48900371 0.48532315
 0.48166416 0.48313907 0.48461224 0.48608373 0.48755359 0.48902189
 0.49048867 0.491954   0.49341793 0.49488052 0.49634182 0.49780187
 0.49926075 0.50320963 0.50714719 0.51107361 0.51498909 0.51395195
 0.51292401 0.51190516 0.51089533 0.50989445 0.50890242 0.50791918
 0.50694464 0.50597873 0.50502137 0.50407249 0.50313201 0.50219987
 0.50127599 0.5003603  0.50425517 0.50334701 0.5000543  0.4967781
 0.4935182  0.49027444 0.48704664 0.48383463 0.48063824 0.47509364
 0.46957231 0.46407396 0.45859833 0.45314516 0.45005823 0.4469856
 0.44159065 0.4362172  0.43086497 0.42553373 0.4225449  0.41725128
 0.41197793 0.40672463 0.40379856 0.4008851  0.3979841  0.39509544
 0.39221898 0.38935458 0.38650213 0.38366148 0.38083251 0.37801509
 0.3752091  0.37241441 0.36963091 0.36685846 0.36409695 0.36134626
 0.35860627 0.35587686 0.35315792 0.35044934 0.347751   0.34506278
 0.34238458 0.33971629 0.33705779 0.33440899 0.33176977 0.32914002
 0.32651965 0.32390854 0.3213066  0.31871372 0.31612981 0.31355476
 0.31098846 0.30843084 0.30588177 0.30334118 0.30520034 0.30267157
 0.30453281 0.30639273 0.30606521 0.30574112 0.30323886 0.30510313
 0.30696627 0.30882832 0.31068934 0.31254938 0.31440849 0.31626673
 0.31812416 0.31998081 0.32183676 0.31937614 0.31692295 0.3144771
 0.31203851 0.30960708 0.30718274 0.30476541 0.302355   0.29995144
 0.29755464 0.29516452 0.29278101 0.29040402 0.28803348 0.28566931
 0.28331143 0.28095977 0.27861425 0.2762748  0.27181776 0.26949181
 0.26505128 0.26061959 0.25831396 0.25601388 0.2537193  0.24720442
 0.2428121  0.2363179  0.22983447 0.22546883 0.22111085 0.21676041
 0.21031424 0.20387797 0.19745141 0.19103439 0.18462671 0.17822819
 0.17183865 0.16545792 0.1590858  0.15272212 0.14845765 0.14419904
 0.13994617 0.13569892 0.13145717 0.1272208  0.12507427 0.12293089
 0.1207906  0.11865335 0.11651908 0.11438772 0.11225921 0.11013351
 0.10801055 0.10589026 0.1037726  0.10165751 0.09954493 0.09743479
 0.09532705 0.09322165 0.09111852 0.08901762 0.08691889 0.08482227
 0.0827277  0.08063513 0.0785445  0.07645576 0.07436885 0.07228372
 0.07020031 0.06811856 0.06603842 0.06395984 0.06188276 0.05980713
 0.05773289 0.05565999 0.05358836 0.05151797 0.04944875 0.04738065
 0.04531362 0.0432476  0.04118254 0.03911839 0.03705508 0.03499257
 0.03293081 0.03086973 0.02880929 0.02674944 0.02469011 0.02263126
 0.02057283 0.01851477 0.02057128 0.02262785 0.02468453 0.03085544
 0.03702658 0.04319811 0.04937019 0.05554298 0.06377387 0.07200597
 0.08023951 0.08847469 0.09671174 0.10495086 0.11319228 0.1214362
 0.12556594 0.12969767 0.13383152 0.13796758 0.14210597 0.1462468
 0.15039017 0.1545362  0.15868499 0.16283667 0.16699133 0.17114909
 0.17531006 0.17947435 0.18364207 0.18781334 0.19198827 0.19616697
 0.20034955 0.20453613 0.20872682 0.21292173 0.21712099 0.2213247
 0.22553298 0.22974595 0.23396372 0.23818641 0.24241414 0.24664702
 0.25088517 0.25512872 0.25937777 0.26363246 0.26996958 0.2763143
 0.2826668  0.28902724 0.29539582 0.30177271 0.3081581  0.31455217
 0.3209551  0.32736708 0.33378829 0.34021892 0.34665915 0.35310917
 0.35956918 0.36603936 0.3725199  0.379011   0.38551285 0.39202564
 0.39854957 0.40508483 0.41163162 0.41819015 0.42265783 0.42713496
 0.4316217  0.43611817 0.44062452 0.44514089 0.44966743 0.45420428
 0.45875158 0.46330949 0.46787816 0.47245772 0.47704834 0.48165015
 0.48626333 0.49088801 0.49552435 0.50017252 0.50483266 0.50950493
 0.51418949 0.51888651 0.52359615 0.52831856 0.53305392 0.53780239
 0.54256413 0.54733931 0.55212812 0.55908101 0.56605182 0.57304079
 0.58004816 0.58275747 0.58979825 0.59685814 0.6039374  0.61103628
 0.61815505 0.62529395 0.63245327 0.63745763 0.6424784  0.64969595
 0.65693494 0.66419564 0.67147833 0.67878328 0.68391875 0.69126665
 0.69863765 0.70603204 0.71345012 0.72089218 0.72835852 0.73584945
 0.74336526 0.75090627 0.75847278 0.76606512 0.77368359 0.78132853
 0.78900025 0.79669907 0.80442534 0.81217938 0.81996153 0.82777212
 0.83561152 0.84348005 0.84912576 0.85479517 0.85371305 0.85263635
 0.85156508 0.85049923 0.84943878 0.84610925 0.84277854 0.83944653
 0.83611313 0.83277823 0.82944172 0.82610351 0.82276349 0.82172329
 0.82068818 0.81734925 0.81632067 0.81529712 0.81427861 0.81326512
 0.81225665 0.8112532  0.81025476 0.80926134 0.80827292 0.8072895
 0.80631109 0.80533767 0.80436925 0.80104286 0.79771318 0.79438009
 0.79104346 0.78770318 0.78435912 0.78101116 0.77765917 0.77430303
 0.77094261 0.76998399 0.77144068 0.77291113 0.77439545 0.7758938
 0.77740628 0.77893305 0.78047423 0.77958612 0.77870288 0.77782453
 0.77695107 0.77608249 0.7752188  0.77436001 0.77350613 0.77265715
 0.77181308 0.77097393 0.77013971 0.76931042 0.76848607 0.76514973
 0.76180714 0.75845815 0.75510261 0.75428003 0.75346222 0.75264919
 0.75184094 0.75103749 0.75023884 0.75459583 0.75898228 0.76339855
 0.76784503 0.76712127 0.76640286 0.76568983 0.76498219 0.76427995
 0.76358315 0.7628918  0.76220591 0.76152551 0.76085063 0.76018128
 0.75951749 0.75885927 0.75820666 0.75755968 0.75691835 0.7562827
 0.75565276 0.75502855 0.7544101  0.75379744 0.75319061 0.7581031
 0.76305327 0.76804162 0.76750703 0.76697892 0.76645733 0.7659423
 0.76543387 0.76493209 0.76443699 0.76394864 0.76346707 0.76299233
 0.75965784 0.75631212 0.75583984 0.7553744  0.75201233 0.74863827
 0.74525199 0.74185322 0.73844171 0.73796907 0.73454128 0.73407201
 0.73360944 0.73315363 0.73270462 0.73226248 0.73182727 0.73139904
 0.73097786 0.73056379 0.7301569  0.72975724 0.72936489 0.72897992
 0.72860239 0.72823239 0.72786998 0.72751523 0.72716824 0.72682907
 0.72649782 0.72617456 0.72585937 0.72555236 0.7252536  0.72496319
 0.72468123 0.72440781 0.72414302 0.72388699 0.7236398  1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.        ]"
