name,true_cps,found_cps,f1_score,covering_score,cac
Adiac,"[572, 1012, 1232]","[563, 1008, 1224]",1.0,0.971,[1. 1. 1. ... 1. 1. 1.]
ArrowHead,[753],[749],1.0,0.995,[1. 1. 1. ... 1. 1. 1.]
Beef,[705],[658],0.5,0.935,[1. 1. 1. ... 1. 1. 1.]
BeetleFly,[1280],[1238],0.5,0.968,[1. 1. 1. ... 1. 1. 1.]
BirdChicken,[1280],[2303],0.5,0.478,[1. 1. 1. ... 1. 1. 1.]
Car,"[577, 1154, 1550]","[1142, 568, 1242]",0.75,0.764,[1. 1. 1. ... 1. 1. 1.]
CBF,"[384, 704]","[368, 690]",0.333,0.94,"[1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         0.99631472 0.98409505 0.97571567 0.96742935 0.96658488
 0.96576205 0.9576778  0.95693051 0.9562035  0.96268065 0.96911339
 0.97194234 0.96767073 0.96697895 0.95927882 0.95165815 0.94411561
 0.93664991 0.92925977 0.92194397 0.91470128 0.90753051 0.90043051
 0.89340012 0.88643824 0.87954377 0.87271565 0.86595282 0.86588942
 0.86583785 0.85921395 0.85921078 0.85268478 0.84947372 0.84629765
 0.83992558 0.83682988 0.82735396 0.82434782 0.82455749 0.82160385
 0.81552067 0.80949078 0.80037467 0.79133215 0.7854791  0.77656978
 0.77082662 0.76513192 0.75948499 0.75388515 0.74527731 0.74586841
 0.7403959  0.73194341 0.72656917 0.72724849 0.72793222 0.72563422
 0.72335934 0.71517224 0.71591941 0.71372122 0.71448517 0.7093902
 0.71017939 0.7109722  0.71176863 0.71546529 0.71626048 0.71993912
 0.7207334  0.7272579  0.73089851 0.73167992 0.72678732 0.72759257
 0.72557841 0.72639913 0.72722362 0.72245149 0.72050596 0.72136419
 0.72222598 0.72309134 0.71843386 0.71380872 0.7092155  0.70465382
 0.70012328 0.69562349 0.69115407 0.68400037 0.67959732 0.67522348
 0.67357278 0.66656199 0.66763619 0.66068797 0.65111158 0.64691197
 0.63742723 0.62799367 0.61861062 0.60927744 0.60262504 0.5986349
 0.60252823 0.59856906 0.60506607 0.59852934 0.58943102 0.58037856
 0.57395676 0.57530817 0.57665991 0.578012   0.57423738 0.57048455
 0.56675323 0.5630432  0.55935421 0.555686   0.55203835 0.54841102
 0.54480377 0.5386991  0.53513625 0.53159276 0.52806841 0.52456298
 0.52107626 0.51511954 0.5091904  0.5032885  0.49741351 0.4915651
 0.48574296 0.47994676 0.47417619 0.46843094 0.4627107  0.46190302
 0.46354252 0.46761653 0.47654401 0.48059149 0.482207   0.47898372
 0.47819104 0.47499462 0.47181338 0.46624385 0.45829743 0.45277659
 0.44249401 0.43702438 0.43157614 0.42852975 0.42549695 0.42010411
 0.41236181 0.40937949 0.40641006 0.401094   0.39815336 0.39287262
 0.39230924 0.38705967 0.38651375 0.38129467 0.37609383 0.36857823
 0.36341638 0.35594563 0.35082175 0.34339471 0.33599063 0.32860922
 0.30969442 0.2977559  0.29046125 0.28318786 0.27823492 0.27329696
 0.26837381 0.26346525 0.2585711  0.25369116 0.24882525 0.24397318
 0.23913475 0.23430979 0.22949811 0.22469953 0.21764671 0.20834701
 0.20585625 0.20111318 0.2008968  0.20293765 0.20948106 0.21601273
 0.22253287 0.2290417  0.23778269 0.24650831 0.25298009 0.25944149
 0.2703615  0.27903072 0.28545587 0.2874155  0.28937416 0.2913319
 0.2932888  0.29524489 0.29720025 0.29915492 0.2966809  0.29421392
 0.2961744  0.29813433 0.30009377 0.30205278 0.30621438 0.31037214
 0.31452618 0.31867663 0.32282361 0.32916165 0.33549318 0.34181838
 0.34813746 0.35445059 0.35638515 0.36050515 0.36462275 0.36655618
 0.36849037 0.37696231 0.38542658 0.3917073  0.39798361 0.4042557
 0.41052375 0.41461717 0.4187095  0.42496905 0.43122525 0.43531252
 0.43939921 0.4478121  0.45189561 0.45813995 0.46222204 0.46630416
 0.47038644 0.47446898 0.4785519  0.48263531 0.48456569 0.48219344
 0.47982773 0.47531773 0.47296579 0.47062015 0.47472496 0.4766836
 0.48079144 0.48275494 0.48472138 0.4845468  0.48652003 0.48849633
 0.49047575 0.49245836 0.49444418 0.4964333  0.50056491 0.50256012
 0.5045588  0.5022862  0.50001939 0.49775828 0.4997744  0.50392941
 0.50808713 0.50584458 0.50147364 0.49710901 0.49061745 0.48839819
 0.48618415 0.48397526 0.477508   0.47317838 0.46885425 0.46453548
 0.46235262 0.46017444 0.45800088 0.45583189 0.4536674  0.45150736
 0.44935171 0.45145943 0.45357109 0.45568674 0.45780643 0.45993024
 0.46205821 0.4641904  0.46845623 0.4748559  0.48126028 0.48341043
 0.48130585 0.48346504 0.48562894 0.48779759 0.48997107 0.49001893
 0.49433276 0.49865209 0.49658324 0.49451841 0.49245754 0.48613621
 0.48194988 0.47563368 0.46931963 0.46300755 0.46523367 0.46746496
 0.46329648 0.46553688 0.46137462 0.4572146  0.45733083 0.45958895
 0.46185252 0.4641216  0.46639626 0.46867657 0.4709626  0.46897156
 0.46698357 0.46928428 0.47159089 0.4739035  0.47622216 0.47854695
 0.48087795 0.48321522 0.48126186 0.47931137 0.48166427 0.47972123
 0.47993311 0.48014966 0.48037086 0.47844161 0.47651499 0.4724337
 0.4683528  0.46211275 0.45803113 0.4561112  0.45851914 0.46093398
 0.46335581 0.46578471 0.47255614 0.47500195 0.47962537 0.4820873
 0.48455677 0.48920812 0.49169431 0.49854241 0.50104718 0.50355999
 0.50608093 0.50861009 0.51114756 0.50713563 0.51187279 0.51443255
 0.51700095 0.51957805 0.52216398 0.52475881 0.52736265 0.52997558
 0.52819608 0.53302655 0.53786996 0.54272648 0.54759629 0.55247955
 0.55737645 0.56450089 0.56942753 0.57436836 0.57932357 0.57540675
 0.57815941 0.57647125 0.57924122 0.58425203 0.58481388 0.58314823
 0.581485   0.58430156 0.58264755 0.5809959  0.58608315 0.59343451
 0.59855681 0.59468541 0.59081161 0.58693529 0.58079643 0.57012502
 0.56396542 0.55553013 0.5538914  0.55452707 0.55516972 0.5558194
 0.55647614 0.55714    0.5555249  0.55391145 0.55000791 0.54151118
 0.53529613 0.52677053 0.51822861 0.50967004 0.50340369 0.49712609
 0.49083701 0.48685456 0.4828664  0.48119698 0.47254451 0.46853509
 0.4598508  0.45348444 0.44710476 0.44305569 0.44134715 0.44434021
 0.4426377  0.43857681 0.43450838 0.43043226 0.43108549 0.42937298
 0.42765967 0.42594552 0.42423047 0.42251446 0.42079744 0.40950038
 0.40296837 0.39882187 0.38985298 0.38567951 0.38149621 0.37730289
 0.37309937 0.36645858 0.35979882 0.35555509 0.34886074 0.34703432
 0.34520514 0.34337314 0.34153823 0.33970035 0.33785941 0.33601535
 0.33169275 0.32735755 0.32549422 0.32611679 0.3242511  0.32238176
 0.32050869 0.31361397 0.30669542 0.30227158 0.2978333  0.29338037
 0.28891253 0.28442954 0.27993117 0.27541715 0.27088725 0.26890218
 0.26434522 0.26234365 0.2577588  0.25315687 0.25112651 0.24649535
 0.24184634 0.23978556 0.23771821 0.23564418 0.23356334 0.23147558
 0.22674422 0.22463603 0.22252049 0.21774209 0.21560506 0.21346024
 0.21130749 0.21719077 0.22310577 0.2263582  0.22962969 0.23292049
 0.23623087 0.23683883 0.24837017 0.25722815 0.26613576 0.27234277
 0.28134446 0.28763221 0.29395748 0.30310156 0.30951115 0.31595999
 0.32244865 0.32897771 0.34118722 0.35064269 0.35448498 0.35835393
 0.36224993 0.36617335 0.3701246  0.37410407 0.37811216 0.37635916
 0.38040815 0.39031242 0.4002828  0.39859686 0.39690563 0.39520896
 0.39646545 0.39773523 0.40199623 0.40629025 0.41061777 0.4149793
 0.42540954 0.43591523 0.44649757 0.45715776 0.46789705 0.47564799
 0.48345924 0.4944219  0.49926653 0.50726453 0.52157318 0.52972325
 0.53793991 0.54306688 0.55140835 0.55981958 0.56510901 0.57044642
 0.57583259 0.57480978 0.57378746 0.57276559 0.57174413 0.57072306
 0.56640924 0.56537559 0.56434204 0.57330811 0.57900946 0.58476668
 0.59395548 0.60661941 0.61939977 0.63571648 0.65218326 0.66535538
 0.6751904  0.68512258 0.69515368 0.70528551 0.71551992 0.72585879
 0.73630406 0.74328423 0.75034148 0.75747723 0.76831709 0.78291454
 0.79400643 0.80521918 0.80547067 0.81316435 0.80975358 0.80632237
 0.79910087 0.79181941 0.78447669 0.78089932 0.78114616 0.78527769
 0.78946711 0.78589572 0.78229966 0.77867835 0.77503118 0.77135752
 0.77167587 0.77201203 0.76830125 0.76865056 0.76901835 0.76526838
 0.76148849 0.75767794 0.74541321 0.74148762 0.73752819 0.73353406
 0.72950437 0.72109425 0.71696288 0.71719263 0.71743992 0.71770512
 0.7179886  0.71829077 0.71861201 0.71895275 0.7239244  0.72898084
 0.73412419 0.7487752  0.74942366 0.75009802 0.7459861  0.7466784
 0.74739789 0.74814525 0.74892117 0.7447282  0.73544964 0.73111883
 0.72673607 0.72229982 0.71260693 0.70277114 0.69807661 0.6986532
 0.68849928 1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.        ]"
ChlorineConcentration,[2365],[2364],1.0,1.0,[1. 1. 1. ... 1. 1. 1.]
CinCECGTorso,"[2663, 5121]","[2581, 2650]",0.667,0.676,[1. 1. 1. ... 1. 1. 1.]
Coffee,[500],[494],1.0,0.988,"[1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         0.99380153 0.98662615 0.97951899 0.97247901 0.96550519
 0.95859652 0.95175201 0.94179967 0.93193347 0.93474121 0.93753895
 0.93407888 0.92754248 0.92726691 0.92700402 0.91751692 0.90810812
 0.89877647 0.88952084 0.88034013 0.87123323 0.86822846 0.86825844
 0.86829796 0.86536293 0.86840528 0.87143697 0.87741247 0.88041377
 0.88634003 0.89223749 0.89519071 0.88941503 0.88368591 0.87800273
 0.86948578 0.86103153 0.85263911 0.84716009 0.84456745 0.83916466
 0.83380355 0.83130156 0.82882337 0.82636871 0.82393728 0.82431366
 0.81636629 0.80847346 0.80063446 0.79284858 0.78511514 0.77743344
 0.77253263 0.76766709 0.76283638 0.75533278 0.74787789 0.74047108
 0.73311173 0.72579926 0.71853305 0.71131252 0.70413711 0.69700623
 0.68991932 0.68287585 0.67587526 0.66891701 0.66200059 0.65512546
 0.6508947  0.64669137 0.64510594 0.64095019 0.63424275 0.62757392
 0.62864087 0.63226875 0.63333197 0.63439644 0.63800402 0.64160115
 0.64518801 0.64624039 0.6472943  0.64332379 0.64689941 0.6479636
 0.64902936 0.64511512 0.6412242  0.63735634 0.63846058 0.63956623
 0.6406733  0.64178183 0.64043805 0.63665729 0.6377855  0.63647653
 0.63761257 0.63875005 0.6423128  0.64586734 0.64941383 0.64572416
 0.63965035 0.63360621 0.62759143 0.63116881 0.63473842 0.63591868
 0.63947766 0.64540206 0.64894202 0.65247493 0.65600092 0.65952013
 0.66303269 0.66653875 0.66769564 0.66885457 0.67001556 0.66651767
 0.67001736 0.67583357 0.68163605 0.68511047 0.6885794  0.69204297
 0.69550131 0.68975776 0.68403929 0.68063733 0.67725251 0.67616901
 0.67509506 0.67403057 0.67524905 0.6764698  0.6754263  0.66986592
 0.66658812 0.66332619 0.66007997 0.65459983 0.64914174 0.64370545
 0.63829073 0.63960649 0.64092415 0.63778369 0.63243089 0.63376996
 0.63733155 0.64310653 0.64887133 0.65020301 0.6537454  0.65507838
 0.65200811 0.64895164 0.64590884 0.64068546 0.63548111 0.63029559
 0.62731447 0.62216326 0.6170303  0.61191538 0.60464334 0.59739421
 0.59016773 0.58513078 0.5866046  0.58808003 0.585238   0.58240759
 0.57958868 0.57678115 0.57398491 0.57119984 0.56842584 0.56994811
 0.56719128 0.56872135 0.57025302 0.57391987 0.57545264 0.57698714
 0.57852341 0.58006149 0.58160141 0.58314321 0.58468692 0.58199985
 0.57932294 0.5766561  0.57399924 0.57135225 0.56871505 0.56608754
 0.56346963 0.56086122 0.55826223 0.55567257 0.55309215 0.55052088
 0.54795867 0.54958479 0.5512128  0.54867035 0.5461367  0.54361176
 0.54109546 0.53858771 0.53608842 0.53359752 0.53111493 0.52449436
 0.51788812 0.51129603 0.50471788 0.49815347 0.49160262 0.48506514
 0.47854082 0.47202949 0.46759082 0.46522051 0.46080008 0.45638926
 0.45198794 0.44759598 0.44321326 0.43883964 0.43447502 0.43216744
 0.42986619 0.42757121 0.42528241 0.42095626 0.41663844 0.41232882
 0.40802729 0.40577277 0.40963798 0.40535478 0.39904333 0.39477641
 0.39051694 0.3862648  0.37998785 0.37371987 0.3674607  0.36121016
 0.36308165 0.36495454 0.36682886 0.36667881 0.370582   0.36841242
 0.36624757 0.36813281 0.37001969 0.37190825 0.37379855 0.37165095
 0.36950786 0.36736924 0.36523502 0.3610879  0.35694628 0.35281005
 0.34867912 0.34455337 0.3404327  0.33833088 0.33623291 0.33413875
 0.33204834 0.33599752 0.33994772 0.33786573 0.33578738 0.33371261
 0.33164138 0.32957363 0.3275093  0.32544835 0.32339072 0.32133637
 0.31928523 0.31723726 0.31519241 0.31716538 0.31914055 0.32312496
 0.32510451 0.3290931  0.33308384 0.33707681 0.34107213 0.34506989
 0.3490702  0.35507924 0.35908489 0.36309339 0.36710485 0.37312542
 0.37513704 0.37915798 0.38117608 0.38520375 0.38923496 0.39126334
 0.39530182 0.39131711 0.39335579 0.39539807 0.39744402 0.40150119
 0.40556259 0.40962832 0.41169023 0.41576465 0.4198437  0.41990921
 0.42399716 0.42809002 0.43218789 0.43629088 0.43838813 0.43646715
 0.43857261 0.43867039 0.43273373 0.42881109 0.42489011 0.42298492
 0.41906752 0.41515152 0.41123681 0.40732331 0.40341092 0.40555255
 0.40971723 0.41186905 0.41402574 0.41820769 0.42239604 0.42861267
 0.43281491 0.43500065 0.43921575 0.44343783 0.447667   0.4498769
 0.45411975 0.45837002 0.46262783 0.46892327 0.47725922 0.48357501
 0.48990078 0.49013544 0.49240923 0.49672521 0.49901294 0.49723157
 0.49545259 0.4997959  0.49598378 0.50034056 0.50674978 0.51112604
 0.51551166 0.51990679 0.52431154 0.53077538 0.53725161 0.54374044
 0.55024204 0.55470216 0.56122857 0.56571119 0.57020462 0.57470897
 0.57304052 0.57137472 0.57590405 0.58044477 0.58499701 0.58956092
 0.59413665 0.59872434 0.60332415 0.60793621 0.61256067 0.6151196
 0.61768793 0.62026576 0.62285318 0.62753512 0.63223031 0.6369389
 0.64166105 0.64639692 0.6532404  0.66010161 0.66698078 0.67387814
 0.68079392 0.68772835 0.69468169 0.70165415 0.70864599 0.71565745
 0.72057564 0.72550981 0.73046014 0.73542681 0.74041    0.74328623
 0.746175   0.74907642 0.75199061 0.75491769 0.75785779 0.76081102
 0.76377751 0.76675739 0.76975078 0.7727578  0.77577859 0.77881328
 0.781862   0.78492488 0.78584315 0.78677075 0.78554372 0.79082083
 0.79177943 0.78840381 0.78720173 0.78600392 0.78699039 0.78798662
 0.7868071  0.78563183 0.78446081 0.78329402 0.78213145 0.783173
 0.7798189  0.77646302 0.77310529 0.76753368 0.76638383 0.76301989
 0.75965369 0.76295822 0.76627939 0.76961739 0.77073835 0.77186991
 0.77077154 0.77640911 0.78207099 0.78775745 0.78219791 0.77888645
 0.77331109 0.76999048 0.76666686 0.76106828 0.75545922 0.7475603
 0.74192591 0.74314011 0.74207518 0.7456023  0.74685049 0.75041207
 0.75399309 0.75759376 0.76121428 0.76253713 0.75690674 0.75358995
 0.759589   0.76328283 0.76232074 0.76136279 0.75806202 0.75475673
 0.75144678 0.74813206 0.74717693 0.74385676 0.74765198 0.74433516
 0.74339577 0.74007298 0.73674471 0.73341084 0.72766968 0.721913
 0.71855176 0.71518428 0.70696818 0.70357778 0.70018062 0.69677655
 0.69580685 0.69484033 0.69387698 0.69291679 0.69195974 0.69100585
 0.69500172 0.69902267 0.69810031 0.69469133 0.69376996 0.69285184
 0.69193697 0.69102534 0.69011694 0.68921178 0.68830984 0.68741113
 0.69160093 0.69581848 0.70006412 0.70433821 0.70864109 0.71297312
 0.71217398 0.71655243 0.71577424 0.7150001  0.71423002 0.71346401
 0.71270207 0.70931711 0.70855641 0.70779973 0.70704709 0.7062985
 0.71087891 0.710153   0.70943131 0.70871384 0.70800062 0.70729165
 0.70929417 0.71131641 0.71335861 0.7126904  0.70928818 0.70862106
 0.70795846 0.70730039 0.70664687 0.70599792 0.70814152 0.71310325
 0.71810415 0.72314475 0.72822562 0.73334732 0.74135086 0.74656503
 0.75182189 0.75998994 0.76534337 0.77362813 0.78197727 0.79039175
 0.79887255 0.80742066 0.8160371  0.82177745 0.8187011  0.81857984
 0.81846832 0.81836666 0.81827495 0.8181933  0.81812181 0.8180606
 0.81800978 0.81796947 0.81793977 0.81792082 0.81791274 0.82721014
 0.83658965 0.84605262 0.8556004  0.86208807 0.85916253 0.85622574
 0.86282906 0.86949748 0.87623207 0.87658843 0.87696013 0.88384624
 0.89080243 0.89127636 0.89176715 0.89227505 0.89280028 0.89334311
 0.89390379 0.89111988 0.89845744 0.90926678 0.92018714 0.93122053
 0.94236899 0.95363464 0.96501962 0.97652613 0.98815644 0.99991286
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.        ]"
Computers,[5625],[10950],0.5,0.494,[1. 1. 1. ... 1. 1. 1.]
CricketX,"[712, 1293, 1930, 2586]","[1929, 1276, 712, 661]",0.8,0.787,[1. 1. 1. ... 1. 1. 1.]
CricketY,"[525, 1162, 1837, 2399]","[1834, 491, 1886, 1783]",0.4,0.564,[1. 1. 1. ... 1. 1. 1.]
CricketZ,"[600, 1106, 1574, 2174]","[1104, 555, 1053, 1562]",0.6,0.733,[1. 1. 1. ... 1. 1. 1.]
DiatomSizeReduction,"[517, 948]","[944, 497]",0.667,0.964,[1. 1. 1. ... 1. 1. 1.]
DistalPhalanxOutlineAgeGroup,[300],[252],0.5,0.934,[1. 1. 1. ... 1. 1. 1.]
DistalPhalanxTW,"[580, 2220]","[576, 516]",0.667,0.745,[1. 1. 1. ... 1. 1. 1.]
Earthquakes,[8448],[10221],0.5,0.709,[1. 1. 1. ... 1. 1. 1.]
ECG200,[744],[705],0.5,0.968,[1. 1. 1. ... 1. 1. 1.]
ECG5000,[1277],[1272],1.0,0.995,[1. 1. 1. ... 1. 1. 1.]
