name,true_cps,found_cps,f1_score,covering_score,cac
Adiac,"[572, 1012, 1232]","[569, 589, 609]",0.5,0.625,[1. 1. 1. ... 1. 1. 1.]
ArrowHead,[753],[742],1.0,0.985,[1. 1. 1. ... 1. 1. 1.]
Beef,[705],[675],0.5,0.958,[1. 1. 1. ... 1. 1. 1.]
BeetleFly,[1280],[1112],0.5,0.876,[1. 1. 1. ... 1. 1. 1.]
BirdChicken,[1280],[1309],0.5,0.978,[1. 1. 1. ... 1. 1. 1.]
Car,"[577, 1154, 1550]","[1147, 566, 1237]",0.75,0.765,[1. 1. 1. ... 1. 1. 1.]
CBF,"[384, 704]","[0, 0]",0.5,0.342,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]"
ChlorineConcentration,[2365],[161],0.5,0.581,[1. 1. 1. ... 1. 1. 1.]
CinCECGTorso,"[2663, 5121]",[],0.0,0.0,[0. 0. 0. ... 0. 0. 0.]
Coffee,[500],[495],1.0,0.99,"[1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         0.9957186  0.9885498  0.99104032 0.99352318 0.9928266
 1.         1.         1.         0.99645802 0.99582209 0.99520262
 0.99768825 0.99708976 0.99957346 0.99899567 0.99234563 0.98272173
 0.98224469 0.97575911 0.96933037 0.96594819 0.9655807  0.96522673
 0.95304703 0.95275987 0.9524854  0.95222349 0.95197402 0.95464736
 0.96311567 0.9628649  0.96262645 0.9624002  0.95645874 0.95912929
 0.96179351 0.96728816 0.96993133 0.96693062 0.96957967 0.96101586
 0.9636877  0.96635382 0.97179093 0.9744378  0.97155925 0.97421205
 0.97685976 0.97403044 0.97395596 0.97389224 0.97655183 0.97650172
 0.97646218 0.96836343 0.96836711 0.97373108 0.97374031 0.97642019
 0.97113563 0.96324323 0.9659598  0.96867198 0.97137988 0.97146512
 0.9715599  0.96905916 0.96138447 0.96153387 0.95652193 0.95670233
 0.95431924 0.94682579 0.94961729 0.94219126 0.9449995  0.93763955
 0.93539422 0.93316896 0.92591769 0.93129484 0.93163385 0.92947521
 0.93733398 0.93519065 0.93804267 0.93840848 0.93878189 0.93916286
 0.93955136 0.93748675 0.93298512 0.92851216 0.92162294 0.91721163
 0.9079596  0.91090087 0.90899065 0.91193503 0.91246208 0.91299574
 0.913536   0.90688533 0.90745321 0.90085885 0.89668417 0.89491465
 0.89791146 0.89853431 0.89443083 0.89743666 0.90279666 0.89873401
 0.90174001 0.89771156 0.89136699 0.89205995 0.89275873 0.89346332
 0.89881878 0.90184503 0.90024041 0.90096001 0.90399156 0.90702091
 0.90085576 0.90619097 0.90693582 0.90997289 0.90387803 0.90692674
 0.90769873 0.91074771 0.90699261 0.90325803 0.9040641  0.8981062
 0.90118734 0.89301986 0.88937793 0.89024027 0.89110802 0.89421675
 0.89509196 0.90043021 0.89685877 0.89775036 0.89864742 0.89068739
 0.88497095 0.88148822 0.88243556 0.88559108 0.88874563 0.88750572
 0.89066469 0.88725069 0.8904172  0.88484386 0.88583901 0.89119731
 0.89219715 0.88668256 0.88987187 0.8908932  0.88542523 0.88646532
 0.88103244 0.87777762 0.88100072 0.88207224 0.87670258 0.87349979
 0.86816873 0.86714014 0.87039871 0.87365729 0.8683815  0.86099424
 0.85576008 0.84841884 0.8453494  0.84229414 0.84773022 0.8510448
 0.85435963 0.85767478 0.85888007 0.86009028 0.8634113  0.86042178
 0.86585214 0.86078166 0.86411826 0.8653604  0.86242105 0.86576852
 0.86702778 0.87037933 0.8674762  0.8625026  0.8658713  0.8650822
 0.8663796  0.86975788 0.87521157 0.87030243 0.87162033 0.86466906
 0.86807118 0.87147499 0.87281716 0.87622627 0.87139714 0.87275836
 0.87412485 0.87138631 0.87482013 0.88030811 0.88169433 0.88513487
 0.88857782 0.88997733 0.89138236 0.89074992 0.88808434 0.89155047
 0.89501936 0.89849112 0.89992978 0.89933942 0.89672404 0.89818376
 0.90168001 0.89503173 0.89854073 0.90408012 0.90151696 0.90301379
 0.90654001 0.9019803  0.89541206 0.89693916 0.89847212 0.89395709
 0.88945434 0.88294787 0.88048513 0.88205992 0.88565339 0.8892508
 0.89084128 0.89444773 0.89604927 0.89163232 0.89124133 0.88684527
 0.88045476 0.87608171 0.87773141 0.87938712 0.88505365 0.8887216
 0.88639157 0.89207128 0.88775711 0.88545212 0.88315609 0.88486382
 0.88058743 0.87831725 0.87406022 0.87180799 0.86756993 0.86533534
 0.85912253 0.86288419 0.86665111 0.86843157 0.86623571 0.87002076
 0.86783999 0.86964746 0.86947179 0.86532492 0.86118682 0.86103446
 0.85890112 0.85478775 0.86062066 0.85652255 0.8504457  0.84835105
 0.84229091 0.84418443 0.84012624 0.83806175 0.8419619  0.83991159
 0.84183952 0.84575956 0.84373046 0.84766407 0.85160442 0.85753666
 0.86546078 0.86148198 0.85751041 0.85950095 0.86546872 0.86548874
 0.86154571 0.85760959 0.86162148 0.86167015 0.86371155 0.86973183
 0.87178858 0.875839   0.87989748 0.88197771 0.8880391  0.89013552
 0.89223992 0.89435235 0.89846061 0.90456569 0.9106803  0.90884968
 0.90702602 0.91117768 0.91135886 0.90955746 0.90776292 0.90398404
 0.8982194  0.89445166 0.89068958 0.88693306 0.88916294 0.89140148
 0.89564352 0.88991886 0.89218202 0.89445407 0.8927407  0.89103374
 0.89333016 0.89563566 0.89995021 0.90427541 0.91061274 0.91295827
 0.91531331 0.91367059 0.9180477  0.91441495 0.91078691 0.90917051
 0.9155919  0.91800919 0.92445582 0.92890558 0.92532113 0.92979126
 0.93427362 0.93272479 0.93521343 0.9336794  0.93416937 0.93668654
 0.94123422 0.94781583 0.94834667 0.95293264 0.95145887 0.95404265
 0.95055734 0.94504798 0.9435985  0.94621633 0.94681378 0.95351939
 0.95820743 0.96290985 0.9676268  0.96420447 0.96690545 0.9737011
 0.96825823 0.96894859 0.97373967 0.97854614 0.98336816 0.98820589
 0.98895594 0.98150232 0.97815559 0.97481213 0.98176287 0.98667344
 0.99366211 0.98829148 0.98911544 0.98581603 0.98045119 0.9833667
 0.98836795 0.99338663 0.99427148 0.99101147 0.99607221 0.99490679
 0.99583132 1.         0.99979922 1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         0.99882241
 0.99596012 0.99997818 1.         1.         0.99834169 0.99550209
 0.99034817 0.98518535 0.98233576 0.98181197 0.98828852 0.99479889
 0.99900387 1.         1.         1.         1.         1.
 0.99875013 0.9959757  0.99320029 0.99280463 0.99003177 0.9872577
 0.98208699 0.98650606 0.98373773 0.97855766 0.97578118 0.97058255
 0.9653718  0.96014866 0.96465693 0.96919468 0.97376226 0.97836
 0.97315837 0.96794366 0.97258964 0.97974086 0.9745362  0.96931791
 0.96657691 0.96133638 0.95608149 0.9533207  0.95307163 0.94779006
 0.94501999 0.94731245 0.944548   0.94178013 0.94921532 0.95413972
 0.95397023 0.9512393  0.95108229 0.95093483 0.94820627 0.95066884
 0.95055045 0.94783078 0.94510717 0.94500451 0.9422797  0.94218983
 0.93946359 0.94204019 0.93931961 0.93926283 0.9472438  0.94454687
 0.95260929 0.96072851 0.96890528 0.96356899 0.96093484 0.9555661
 0.95291492 0.94476615 0.94208884 0.9421693  0.93948985 0.93958483
 0.9480566  0.95379491 0.95677444 0.95415475 0.95152979 0.94889942
 0.94910513 0.95502515 0.95527489 0.96127672 0.96732971 0.97632311
 0.98249027 0.99161888 1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 0.99777189 1.         0.99984349 1.         0.99523783 0.99292498
 0.99402107 0.99514132 0.99628609 0.99745577 0.99517114 0.9963754
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         0.97945923
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         0.998713   0.99659843 0.99435195 0.99195238 1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.        ]"
