name,true_cps,found_cps,f1_score,covering_score,cac
Adiac,"[572, 1012, 1232]","[557, 1218, 996]",0.5,0.939,[1. 1. 1. ... 1. 1. 1.]
ArrowHead,[753],[742],1.0,0.985,[1. 1. 1. ... 1. 1. 1.]
Beef,[705],[657],0.5,0.934,[1. 1. 1. ... 1. 1. 1.]
BeetleFly,[1280],[1777],0.5,0.666,[1. 1. 1. ... 1. 1. 1.]
BirdChicken,[1280],[1262],1.0,0.986,[1. 1. 1. ... 1. 1. 1.]
Car,"[577, 1154, 1550]","[1142, 553, 1267]",0.5,0.752,[1. 1. 1. ... 1. 1. 1.]
CBF,"[384, 704]","[360, 681]",0.333,0.907,"[1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 0.69918629 0.69969399 0.68959809 0.67959874 0.68021303 0.68432319
 0.68840847 0.69246936 0.69650635 0.7005199  0.70109052 0.70166623
 0.702247   0.70283278 0.70342356 0.70401931 0.70461999 0.70522557
 0.70583604 0.70645136 0.70707152 0.70769647 0.70832621 0.7089607
 0.70959993 0.7037871  0.69802566 0.69872515 0.69304132 0.68740682
 0.68182093 0.67628292 0.67079207 0.6653477  0.6568214  0.66394702
 0.66481982 0.67188777 0.67583129 0.67975736 0.68366629 0.68755841
 0.68838807 0.68922103 0.68703073 0.68486285 0.68572465 0.68658959
 0.68745765 0.68832886 0.68623251 0.687119   0.68505574 0.68006915
 0.67805572 0.67020903 0.6653345  0.66049633 0.65279272 0.64803408
 0.64331029 0.63862086 0.63396536 0.62934332 0.62475432 0.62304285
 0.62134809 0.61401073 0.60389809 0.59384652 0.58385518 0.57672287
 0.57242689 0.56815985 0.56114346 0.55971116 0.5582926  0.55413076
 0.54724617 0.5404021  0.53359801 0.52683339 0.52010771 0.51342047
 0.50677115 0.50015928 0.49358434 0.48704587 0.48054339 0.47407643
 0.46764453 0.46124723 0.45488409 0.44855465 0.4422585  0.43599519
 0.4297643  0.42093457 0.41477297 0.41126201 0.40777059 0.40429848
 0.40084544 0.39221633 0.38621944 0.3802515  0.37431214 0.37097722
 0.36508874 0.35922779 0.35339403 0.34503132 0.33925588 0.33096069
 0.32524202 0.31954874 0.31388052 0.30823704 0.30261799 0.29702304
 0.29145188 0.28590421 0.28538651 0.28487369 0.28436572 0.28386256
 0.28336416 0.28287048 0.2823815  0.27942437 0.27648027 0.27354904
 0.27063051 0.26772455 0.26483098 0.26194967 0.26396877 0.26110365
 0.26312306 0.26027385 0.25015037 0.24491086 0.237269   0.22965309
 0.22206278 0.21690781 0.21177052 0.20665069 0.20154809 0.19646247
 0.19139362 0.18634129 0.18369088 0.18104983 0.17841802 0.17579533
 0.17792636 0.18005337 0.18217644 0.18429565 0.18169181 0.17909667
 0.17651012 0.17393203 0.17136231 0.16880085 0.16624752 0.16136364
 0.15649345 0.14930388 0.1444633  0.13498128 0.1278477  0.12073221
 0.11363455 0.10655444 0.10411913 0.10169038 0.09926809 0.09685217
 0.09444253 0.09664103 0.09883574 0.1033228  0.10780139 0.11227167
 0.1167338  0.11890138 0.12106572 0.1255089  0.12766477 0.13209515
 0.13651824 0.13866104 0.14080113 0.14293857 0.14507345 0.14720582
 0.14933577 0.15146335 0.15358864 0.1557117  0.15783261 0.15995142
 0.16206822 0.16418306 0.17079049 0.17738885 0.18173469 0.18383354
 0.18593089 0.19250363 0.19906822 0.20562488 0.2121738  0.21871521
 0.2252493  0.23177628 0.23829635 0.24480971 0.25131658 0.25781714
 0.2643116  0.26858049 0.27284649 0.27710973 0.27915484 0.28120012
 0.2854585  0.28971459 0.29396852 0.29822041 0.30247038 0.30451196
 0.30655424 0.30859729 0.31284428 0.3148879  0.31693248 0.31897807
 0.32102473 0.3252703  0.32951503 0.33815064 0.34678181 0.35321493
 0.35745301 0.35949891 0.36154658 0.36359607 0.36564745 0.36770076
 0.36538026 0.36306488 0.36075455 0.35626354 0.35396381 0.34948462
 0.35156236 0.34927624 0.34699476 0.34471784 0.34244543 0.34017744
 0.33791381 0.33565449 0.33775755 0.33986288 0.34197055 0.3440806
 0.3461931  0.34395426 0.34607257 0.34601726 0.34378936 0.34156538
 0.33716994 0.33277882 0.32839188 0.324009   0.31963005 0.31525491
 0.31088345 0.30651554 0.30215107 0.29778991 0.2956055  0.29777106
 0.30211282 0.30428388 0.30863128 0.31298166 0.31950868 0.32603906
 0.332573   0.33911067 0.34565226 0.35219798 0.35874799 0.36530249
 0.37186166 0.37625085 0.38064459 0.385043   0.3829192  0.38297444
 0.37868069 0.37438918 0.36792274 0.36363497 0.35717118 0.35070826
 0.34424601 0.33778426 0.33132282 0.32704178 0.32276176 0.31848266
 0.31420434 0.30992668 0.30783278 0.30355673 0.29928101 0.29500548
 0.29073002 0.28645451 0.28217884 0.27790287 0.27362648 0.26715971
 0.26288128 0.25860203 0.25432184 0.2500406  0.24575817 0.24147444
 0.23938547 0.23729693 0.23520876 0.23312091 0.23103332 0.22894592
 0.22685865 0.22477146 0.22268428 0.22059706 0.21850972 0.21642222
 0.21433449 0.21224648 0.21015811 0.20806933 0.20598007 0.19945788
 0.19292956 0.19305188 0.19761707 0.20219012 0.20677119 0.21136042
 0.21595796 0.22056397 0.2251786  0.22980201 0.23443435 0.23907577
 0.24372644 0.24838652 0.25305615 0.25773551 0.26018181 0.26487931
 0.269587   0.27430504 0.2790336  0.28377284 0.28852294 0.29328407
 0.29805638 0.30284007 0.3076353  0.31244224 0.31726107 0.32209198
 0.32693514 0.33179072 0.33665892 0.34153992 0.34415472 0.3490596
 0.3539778  0.35890952 0.36156656 0.36423274 0.36690819 0.369593
 0.37228729 0.37729174 0.38231094 0.38734508 0.39239438 0.39745903
 0.40253926 0.40763525 0.41274724 0.41787542 0.42302003 0.42818127
 0.43335936 0.43622179 0.44143139 0.44665848 0.45190329 0.45482162
 0.46009957 0.46539591 0.47071088 0.47368806 0.47667808 0.47968109
 0.47559874 0.47151026 0.46741549 0.46093832 0.45444787 0.44794389
 0.44142612 0.43489429 0.42834812 0.42178736 0.41521172 0.41102459
 0.40442199 0.39780373 0.3911695  0.38451904 0.38027417 0.37602009
 0.37175662 0.36748358 0.36320078 0.35890804 0.35460517 0.35029198
 0.34596827 0.34163386 0.33728855 0.33293214 0.32856443 0.32418522
 0.3197943  0.31539146 0.31346432 0.3090415  0.30460617 0.30015812
 0.29569714 0.291223   0.28673548 0.28223436 0.27771941 0.2731904
 0.26864709 0.26408924 0.25951663 0.254929   0.25032612 0.24314827
 0.23850897 0.2338536  0.22918191 0.22449365 0.21978854 0.21506632
 0.21032671 0.20556945 0.20079425 0.19600084 0.19118892 0.18635821
 0.18150841 0.17663923 0.17439268 0.17213806 0.16987526 0.16760412
 0.16532451 0.1630363  0.16073933 0.15843347 0.15611857 0.15379447
 0.14875638 0.14369564 0.13861191 0.13350483 0.12837404 0.12595738
 0.1262752  0.1238441  0.1214021  0.11894903 0.12203159 0.12513178
 0.12824983 0.12859056 0.12893472 0.12928234 0.1324516  0.13563982
 0.1388473  0.14207431 0.14532113 0.14858806 0.15187539 0.15518343
 0.15851249 0.16475327 0.17103258 0.17735102 0.18370917 0.19010764
 0.19654704 0.20302799 0.20955114 0.21611712 0.22569629 0.23533818
 0.24205542 0.25181622 0.26765739 0.2745527  0.28149633 0.28848904
 0.29553159 0.30262476 0.30976936 0.31696619 0.32730386 0.34081484
 0.35442333 0.36813092 0.38193923 0.39270821 0.40355894 0.41449275
 0.425511   0.43661507 0.44780638 0.45587597 0.4640119  0.47221525
 0.48373368 0.49534644 0.51032644 0.5254292  0.53736012 0.54608264
 0.55488195 0.56042352 0.56936702 0.57839117 0.58749736 0.60007728
 0.61277014 1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.        ]"
ChlorineConcentration,[2365],[215],0.5,0.583,[1. 1. 1. ... 1. 1. 1.]
CinCECGTorso,"[2663, 5121]","[5203, 2567]",0.333,0.952,[1. 1. 1. ... 1. 1. 1.]
Coffee,[500],[493],1.0,0.986,"[1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         0.99958517 0.98923953 0.978986   0.96882314
 0.95874956 0.94876387 0.93886474 0.93221086 0.92561756 0.91908393
 0.91260909 0.90619217 0.89983232 0.89352871 0.88728052 0.88108694
 0.87494719 0.8688605  0.8628261  0.85684324 0.85091121 0.84502927
 0.83919673 0.83341288 0.82767706 0.82198858 0.8163468  0.81075106
 0.80520075 0.79969522 0.79423388 0.78881611 0.78344134 0.77810897
 0.77281844 0.76756919 0.76236066 0.75719231 0.75206361 0.74697404
 0.74192308 0.73408682 0.72630471 0.71857602 0.71090005 0.70327609
 0.69570344 0.68818142 0.68070936 0.6732866  0.66591248 0.65858637
 0.65130763 0.64407565 0.63688981 0.62974951 0.62265416 0.61560317
 0.60859598 0.601632   0.5947107  0.58783151 0.5809939  0.57419734
 0.56744129 0.56072525 0.5540487  0.54741113 0.54081206 0.534251
 0.52772747 0.52124098 0.51479108 0.50837731 0.5019992  0.49565632
 0.48934822 0.48564401 0.4845255  0.48341709 0.47976671 0.48123012
 0.47761088 0.47401265 0.47043518 0.47192556 0.47341418 0.47490112
 0.47638642 0.47787014 0.47935235 0.48083309 0.48231243 0.48379041
 0.48526709 0.48674253 0.48821678 0.48968989 0.49116191 0.4926329
 0.49654896 0.50045446 0.50434959 0.50823451 0.50725529 0.5062848
 0.50532294 0.50919617 0.5130598  0.51691402 0.51595937 0.51501322
 0.51407553 0.5131462  0.51222517 0.51606877 0.51752971 0.5213603
 0.52281682 0.52427329 0.52101469 0.51777223 0.51454572 0.51133501
 0.50813991 0.50496026 0.49946196 0.4939864  0.48853331 0.48310244
 0.47769352 0.4723063  0.46694052 0.46159593 0.45627229 0.45096934
 0.44568685 0.44042457 0.43747269 0.43453373 0.43160755 0.428694
 0.42579296 0.42290428 0.42002783 0.41716349 0.41431112 0.4114706
 0.40864179 0.40582457 0.40301882 0.40022441 0.39744122 0.39466913
 0.39190802 0.38915777 0.38641827 0.38368939 0.38097103 0.37826306
 0.37556538 0.37287788 0.37020044 0.36753295 0.36487531 0.36222741
 0.35958914 0.35696039 0.35434107 0.35173107 0.34913028 0.34653861
 0.34395596 0.34138221 0.33881729 0.33626108 0.33807576 0.33988955
 0.34170249 0.34351465 0.34532607 0.3471368  0.34461216 0.34209576
 0.33958753 0.33708737 0.33459519 0.33642403 0.3382523  0.34008007
 0.34190737 0.34373426 0.34556079 0.34738702 0.34492816 0.34247682
 0.34003291 0.33759634 0.33516703 0.33274491 0.33032988 0.32792187
 0.32552079 0.32312657 0.32073912 0.31835836 0.31598423 0.31361663
 0.3112555  0.30890075 0.30655231 0.3042101  0.29976305 0.29532516
 0.2908963  0.28647634 0.28206514 0.27766256 0.27537055 0.27308406
 0.27080302 0.2664295  0.26206401 0.25770642 0.25126274 0.24692186
 0.24258848 0.23826246 0.23185491 0.22545691 0.21906828 0.21268884
 0.20631842 0.19995681 0.19360386 0.18725937 0.18092317 0.17459508
 0.16827492 0.16196252 0.1556577  0.15143474 0.14721707 0.14300458
 0.13879715 0.13459467 0.13039702 0.128273   0.12615186 0.12403356
 0.12191803 0.11980521 0.11769505 0.11558748 0.11348245 0.11137991
 0.10927979 0.10718204 0.10508661 0.10711316 0.10502091 0.10293084
 0.10084289 0.09875702 0.09667315 0.09459124 0.09251123 0.09043306
 0.08835669 0.08628205 0.0842091  0.08213777 0.08006801 0.07799977
 0.07593299 0.07386762 0.07180361 0.06974089 0.06767943 0.06561915
 0.06356001 0.06150196 0.05944494 0.05738889 0.05533377 0.05327952
 0.05122609 0.04917342 0.04712146 0.04507016 0.04301946 0.04096931
 0.03891966 0.03687045 0.0389183  0.04096645 0.04301495 0.04711221
 0.05121003 0.0553085  0.06145627 0.06760511 0.07580392 0.08400439
 0.09220671 0.10041112 0.10656842 0.11477741 0.12298911 0.13120373
 0.13942147 0.14559198 0.15176546 0.15794208 0.164122   0.16825352
 0.17238793 0.17652536 0.1806659  0.18480967 0.18895678 0.191053
 0.19315184 0.19525335 0.1994134  0.20357729 0.20774513 0.21191704
 0.21609313 0.22027351 0.22239905 0.22658772 0.23078101 0.23497903
 0.2391819  0.24338973 0.24760264 0.25182075 0.25604416 0.26027302
 0.26450741 0.26874748 0.27299333 0.27724509 0.28150288 0.28783758
 0.2941804  0.30053149 0.30689105 0.31325926 0.3196363  0.32602234
 0.33241758 0.33882219 0.34523637 0.35166029 0.35809415 0.36453813
 0.37099243 0.37745722 0.3860193  0.39459469 0.4010946  0.40969611
 0.41622011 0.42275584 0.42930348 0.43586325 0.44243533 0.44901994
 0.45561726 0.46012648 0.46464596 0.46917585 0.47371627 0.47826739
 0.48282935 0.4874023  0.49198638 0.49658174 0.50118854 0.50580693
 0.51043706 0.51507908 0.51973315 0.52439943 0.52907807 0.53376923
 0.53847307 0.54318976 0.54791945 0.55266231 0.55741851 0.5621882
 0.56697157 0.57176877 0.57657999 0.58140538 0.58839254 0.59324885
 0.6002714  0.60515943 0.61006257 0.61713883 0.62423487 0.63135095
 0.63848733 0.64564427 0.65282204 0.6600209  0.6650677  0.67013148
 0.67739053 0.68467172 0.69197531 0.69711628 0.70227531 0.70526235
 0.70826285 0.71127695 0.71430477 0.71734645 0.72480826 0.73229477
 0.73980629 0.74734313 0.75490558 0.76249398 0.77010862 0.77774984
 0.78541794 0.79311326 0.80083611 0.80858685 0.81636579 0.82417328
 0.83200965 0.83987526 0.84552172 0.8511919  0.85237616 0.85357202
 0.85477957 0.85373435 0.85269448 0.84938886 0.84608193 0.8427736
 0.83946376 0.83843687 0.83512715 0.83181564 0.82850223 0.82518682
 0.8218693  0.81854956 0.8152275  0.811903   0.81089279 0.80988744
 0.80888694 0.80789129 0.80690048 0.8059145  0.80493336 0.80395704
 0.80298555 0.80201887 0.80105702 0.80009997 0.79914773 0.7982003
 0.79725767 0.79631984 0.79300541 0.78968706 0.78636464 0.78303805
 0.77970716 0.77637183 0.77303193 0.77210016 0.76875542 0.76540576
 0.76447797 0.76598627 0.76750864 0.76660379 0.76570342 0.76480753
 0.76391612 0.76302919 0.76214674 0.76126878 0.76039529 0.75952629
 0.75866177 0.75780173 0.75694618 0.75609512 0.75524856 0.75440648
 0.75356891 0.75020988 0.74684392 0.74347088 0.7400906  0.73925206
 0.73841782 0.73758788 0.73676225 0.73594094 0.73512394 0.73431125
 0.73868666 0.74309176 0.74752691 0.7519925  0.7564889  0.7610165
 0.760314   0.75961663 0.75892442 0.76353973 0.76287168 0.76220898
 0.76155163 0.76089966 0.76025308 0.75961192 0.75897621 0.75834596
 0.7577212  0.75710195 0.75648824 0.75588009 0.75527753 0.75468059
 0.75408929 0.75350366 0.75292373 0.75234953 0.75178109 0.75121844
 0.75066162 0.75011066 0.74956558 0.74902643 0.74849324 0.74796605
 0.74458112 0.7411842  0.73777504 0.73724455 0.73671997 0.73329145
 0.72984988 0.72639501 0.7258653  0.72534139 0.73074024 0.73618507
 0.74167656 0.7472154  0.75280231 0.75241866 0.75204223 0.75167308
 0.75131128 0.75095689 0.75060998 0.75027062 0.74993887 0.74961482
 0.74929853 0.74899007 0.74868953 0.74839698 0.74811251 0.74783619
 0.74756811 0.74730836 0.74705703 0.74681419 0.74657996 0.74635442
 0.74613767 0.74592981 0.74573094 0.74554117 0.7453606  0.74518934
 0.7450275  0.74487521 0.74473257 0.74459971 0.74447675 0.75119284
 0.75798014 0.7648399  0.77177344 0.77878206 0.78586714 0.79303006
 0.80027225 0.80759515 0.81500028 0.82248914 0.83006332 0.83772441
 0.84547406 0.85331395 0.86124582 0.86927144 0.87739261 0.88561121
 0.89392915 0.90610816 0.91843001 0.93089758 0.94351381 1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.        ]"
