name,true_cps,found_cps,f1_score,covering_score
Adiac,"[572, 1012, 1232]","[390, 610, 1315]",0.25,0.561
ArrowHead,[753],[350],0.5,0.558
Beef,[705],[545],0.5,0.794
BeetleFly,[1280],[455],0.5,0.482
BirdChicken,[1280],[1880],0.5,0.606
Car,"[577, 1154, 1550]","[235, 1475, 2070]",0.25,0.492
CBF,"[384, 704]","[535, 635]",0.333,0.601
ChlorineConcentration,[2365],[935],0.5,0.672
CinCECGTorso,"[2663, 5121]","[1525, 4230]",0.333,0.561
Coffee,[500],[780],0.5,0.541
Computers,[5625],[2195],0.5,0.506
CricketX,"[712, 1293, 1930, 2586]","[630, 985, 1155, 1960]",0.4,0.632
CricketY,"[525, 1162, 1837, 2399]","[1305, 1660, 2570, 2860]",0.2,0.493
CricketZ,"[600, 1106, 1574, 2174]","[65, 405, 575, 2015]",0.4,0.462
DiatomSizeReduction,"[517, 948]","[635, 915]",0.333,0.786
DistalPhalanxOutlineAgeGroup,[300],[1245],0.5,0.573
DistalPhalanxTW,"[580, 2220]","[2270, 2490]",0.333,0.602
Earthquakes,[8448],[8605],0.5,0.97
ECG200,[744],[130],0.5,0.583
ECG5000,[1277],[605],0.5,0.497
ECGFiveDays,[476],[595],0.5,0.726
ElectricDevices,"[1090, 4436, 5712, 7923]","[2325, 7975, 9245, 11300]",0.4,0.411
FaceAll,"[1310, 2620, 3930, 5240, 6550, 7860]","[110, 1290, 2600, 3400, 4365, 8100]",0.429,0.602
FaceFour,"[2800, 5600, 6650]","[1390, 3235, 3985]",0.25,0.374
FacesUCR,"[851, 1637, 2292, 3733, 4715, 5566]","[575, 1020, 1950, 3195, 4445, 6020]",0.143,0.507
FiftyWords,"[1755, 3408, 4521]","[1765, 2045, 3130]",0.5,0.702
Fish,"[1504, 2950, 4570, 5785, 7058, 8504]","[1595, 3325, 4365, 6335, 7030, 8820]",0.429,0.736
GunPoint,[900],[1300],0.5,0.639
Haptics,"[1228, 3548]","[3445, 5625]",0.333,0.661
InlineSkate,"[1058, 2704]","[425, 4200]",0.333,0.386
InsectWingbeatSound,"[320, 640, 960]","[415, 550, 1240]",0.25,0.51
ItalyPowerDemand,[816],[1495],0.5,0.485
LargeKitchenAppliances,"[2812, 5624]","[5135, 6060]",0.333,0.602
Lightning2,[398],[215],0.5,0.722
Lightning7,"[1276, 2552, 3828, 5742]","[905, 1685, 2475, 3475]",0.2,0.607
Mallat,"[768, 1792, 2560]","[800, 1250, 1760]",0.75,0.608
Meat,"[1120, 2240]","[45, 745]",0.333,0.494
MedicalImages,[1732],[520],0.5,0.457
MoteStrain,[840],[1065],0.5,0.76
NonInvasiveFetalECGThorax1,"[1687, 4124, 6233, 8108, 10358]","[6325, 8270, 8925, 10520, 11880]",0.333,0.518
NonInvasiveFetalECGThorax2,"[1687, 4124, 6233, 8108, 10358, 12420]","[2505, 8925, 10145, 12020, 13050, 13825]",0.143,0.455
OliveOil,"[1425, 3705]","[745, 5020]",0.333,0.587
OSULeaf,"[907, 1680]","[1670, 1955]",0.667,0.535
Plane,"[540, 1044, 1368, 1944, 2412, 3060]","[1130, 1755, 2115, 2330, 2685, 3615]",0.143,0.446
