name,true_cps,found_cps,f1_score,covering_score
Adiac,"[572, 1012, 1232]","[390, 610, 1315]",0.25,0.561
ArrowHead,[753],[495],0.5,0.701
Beef,[705],[1265],0.5,0.477
BeetleFly,[1280],[1275],1.0,0.996
BirdChicken,[1280],[495],0.5,0.503
Car,"[577, 1154, 1550]","[1295, 1475, 1715]",0.25,0.528
CBF,"[384, 704]","[535, 635]",0.333,0.601
ChlorineConcentration,[2365],[7580],0.5,0.56
CinCECGTorso,"[2663, 5121]","[1525, 6640]",0.333,0.454
Coffee,[500],[780],0.5,0.541
Computers,[5625],[2195],0.5,0.506
CricketX,"[712, 1293, 1930, 2586]","[630, 985, 1155, 1960]",0.4,0.632
CricketY,"[525, 1162, 1837, 2399]","[1305, 1660, 2570, 2860]",0.2,0.493
CricketZ,"[600, 1106, 1574, 2174]","[405, 650, 950, 2035]",0.2,0.576
DiatomSizeReduction,"[517, 948]","[635, 915]",0.333,0.786
DistalPhalanxOutlineAgeGroup,[300],[1245],0.5,0.573
DistalPhalanxTW,"[580, 2220]","[2270, 2490]",0.333,0.602
Earthquakes,[8448],[8605],0.5,0.97
ECG200,[744],[395],0.5,0.734
ECG5000,[1277],[1905],0.5,0.533
ECGFiveDays,[476],[185],0.5,0.437
ElectricDevices,"[1090, 4436, 5712, 7923]","[2325, 9385, 10440, 11165]",0.2,0.297
FaceAll,"[1310, 2620, 3930, 5240, 6550, 7860]","[920, 2590, 4365, 6715, 8100, 9085]",0.286,0.651
FaceFour,"[2800, 5600, 6650]","[670, 1390, 4510]",0.25,0.367
FacesUCR,"[851, 1637, 2292, 3733, 4715, 5566]","[650, 1755, 2215, 3920, 5295, 6475]",0.143,0.677
FiftyWords,"[1755, 3408, 4521]","[1765, 2045, 3130]",0.5,0.702
Fish,"[1504, 2950, 4570, 5785, 7058, 8504]","[630, 1570, 3405, 3925, 5085, 6545]",0.286,0.459
GunPoint,[900],[1300],0.5,0.639
Haptics,"[1228, 3548]","[3445, 5625]",0.333,0.661
InlineSkate,"[1058, 2704]","[775, 2535]",0.333,0.829
InsectWingbeatSound,"[320, 640, 960]","[440, 550, 1240]",0.25,0.48
ItalyPowerDemand,[816],[525],0.5,0.687
LargeKitchenAppliances,"[2812, 5624]","[5135, 6060]",0.333,0.602
Lightning2,[398],[285],0.5,0.822
Lightning7,"[1276, 2552, 3828, 5742]","[535, 1035, 2675, 3635]",0.2,0.607
Mallat,"[768, 1792, 2560]","[245, 1930, 2315]",0.25,0.618
Meat,"[1120, 2240]","[45, 325]",0.333,0.329
MedicalImages,[1732],[520],0.5,0.457
MoteStrain,[840],[1395],0.5,0.471
NonInvasiveFetalECGThorax1,"[1687, 4124, 6233, 8108, 10358]","[6325, 8270, 8925, 10520, 11880]",0.333,0.518
NonInvasiveFetalECGThorax2,"[1687, 4124, 6233, 8108, 10358, 12420]","[2505, 8925, 10145, 12020, 13050, 13825]",0.143,0.455
OliveOil,"[1425, 3705]","[745, 5020]",0.333,0.587
OSULeaf,"[907, 1680]","[1375, 1570]",0.333,0.542
Plane,"[540, 1044, 1368, 1944, 2412, 3060]","[2030, 2255, 2560, 3100, 3460, 3740]",0.143,0.407
ProximalPhalanxOutlineAgeGroup,"[720, 2110]","[2565, 2845]",0.333,0.528
ProximalPhalanxTW,"[320, 2500, 3660]","[950, 1890, 3930]",0.25,0.444
ShapesAll,"[1280, 2560, 3840, 5120]","[1450, 2055, 2800, 4810]",0.2,0.608
SonyAIBORobotSurface1,[420],[1305],0.5,0.539
SonyAIBORobotSurface2,[715],[350],0.5,0.638
StarLightCurves,"[486, 1366]","[1665, 2460]",0.333,0.438
SwedishLeaf,"[928, 2080, 3200]","[20, 340, 620]",0.25,0.314
Symbols,"[796, 1293, 1591]","[995, 1095, 1815]",0.25,0.5
SyntheticControl,"[750, 1500, 2250, 3000]","[880, 1845, 2415, 3135]",0.2,0.668
ToeSegmentation1,[1385],[765],0.5,0.622
ToeSegmentation2,[1543],[1620],0.5,0.951
Trace,"[1443, 2955]","[4085, 5050]",0.333,0.4
TwoLeadECG,[246],[320],0.5,0.722
TwoPatterns,"[2168, 4064, 6064]","[3015, 3660, 4535]",0.25,0.508
UWaveGestureLibraryAll,"[1801, 3395, 4960, 6584]","[535, 1680, 5185, 5680]",0.2,0.512
UWaveGestureLibraryX,"[600, 1131, 1652, 2193]","[1965, 2230, 2555, 2780]",0.2,0.356
UWaveGestureLibraryY,"[600, 1131, 1652, 2193]","[1340, 1640, 2195, 2630]",0.6,0.618
UWaveGestureLibraryZ,"[600, 1131, 1652, 2193]","[225, 450, 1610, 1975]",0.2,0.511
Wafer,[115],[15],0.5,0.839
WordSynonyms,"[202, 2227]","[2015, 2150]",0.333,0.745
Worms,"[435, 786]","[500, 965]",0.333,0.679
Yoga,[7295],[9885],0.5,0.718
Crop,"[1725, 3450, 5175, 8625, 12075, 15525, 17250, 18975]","[605, 2410, 5355, 7770, 11220, 16130, 18120, 19430]",0.222,0.576
EOGHorizontalSignal,"[1406, 2812, 4218]","[2840, 4245, 4650]",0.75,0.63
EOGVerticalSignal,"[1406, 2812, 3749, 5155, 6608]","[1355, 1825, 2840, 4125, 5345]",0.5,0.657
FreezerRegularTrain,"[2257, 4514, 7900]","[805, 2155, 4415]",0.75,0.598
Ham,"[1400, 2935, 4335]","[1570, 3240, 4505]",0.25,0.806
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]","[785, 1925, 2700, 3120, 4570, 4865]",0.286,0.568
MiddlePhalanxOutlineAgeGroup,"[880, 2608, 6400, 7720]","[6505, 8295, 9175, 10055]",0.2,0.438
MiddlePhalanxOutlineCorrect,"[1060, 3000, 4060]","[730, 3010, 3690]",0.5,0.832
PowerCons,"[405, 810, 1215]","[140, 690, 950]",0.25,0.418
ProximalPhalanxOutlineCorrect,"[776, 3212, 4376]","[715, 4380, 4755]",0.5,0.658
Strawberry,"[804, 2250, 3054]","[3290, 3790, 5200]",0.25,0.41
Chinatown,[],[],1.0,1.0
DodgerLoopDay,[],[],1.0,1.0
Herring,[],[],1.0,1.0
MiddlePhalanxTW,[],[],1.0,1.0
ShapeletSim,[],[],1.0,1.0
UMD,[],[],1.0,1.0
