name,true_cps,found_cps,f1_score,covering_score
Adiac,"[572, 1012, 1232]","[700, 1140, 1325]",0.25,0.608
ArrowHead,[753],[685],0.5,0.913
Beef,[705],[915],0.5,0.736
BeetleFly,[1280],[2505],0.5,0.495
BirdChicken,[1280],[1380],0.5,0.925
Car,"[577, 1154, 1550]","[1295, 1475, 1715]",0.25,0.528
CBF,"[384, 704]","[465, 635]",0.333,0.717
ChlorineConcentration,[2365],[3565],0.5,0.744
CinCECGTorso,"[2663, 5121]","[95, 3380]",0.333,0.569
Coffee,[500],[745],0.5,0.591
Computers,[5625],[4660],0.5,0.841
CricketX,"[712, 1293, 1930, 2586]","[135, 630, 1155, 1360]",0.2,0.479
CricketY,"[525, 1162, 1837, 2399]","[865, 1265, 1660, 1920]",0.2,0.515
CricketZ,"[600, 1106, 1574, 2174]","[65, 405, 1005, 1495]",0.2,0.548
DiatomSizeReduction,"[517, 948]","[95, 440]",0.333,0.543
DistalPhalanxOutlineAgeGroup,[300],[1245],0.5,0.573
DistalPhalanxTW,"[580, 2220]","[100, 2480]",0.333,0.52
Earthquakes,[8448],[8605],0.5,0.97
ECG200,[744],[395],0.5,0.734
ECG5000,[1277],[1905],0.5,0.533
ECGFiveDays,[476],[595],0.5,0.726
ElectricDevices,"[1090, 4436, 5712, 7923]","[2325, 9385, 10440, 11165]",0.2,0.297
FaceAll,"[1310, 2620, 3930, 5240, 6550, 7860]","[920, 2590, 4365, 6715, 8100, 9085]",0.286,0.651
FaceFour,"[2800, 5600, 6650]","[1390, 3195, 3895]",0.25,0.377
FacesUCR,"[851, 1637, 2292, 3733, 4715, 5566]","[1615, 2530, 3050, 4450, 5870, 6260]",0.286,0.482
FiftyWords,"[1755, 3408, 4521]","[1895, 2335, 5115]",0.25,0.527
Fish,"[1504, 2950, 4570, 5785, 7058, 8504]","[515, 3290, 4045, 6040, 6705, 8180]",0.143,0.561
GunPoint,[900],[1095],0.5,0.811
Haptics,"[1228, 3548]","[300, 4080]",0.333,0.598
InlineSkate,"[1058, 2704]","[2235, 4675]",0.333,0.587
InsectWingbeatSound,"[320, 640, 960]","[480, 560, 1105]",0.25,0.513
ItalyPowerDemand,[816],[1040],0.5,0.751
LargeKitchenAppliances,"[2812, 5624]","[5135, 6875]",0.333,0.505
Lightning2,[398],[285],0.5,0.822
Lightning7,"[1276, 2552, 3828, 5742]","[270, 1175, 1880, 3500]",0.2,0.535
Mallat,"[768, 1792, 2560]","[2085, 2340, 3080]",0.25,0.486
Meat,"[1120, 2240]","[1780, 3180]",0.333,0.506
MedicalImages,[1732],[545],0.5,0.451
MoteStrain,[840],[1065],0.5,0.76
NonInvasiveFetalECGThorax1,"[1687, 4124, 6233, 8108, 10358]","[910, 1660, 4190, 5785, 7565]",0.5,0.632
NonInvasiveFetalECGThorax2,"[1687, 4124, 6233, 8108, 10358, 12420]","[910, 1660, 5035, 6160, 7565, 11925]",0.429,0.582
OliveOil,"[1425, 3705]","[3210, 4635]",0.333,0.608
OSULeaf,"[907, 1680]","[1070, 1570]",0.333,0.761
Plane,"[540, 1044, 1368, 1944, 2412, 3060]","[465, 795, 1155, 2595, 3315, 3705]",0.143,0.491
ProximalPhalanxOutlineAgeGroup,"[720, 2110]","[2565, 2845]",0.333,0.528
ProximalPhalanxTW,"[320, 2500, 3660]","[300, 2500, 3860]",0.75,0.897
ShapesAll,"[1280, 2560, 3840, 5120]","[2305, 3845, 5460, 6195]",0.4,0.63
SonyAIBORobotSurface1,[420],[425],1.0,0.993
SonyAIBORobotSurface2,[715],[350],0.5,0.638
StarLightCurves,"[486, 1366]","[1665, 2460]",0.333,0.438
SwedishLeaf,"[928, 2080, 3200]","[1075, 1805, 3220]",0.5,0.816
Symbols,"[796, 1293, 1591]","[100, 895, 995]",0.25,0.505
SyntheticControl,"[750, 1500, 2250, 3000]","[1890, 2325, 3060, 3600]",0.2,0.557
ToeSegmentation1,[1385],[2305],0.5,0.468
ToeSegmentation2,[1543],[2400],0.5,0.544
Trace,"[1443, 2955]","[1855, 3710]",0.333,0.636
TwoLeadECG,[246],[135],0.5,0.607
TwoPatterns,"[2168, 4064, 6064]","[3015, 3660, 4535]",0.25,0.508
UWaveGestureLibraryAll,"[1801, 3395, 4960, 6584]","[4810, 6065, 7280, 7960]",0.2,0.395
UWaveGestureLibraryX,"[600, 1131, 1652, 2193]","[1965, 2230, 2555, 2780]",0.2,0.356
UWaveGestureLibraryY,"[600, 1131, 1652, 2193]","[1340, 1640, 2195, 2630]",0.6,0.618
UWaveGestureLibraryZ,"[600, 1131, 1652, 2193]","[225, 450, 1610, 1975]",0.2,0.511
Wafer,[115],[765],0.5,0.509
WordSynonyms,"[202, 2227]","[1345, 1815]",0.333,0.467
Worms,"[435, 786]","[790, 1175]",0.667,0.631
Yoga,[7295],[5875],0.5,0.835
Crop,"[1725, 3450, 5175, 8625, 12075, 15525, 17250, 18975]","[2185, 3335, 9730, 11685, 13035, 14815, 18240, 19475]",0.222,0.543
EOGHorizontalSignal,"[1406, 2812, 4218]","[2525, 4245, 5040]",0.5,0.638
EOGVerticalSignal,"[1406, 2812, 3749, 5155, 6608]","[495, 1355, 5185, 7025, 7885]",0.5,0.51
FreezerRegularTrain,"[2257, 4514, 7900]","[2195, 8590, 9630]",0.5,0.571
Ham,"[1400, 2935, 4335]","[2850, 3980, 5785]",0.25,0.615
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]","[785, 1925, 2700, 3120, 4570, 4865]",0.286,0.568
MiddlePhalanxOutlineAgeGroup,"[880, 2608, 6400, 7720]","[585, 7875, 9195, 10155]",0.2,0.439
MiddlePhalanxOutlineCorrect,"[1060, 3000, 4060]","[3060, 4000, 7240]",0.75,0.714
PowerCons,"[405, 810, 1215]","[535, 680, 1385]",0.25,0.516
ProximalPhalanxOutlineCorrect,"[776, 3212, 4376]","[715, 4380, 4755]",0.5,0.658
Strawberry,"[804, 2250, 3054]","[3950, 4420, 5595]",0.25,0.342
Chinatown,[],[],1.0,1.0
DodgerLoopDay,[],[],1.0,1.0
Herring,[],[],1.0,1.0
MiddlePhalanxTW,[],[],1.0,1.0
ShapeletSim,[],[],1.0,1.0
UMD,[],[],1.0,1.0
