name,true_cps,found_cps,f1_score,covering_score
Adiac,"[572, 1012, 1232]","[390, 610, 1315]",0.25,0.561
ArrowHead,[753],[1310],0.5,0.472
Beef,[705],[545],0.5,0.794
BeetleFly,[1280],[1925],0.5,0.581
BirdChicken,[1280],[2415],0.5,0.487
Car,"[577, 1154, 1550]","[1295, 1475, 1715]",0.25,0.528
CBF,"[384, 704]",[],0.0,0.0
ChlorineConcentration,[2365],[7580],0.5,0.56
CinCECGTorso,"[2663, 5121]","[1525, 3815]",0.333,0.497
Coffee,[500],[780],0.5,0.541
Computers,[5625],[2195],0.5,0.506
CricketX,"[712, 1293, 1930, 2586]","[630, 985, 1155, 1960]",0.4,0.632
CricketY,"[525, 1162, 1837, 2399]","[1305, 1660, 2570, 2860]",0.2,0.493
CricketZ,"[600, 1106, 1574, 2174]","[405, 650, 950, 2035]",0.2,0.576
DiatomSizeReduction,"[517, 948]","[635, 915]",0.333,0.786
DistalPhalanxOutlineAgeGroup,[300],[1240],0.5,0.57
DistalPhalanxTW,"[580, 2220]","[2270, 2490]",0.333,0.602
Earthquakes,[8448],[8605],0.5,0.97
ECG200,[744],[685],0.5,0.952
ECG5000,[1277],[1905],0.5,0.533
ECGFiveDays,[476],[],0.0,0.0
ElectricDevices,"[1090, 4436, 5712, 7923]","[2325, 5215, 8900, 11165]",0.2,0.53
FaceAll,"[1310, 2620, 3930, 5240, 6550, 7860]","[2120, 2580, 3400, 4365, 6705, 8100]",0.286,0.569
FaceFour,"[2800, 5600, 6650]","[1390, 3195, 3900]",0.25,0.377
FacesUCR,"[851, 1637, 2292, 3733, 4715, 5566]","[510, 1950, 3050, 4930, 5800, 6415]",0.143,0.515
FiftyWords,"[1755, 3408, 4521]","[1765, 2045, 3130]",0.5,0.702
Fish,"[1504, 2950, 4570, 5785, 7058, 8504]","[630, 1570, 3405, 3925, 5085, 6545]",0.286,0.459
GunPoint,[900],[1300],0.5,0.639
Haptics,"[1228, 3548]","[3445, 5625]",0.333,0.661
InlineSkate,"[1058, 2704]","[775, 2535]",0.333,0.829
InsectWingbeatSound,"[320, 640, 960]","[360, 550, 1105]",0.25,0.652
ItalyPowerDemand,[816],[525],0.5,0.687
LargeKitchenAppliances,"[2812, 5624]","[5135, 6060]",0.333,0.602
Lightning2,[398],[285],0.5,0.822
Lightning7,"[1276, 2552, 3828, 5742]","[535, 1035, 2675, 3635]",0.2,0.607
Mallat,"[768, 1792, 2560]","[950, 1975, 2360]",0.25,0.744
Meat,"[1120, 2240]","[45, 745]",0.333,0.494
MedicalImages,[1732],[520],0.5,0.457
MoteStrain,[840],[1395],0.5,0.471
NonInvasiveFetalECGThorax1,"[1687, 4124, 6233, 8108, 10358]","[6325, 8270, 8925, 10520, 11880]",0.333,0.518
NonInvasiveFetalECGThorax2,"[1687, 4124, 6233, 8108, 10358, 12420]","[2505, 8925, 10145, 12020, 13050, 13825]",0.143,0.455
OliveOil,"[1425, 3705]","[745, 5020]",0.333,0.587
