name,true_cps,found_cps,f1_score,covering_score
Adiac,"[572, 1012, 1232]","[390, 610, 1315]",0.25,0.561
ArrowHead,[753],[1310],0.5,0.472
Beef,[705],[1265],0.5,0.477
BeetleFly,[1280],[25],0.5,0.498
BirdChicken,[1280],[495],0.5,0.503
Car,"[577, 1154, 1550]","[1295, 1475, 2075]",0.25,0.537
CBF,"[384, 704]","[485, 535]",0.333,0.575
ChlorineConcentration,[2365],[940],0.5,0.673
CinCECGTorso,"[2663, 5121]","[6640, 7055]",0.333,0.336
Coffee,[500],[780],0.5,0.541
Computers,[5625],[2630],0.5,0.56
CricketX,"[712, 1293, 1930, 2586]","[30, 705, 1360, 1960]",0.6,0.748
CricketY,"[525, 1162, 1837, 2399]","[330, 1550, 2635, 2915]",0.2,0.458
CricketZ,"[600, 1106, 1574, 2174]","[50, 350, 595, 2130]",0.4,0.487
DiatomSizeReduction,"[517, 948]","[440, 915]",0.333,0.845
DistalPhalanxOutlineAgeGroup,[300],[1215],0.5,0.557
DistalPhalanxTW,"[580, 2220]","[2270, 2490]",0.333,0.602
Earthquakes,[8448],[8605],0.5,0.97
ECG200,[744],[395],0.5,0.734
ECG5000,[1277],[1800],0.5,0.564
ECGFiveDays,[476],[595],0.5,0.726
ElectricDevices,"[1090, 4436, 5712, 7923]","[2325, 9385, 10350, 11195]",0.2,0.289
FaceAll,"[1310, 2620, 3930, 5240, 6550, 7860]","[1290, 2600, 3400, 4365, 6725, 8100]",0.429,0.708
FaceFour,"[2800, 5600, 6650]","[1390, 3200, 3905]",0.25,0.377
FacesUCR,"[851, 1637, 2292, 3733, 4715, 5566]","[40, 535, 1060, 1455, 4450, 5820]",0.143,0.483
FiftyWords,"[1755, 3408, 4521]","[20, 1765, 2045]",0.5,0.562
Fish,"[1504, 2950, 4570, 5785, 7058, 8504]","[630, 1570, 3115, 4155, 4910, 6545]",0.286,0.536
GunPoint,[900],[1300],0.5,0.639
Haptics,"[1228, 3548]","[4800, 5825]",0.333,0.419
InlineSkate,"[1058, 2704]","[775, 1115]",0.333,0.556
InsectWingbeatSound,"[320, 640, 960]","[150, 325, 550]",0.5,0.526
ItalyPowerDemand,[816],[1065],0.5,0.727
LargeKitchenAppliances,"[2812, 5624]","[5135, 6665]",0.333,0.53
Lightning2,[398],[110],0.5,0.582
Lightning7,"[1276, 2552, 3828, 5742]","[535, 1175, 2680, 3635]",0.2,0.636
Mallat,"[768, 1792, 2560]","[225, 630, 2805]",0.25,0.585
Meat,"[1120, 2240]","[45, 325]",0.333,0.329
MedicalImages,[1732],[520],0.5,0.457
MoteStrain,[840],[1395],0.5,0.471
NonInvasiveFetalECGThorax1,"[1687, 4124, 6233, 8108, 10358]","[6325, 8270, 8925, 10050, 11925]",0.333,0.501
NonInvasiveFetalECGThorax2,"[1687, 4124, 6233, 8108, 10358, 12420]","[1800, 3675, 5315, 8690, 12580, 14080]",0.286,0.632
OliveOil,"[1425, 3705]","[2920, 4630]",0.333,0.593
